session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-understanding,5380,160,165,104
study2-understanding,5380,185,170,122
study2-understanding,5380,130,145,86
study2-understanding,5380,135,175,74
study2-understanding,5380,140,120,53
study2-understanding,5380,180,125,69
study2-understanding,5380,155,115,104
study2-understanding,5324,150,155,74
study2-understanding,5324,180,170,36
study2-understanding,5380,175,150,84
study2-understanding,5380,120,115,7
study2-understanding,5380,185,125,19
study2-understanding,5324,175,165,60
study2-understanding,5324,145,135,26
study2-understanding,5324,130,140,25
study2-understanding,5324,160,125,17
study2-understanding,5324,120,185,14
study2-understanding,5380,140,145,89
study2-understanding,5324,115,160,21
study2-understanding,5380,180,130,31
study2-understanding,5380,165,170,35
study2-understanding,5324,150,170,50
study2-understanding,5324,135,155,7
study2-understanding,5324,145,125,6
study2-understanding,5324,130,120,3
study2-understanding,5324,180,185,4
study2-understanding,5324,140,165,16
study2-understanding,5324,115,175,5
study2-understanding,5324,135,150,7
study2-understanding,5324,160,155,4
study2-understanding,5324,140,170,7
study2-understanding,5324,120,125,7
study2-understanding,5324,175,185,2
study2-understanding,5324,115,145,3
study2-understanding,5324,130,180,3
study2-understanding,5380,135,155,82
study2-understanding,5324,150,165,2
study2-understanding,5324,160,185,2
study2-understanding,5324,120,170,6
study2-understanding,5380,160,150,14
study2-understanding,5380,145,155,35
study2-understanding,5380,140,175,11
study2-understanding,5380,180,135,21
study2-understanding,5380,165,115,12
study2-understanding,5380,130,125,5
study2-understanding,5380,160,170,84
study2-understanding,5380,185,150,8
study2-understanding,5380,180,120,6
study2-understanding,5380,135,165,5
study2-understanding,5380,155,175,3
study2-understanding,5891,115,145,18
study2-understanding,5891,130,140,47
study2-understanding,5891,165,125,44
study2-understanding,5891,170,175,84
study2-understanding,5891,150,180,17
study2-understanding,5891,160,135,58
study2-understanding,5891,185,155,20
study2-understanding,5891,130,120,180
study2-understanding,5891,140,145,180
study2-understanding,5891,115,125,20
study2-understanding,5891,180,120,235
study2-understanding,5891,160,175,16
study2-understanding,5891,150,170,16
study2-understanding,5891,135,165,19
study2-understanding,5891,155,145,59
study2-understanding,5891,115,185,8
study2-understanding,5891,140,125,15
study2-understanding,5891,130,155,35
study2-understanding,5891,185,175,12
study2-understanding,5891,170,165,70
study2-understanding,5891,150,135,6
study2-understanding,5891,120,160,27
study2-understanding,5891,115,180,2
study2-understanding,5891,125,145,8
study2-understanding,5891,140,175,9
study2-understanding,5635,130,140,48
study2-understanding,5635,120,185,16
study2-understanding,5635,135,165,31
study2-understanding,5635,155,125,42
study2-understanding,5635,115,170,11
study2-understanding,5635,180,145,13
study2-understanding,5635,150,160,13
study2-understanding,5635,130,175,12
study2-understanding,5635,185,170,9
study2-understanding,5635,120,160,3
study2-understanding,5635,180,115,3
study2-understanding,5635,150,155,6
study2-understanding,5635,135,125,3
study2-understanding,5635,140,145,13
study2-understanding,5635,175,165,10
study2-understanding,5635,130,115,7
study2-understanding,5635,125,170,3
study2-understanding,5635,135,150,4
study2-understanding,5635,155,160,4
study2-understanding,5635,180,165,5
study2-understanding,5635,120,145,4
study2-understanding,5635,140,185,4
study2-understanding,6194,130,155,217
study2-understanding,6194,135,125,82
study2-understanding,6194,150,115,59
study2-understanding,6194,185,165,144
study2-understanding,6194,180,170,51
study2-understanding,6194,160,175,34
study2-understanding,6194,120,145,13
study2-understanding,6194,130,140,11
study2-understanding,6194,185,155,6
study2-understanding,6194,120,115,3
study2-understanding,6194,160,125,4
study2-understanding,6194,165,170,8
study2-understanding,6194,135,140,4
study2-understanding,5662,145,175,104
study2-understanding,5662,180,150,11
study2-understanding,5662,130,155,72
study2-understanding,5662,160,170,34
study2-understanding,5662,135,125,44
study2-understanding,5662,115,185,35
study2-understanding,5662,140,165,60
study2-understanding,5662,120,130,15
study2-understanding,5662,150,145,29
study2-understanding,5662,180,175,30
study2-understanding,5662,185,135,19
study2-understanding,5662,120,165,10
study2-understanding,5662,160,140,12
study2-understanding,5662,115,170,17
study2-understanding,5662,125,155,38
study2-understanding,5662,130,180,20
study2-understanding,5662,150,175,17
study2-understanding,5662,135,145,18
study2-understanding,5662,125,165,6
study2-understanding,5662,140,170,13
study2-understanding,5662,120,160,13
study2-understanding,5662,115,155,5
study2-understanding,5662,180,185,8
study2-understanding,5662,130,175,6
study2-understanding,5662,115,145,3
study2-understanding,6026,120,150,33
study2-understanding,6026,170,130,19
study2-understanding,6026,185,140,6
study2-understanding,6026,125,145,5
study2-understanding,6026,175,135,9
study2-understanding,6026,155,165,19
study2-understanding,6026,160,180,17
study2-understanding,6026,115,150,7
study2-understanding,6026,135,180,13
study2-understanding,6026,170,160,10
study2-understanding,6026,185,125,9
study2-understanding,6026,165,120,13
study2-understanding,6026,155,130,3
study2-understanding,6026,175,145,4
study2-understanding,6026,115,140,14
study2-understanding,6026,175,150,4
study2-understanding,6026,160,155,15
study2-understanding,6026,135,130,11
study2-understanding,6478,150,165,130
study2-understanding,6478,185,180,94
study2-understanding,6478,170,125,132
study2-understanding,6478,145,120,65
study2-understanding,6478,140,175,150
study2-understanding,6478,155,130,83
study2-understanding,6478,160,115,61
study2-understanding,6478,150,135,40
study2-understanding,6478,145,170,72
study2-understanding,6478,180,125,15
study2-understanding,6478,140,185,25
study2-understanding,6478,165,120,40
study2-understanding,6478,160,135,4
study2-understanding,6478,115,130,12
study2-understanding,6478,155,175,7
study2-understanding,6478,185,145,32
study2-understanding,6478,150,170,5
study2-understanding,6378,165,120,67
study2-understanding,6478,165,125,10
study2-understanding,6378,180,125,27
study2-understanding,6478,180,140,34
study2-understanding,6478,160,120,2
study2-understanding,6478,135,175,7
study2-understanding,6478,155,115,5
study2-understanding,6478,145,130,4
study2-understanding,6478,185,170,3
study2-understanding,6478,150,140,27
study2-understanding,6378,155,140,152
study2-understanding,6378,150,145,49
study2-understanding,6378,130,175,90
study2-understanding,6378,115,185,131
study2-understanding,6378,160,170,45
study2-understanding,6378,180,135,62
study2-understanding,6378,120,125,4
study2-understanding,6378,140,165,6
study2-understanding,6378,145,115,5
study2-understanding,5432,160,180,422
study2-understanding,5432,120,165,319
study2-understanding,5432,155,170,378
study2-understanding,5432,150,175,175
study2-understanding,5432,185,125,93
study2-understanding,5432,130,135,111
study2-understanding,5432,140,145,137
study2-understanding,5799,150,165,89
study2-understanding,5799,180,120,24
study2-understanding,5799,170,130,74
study2-understanding,5799,175,125,10
study2-understanding,5799,115,160,6
study2-understanding,5799,185,135,58
study2-understanding,5799,155,140,23
study2-understanding,5799,145,120,10
study2-understanding,5799,180,175,24
study2-understanding,5799,160,135,11
study2-understanding,5799,150,185,6
study2-understanding,5799,170,165,20
study2-understanding,5799,115,125,3
study2-understanding,5799,155,130,12
study2-understanding,5799,145,140,10
study2-understanding,5799,120,125,19
study2-understanding,5799,180,185,8
study2-understanding,5799,115,135,7
study2-understanding,5799,155,150,6
study2-understanding,5799,130,175,9
study2-understanding,3311,160,170,37
study2-understanding,3311,165,130,66
study2-understanding,3311,120,175,13
study2-understanding,3311,150,185,48
study2-understanding,3311,155,115,54
study2-understanding,3311,135,125,21
study2-understanding,3311,180,145,58
study2-understanding,3311,140,165,94
study2-understanding,3311,175,170,76
study2-understanding,3311,160,120,18
