judge,candidate_chosen,candidate_not_chosen
brugge01@d-pac.be,Council_Secretariat_1,Council_Secretariat_2
brugge01@d-pac.be,Government_of_France_1,MEP_ENF_Austria
brugge01@d-pac.be,Government_of_Poland_1,MEP_ECR_UK_Shadow
brugge01@d-pac.be,EP_Secretariat_SecGen,MEP_S&D_Belgium_Shadow
brugge01@d-pac.be,Government_of_France_2,Government_of_Italy_1
brugge01@d-pac.be,MEP_EPP_Spain,Government_of_Belgium
brugge01@d-pac.be,Government_of_Bulgaria,MEP_EPP_Sweden_Vice_Chair
brugge01@d-pac.be,MEP_ALDE_Germany,MEP_S&D_Italy
brugge01@d-pac.be,Government_of_Sweden,Government_of_Spain_2
brugge01@d-pac.be,Government_of_Austria,Council_Presidency_1
brugge01@d-pac.be,MEP_EPP_Italy,Government_of_Spain_1
brugge01@d-pac.be,MEP_ENF_France_Shadow,EP_Secretariat_Legal_Service
brugge01@d-pac.be,MEP_EPP_Germany,Government_of_Lithuania
brugge01@d-pac.be,MEP_EPP_France,Government_of_Slovenia
brugge01@d-pac.be,MEP_S&D_Romania,MEP_EFDD_Italy_Shadow_9_HOURS_LATE
brugge01@d-pac.be,MEP_EPP_Hungary,Council_Secretariat_Legal_Service
brugge01@d-pac.be,Commission_Legal_Service,Government_of_Luxembourg
brugge01@d-pac.be,MEP_EPP_Romania_Rapporteur,Commission_DG_Trade_1
brugge01@d-pac.be,MEP_S&D_Germany_Chair,MEP_S&D_UK
brugge01@d-pac.be,Commission_SecGen,Commission_EEAS
brugge01@d-pac.be,Council_Presidency_3,Government_of_Malta
brugge01@d-pac.be,MEP_EPP_Poland,Commission_Commissioner
brugge01@d-pac.be,MEP_ECR_Poland,Government_of_Finland
brugge04@d-pac.be,MEP_Greens_France_Shadow,Government_of_Estonia
brugge04@d-pac.be,Government_of_Latvia,Commission_Spokesperson
brugge04@d-pac.be,Government_of_Denmark,MEP_EFDD_UK
brugge01@d-pac.be,MEP_EPP_Lithuania,MEP_S&D_Spain
brugge01@d-pac.be,Government_of_Greece,Government_of_Slovakia_5_HOURS_LATE
brugge01@d-pac.be,Government_of_Portugal,Government_of_Hungary
brugge01@d-pac.be,Government_of_UK_2,Government_of_Romania
brugge01@d-pac.be,Government_of_Cyprus,MEP_ALDE_Finland
brugge01@d-pac.be,Commission_DG_Trade_2,Government_of_Croatia
brugge01@d-pac.be,MEP_GUE_Greece,MEP_S&D_France
brugge01@d-pac.be,EP_Secretariat_2,MEP_ECR_Czech_Republic
brugge01@d-pac.be,MEP_Greens_Germany,EP_Secretariat_1
brugge01@d-pac.be,Government_of_Italy_2,Government_of_Ireland
brugge01@d-pac.be,Council_Presidency_2,Government_of_UK_1
brugge01@d-pac.be,MEP_EPP_Luxembourg,Government_of_Germany_1
