judge,candidate_chosen,candidate_not_chosen,time_taken
crjQ3f6BsbXqwkqcK,cvP4FRNexvEeDmSwW,MFcor3aTKnq29A2W6,160.388
aWSbAXGNHgzZsBTnz,ea5tYyskbe2hJxyBg,S2jRQuwxfrevH7NTy,12.789
fJC3QTuTKQCjPdtg7,S2jRQuwxfrevH7NTy,6gZgcNytec65SZGN7,10.959
crjQ3f6BsbXqwkqcK,Mc6NBSWC4NvRT3tBn,ACEGpME2RJvXyuynF,10.057
crjQ3f6BsbXqwkqcK,6gZgcNytec65SZGN7,T5obF7dxiMLKmjcJJ,3.59
fGNbMkneyek8tyCG9,dgovLjAkHKactw8Te,Mc6NBSWC4NvRT3tBn,14.778
aWSbAXGNHgzZsBTnz,cvP4FRNexvEeDmSwW,S2jRQuwxfrevH7NTy,157.507
fJC3QTuTKQCjPdtg7,yoQr5KJnZboZZXt3K,FCwSmYgHBoASKQyD4,7.951
qH3PsB5bTfazu6C69,Mc6NBSWC4NvRT3tBn,MFcor3aTKnq29A2W6,7.082
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,FCwSmYgHBoASKQyD4,8.952
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,FCwSmYgHBoASKQyD4,7.679
qH3PsB5bTfazu6C69,Mc6NBSWC4NvRT3tBn,6gZgcNytec65SZGN7,13.268
fJC3QTuTKQCjPdtg7,yoQr5KJnZboZZXt3K,Mc6NBSWC4NvRT3tBn,23.284
fJC3QTuTKQCjPdtg7,MFcor3aTKnq29A2W6,Mc6NBSWC4NvRT3tBn,55.333
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,MFcor3aTKnq29A2W6,71.057
qH3PsB5bTfazu6C69,6gZgcNytec65SZGN7,fxspS2SEz3Bv3LgYY,6.494
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,fxspS2SEz3Bv3LgYY,8.133
fGNbMkneyek8tyCG9,fxspS2SEz3Bv3LgYY,Yt6mzQcy3Qejg82CQ,9.07
fJC3QTuTKQCjPdtg7,zoyLcsyuhL33JMGaA,6gZgcNytec65SZGN7,36.329
fGNbMkneyek8tyCG9,MFcor3aTKnq29A2W6,yoQr5KJnZboZZXt3K,11.556
fGNbMkneyek8tyCG9,S2jRQuwxfrevH7NTy,ea5tYyskbe2hJxyBg,6.535
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,ACEGpME2RJvXyuynF,24.75
aWSbAXGNHgzZsBTnz,ACEGpME2RJvXyuynF,T5obF7dxiMLKmjcJJ,241.797
crjQ3f6BsbXqwkqcK,zoyLcsyuhL33JMGaA,fxspS2SEz3Bv3LgYY,172.893
crjQ3f6BsbXqwkqcK,dgovLjAkHKactw8Te,FCwSmYgHBoASKQyD4,6.847
qH3PsB5bTfazu6C69,S2jRQuwxfrevH7NTy,T5obF7dxiMLKmjcJJ,5.527
