seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Edges,Edges0.5,Edges1.5
1,1,Edges,Edges1,Edges1.5
1,1,Edges,Edges2.5,Edges1.5
1,1,Edges,Edges2.25,Edges1.5
1,1,Edges,Edges1.5,Edges1.25
1,1,Edges,Edges1.5,Edges0.75
1,1,Edges,Edges1.75,Edges1.5
1,1,Edges,Edges2,Edges1.5
1,1,Edges,Edges2.25,Edges1.25
1,1,Edges,Edges1.75,Edges1.25
1,1,Edges,Edges1.25,Edges1
1,1,Edges,Edges1.25,Edges0.75
1,1,Edges,Edges1.25,Edges0.5
1,1,Edges,Edges1.25,Edges1.5
1,1,Edges,Edges2.5,Edges1.25
1,1,Edges,Edges2,Edges1.25
1,1,Edges,Edges2,Edges0.5
1,1,Edges,Edges2,Edges1
1,1,Edges,Edges1,Edges0.75
1,1,Edges,Edges0.5,Edges0.75
1,1,Edges,Edges2,Edges1.5
1,1,Edges,Edges2,Edges2.25
1,1,Edges,Edges1.75,Edges0.75
1,1,Edges,Edges1.25,Edges0.75
1,1,Edges,Edges2.25,Edges0.75
1,1,Edges,Edges2,Edges0.75
1,1,Edges,Edges2.5,Edges0.75
1,1,Edges,Edges1.25,Edges2
1,1,Edges,Edges1.5,Edges0.75
1,1,Edges,Edges2.5,Edges2
1,1,Edges,Edges2,Edges1.75
1,1,Edges,Edges2,Edges0.75
1,1,Edges,Edges1.25,Edges0.5
1,1,Edges,Edges1.5,Edges0.5
1,1,Edges,Edges1.75,Edges0.5
1,1,Edges,Edges1,Edges0.5
1,1,Edges,Edges2.5,Edges0.5
1,1,Edges,Edges2,Edges0.5
1,1,Edges,Edges2.25,Edges0.5
1,1,Edges,Edges0.75,Edges0.5
1,1,Edges,Edges2.5,Edges1.5
1,1,Edges,Edges2.25,Edges2.5
1,1,Edges,Edges2.5,Edges1
1,1,Edges,Edges2.5,Edges1.75
1,1,Edges,Edges2.5,Edges0.5
1,1,Edges,Edges2.5,Edges1.25
1,1,Edges,Edges2.5,Edges0.75
1,1,Edges,Edges2.5,Edges2
1,1,Edges,Edges2.25,Edges0.5
1,1,Edges,Edges2.25,Edges2
1,1,Edges,Edges2.25,Edges1.5
1,1,Edges,Edges2.25,Edges1.75
1,1,Edges,Edges1,Edges2.25
1,1,Edges,Edges2.5,Edges2.25
1,1,Edges,Edges2.25,Edges0.75
1,1,Edges,Edges2.25,Edges1.25
1,1,Edges,Edges2.5,Edges1
1,1,Edges,Edges2,Edges1
1,1,Edges,Edges1,Edges0.75
1,1,Edges,Edges1.5,Edges1
1,1,Edges,Edges1.25,Edges1
1,1,Edges,Edges1,Edges0.5
1,1,Edges,Edges2.25,Edges1
1,1,Edges,Edges1.75,Edges1
1,1,Edges,Edges2.5,Edges1.75
1,1,Edges,Edges1.75,Edges1.25
1,1,Edges,Edges2.25,Edges1.75
1,1,Edges,Edges2,Edges1.75
1,1,Edges,Edges1,Edges1.75
1,1,Edges,Edges1.75,Edges0.75
1,1,Edges,Edges1.75,Edges0.5
1,1,Edges,Edges1.75,Edges1.5
1,9,Edges,Edges1.5,Edges2.5
1,9,Edges,Edges1.5,Edges1.75
1,9,Edges,Edges1.5,Edges0.5
1,9,Edges,Edges1.5,Edges1.25
1,9,Edges,Edges1.5,Edges1
1,9,Edges,Edges1.5,Edges2.25
1,9,Edges,Edges1.5,Edges0.75
1,9,Edges,Edges2,Edges1.5
1,9,Edges,Edges2.25,Edges0.5
1,9,Edges,Edges1.5,Edges0.5
1,9,Edges,Edges2.5,Edges0.5
1,9,Edges,Edges1.75,Edges0.5
1,9,Edges,Edges1,Edges0.5
1,9,Edges,Edges0.75,Edges0.5
1,9,Edges,Edges2,Edges0.5
1,9,Edges,Edges1.25,Edges0.5
1,9,Edges,Edges1.75,Edges2
1,9,Edges,Edges0.75,Edges0.5
1,9,Edges,Edges2,Edges2.25
1,9,Edges,Edges2,Edges0.75
1,9,Edges,Edges2.5,Edges0.75
1,9,Edges,Edges2,Edges1.5
1,9,Edges,Edges2.25,Edges0.75
1,9,Edges,Edges2,Edges1
1,9,Edges,Edges1.75,Edges0.75
1,9,Edges,Edges1,Edges0.75
1,9,Edges,Edges2,Edges1.25
1,9,Edges,Edges2,Edges0.75
1,9,Edges,Edges1.5,Edges0.75
1,9,Edges,Edges2,Edges2.5
1,9,Edges,Edges1.25,Edges0.75
1,9,Edges,Edges2,Edges0.5
1,9,Edges,Edges1.25,Edges0.5
1,9,Edges,Edges1.5,Edges1.25
1,9,Edges,Edges1.75,Edges1.25
1,9,Edges,Edges2.25,Edges1.25
1,9,Edges,Edges1.25,Edges0.75
1,9,Edges,Edges1.25,Edges1
1,9,Edges,Edges2.5,Edges1.25
