seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Fracts,Fracts1,Fracts0.75
1,1,Fracts,Fracts1.5,Fracts1
1,1,Fracts,Fracts2,Fracts1
1,1,Fracts,Fracts1.75,Fracts1
1,1,Fracts,Fracts1.25,Fracts1
1,1,Fracts,Fracts1,Fracts0.5
1,1,Fracts,Fracts2.5,Fracts1
1,1,Fracts,Fracts2.25,Fracts1
1,1,Fracts,Fracts2.5,Fracts0.75
1,1,Fracts,Fracts1.5,Fracts0.75
1,1,Fracts,Fracts1,Fracts0.75
1,1,Fracts,Fracts2,Fracts0.75
1,1,Fracts,Fracts2.25,Fracts0.75
1,1,Fracts,Fracts1.75,Fracts0.75
1,1,Fracts,Fracts0.75,Fracts0.5
1,1,Fracts,Fracts1.25,Fracts0.75
1,1,Fracts,Fracts1.5,Fracts1
1,1,Fracts,Fracts1.5,Fracts0.5
1,1,Fracts,Fracts1.5,Fracts1.25
1,1,Fracts,Fracts1.5,Fracts0.75
1,1,Fracts,Fracts2.25,Fracts1.5
1,1,Fracts,Fracts2,Fracts1.5
1,1,Fracts,Fracts2.5,Fracts1.5
1,1,Fracts,Fracts1.75,Fracts1.5
1,1,Fracts,Fracts2.25,Fracts1.5
1,1,Fracts,Fracts1.25,Fracts2.25
1,1,Fracts,Fracts2.25,Fracts0.75
1,1,Fracts,Fracts2.25,Fracts0.5
1,1,Fracts,Fracts2.25,Fracts1.75
1,1,Fracts,Fracts2.25,Fracts2
1,1,Fracts,Fracts2.5,Fracts2.25
1,1,Fracts,Fracts2.25,Fracts1
1,1,Fracts,Fracts2.5,Fracts2
1,1,Fracts,Fracts2.25,Fracts2
1,1,Fracts,Fracts2,Fracts0.75
1,1,Fracts,Fracts2,Fracts1.5
1,1,Fracts,Fracts2,Fracts1
1,1,Fracts,Fracts2,Fracts1.75
1,1,Fracts,Fracts2,Fracts1.25
1,1,Fracts,Fracts2,Fracts0.5
1,1,Fracts,Fracts1.75,Fracts1.25
1,1,Fracts,Fracts2.5,Fracts1.75
