seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Mountain,Mountain1.75,Mountain1
1,1,Mountain,Mountain1.75,Mountain0.5
1,1,Mountain,Mountain1.75,Mountain1.25
1,1,Mountain,Mountain2.25,Mountain1.75
1,1,Mountain,Mountain1.75,Mountain1.5
1,1,Mountain,Mountain2,Mountain1.75
1,1,Mountain,Mountain1.75,Mountain0.75
1,1,Mountain,Mountain2.5,Mountain1.75
1,1,Mountain,Mountain2.5,Mountain1.5
1,1,Mountain,Mountain1.75,Mountain1.5
1,1,Mountain,Mountain2.25,Mountain1.5
1,1,Mountain,Mountain1.5,Mountain0.5
1,1,Mountain,Mountain1.5,Mountain1.25
1,1,Mountain,Mountain1.5,Mountain0.75
1,1,Mountain,Mountain1.5,Mountain1
1,1,Mountain,Mountain2,Mountain1.5
1,1,Mountain,Mountain2.25,Mountain1.5
1,1,Mountain,Mountain2.25,Mountain1
1,1,Mountain,Mountain2.25,Mountain1.25
1,1,Mountain,Mountain2.25,Mountain2
1,1,Mountain,Mountain2.25,Mountain1.75
1,1,Mountain,Mountain2.25,Mountain2.5
1,1,Mountain,Mountain2.25,Mountain0.75
1,1,Mountain,Mountain2.25,Mountain0.5
1,1,Mountain,Mountain0.75,Mountain0.5
1,1,Mountain,Mountain1.25,Mountain0.75
1,1,Mountain,Mountain1.5,Mountain0.75
1,1,Mountain,Mountain2.25,Mountain0.75
1,1,Mountain,Mountain2,Mountain0.75
1,1,Mountain,Mountain1.75,Mountain0.75
1,1,Mountain,Mountain1,Mountain0.75
1,1,Mountain,Mountain2.5,Mountain0.75
1,1,Mountain,Mountain2,Mountain1
1,1,Mountain,Mountain2.25,Mountain0.5
1,1,Mountain,Mountain1,Mountain0.75
1,1,Mountain,Mountain1,Mountain1.25
1,1,Mountain,Mountain2.5,Mountain0.5
1,1,Mountain,Mountain1.5,Mountain0.5
1,1,Mountain,Mountain1,Mountain0.5
1,1,Mountain,Mountain1.5,Mountain1
1,1,Mountain,Mountain1.25,Mountain0.5
1,1,Mountain,Mountain2,Mountain0.5
1,1,Mountain,Mountain2.25,Mountain1
1,1,Mountain,Mountain2.5,Mountain1
1,1,Mountain,Mountain0.5,Mountain0.75
1,1,Mountain,Mountain1.75,Mountain0.5
1,1,Mountain,Mountain1.75,Mountain1
1,1,Mountain,Mountain1,Mountain0.5
1,1,Mountain,Mountain2.5,Mountain0.5
1,1,Mountain,Mountain2.5,Mountain0.75
1,1,Mountain,Mountain2.5,Mountain1.25
1,1,Mountain,Mountain2.5,Mountain1.75
1,1,Mountain,Mountain2.5,Mountain1.5
1,1,Mountain,Mountain2.5,Mountain1
1,1,Mountain,Mountain2.5,Mountain2
1,1,Mountain,Mountain2.5,Mountain2.25
1,1,Mountain,Mountain2.5,Mountain1.25
1,1,Mountain,Mountain1.25,Mountain1.5
1,1,Mountain,Mountain1.25,Mountain1
1,1,Mountain,Mountain1.75,Mountain1.25
1,1,Mountain,Mountain2.25,Mountain1.25
1,1,Mountain,Mountain1.25,Mountain0.75
1,1,Mountain,Mountain2,Mountain1.25
1,1,Mountain,Mountain1.25,Mountain0.5
1,1,Mountain,Mountain2,Mountain1.75
1,1,Mountain,Mountain2,Mountain0.75
1,1,Mountain,Mountain2,Mountain1.5
1,1,Mountain,Mountain2,Mountain1.25
1,1,Mountain,Mountain2.5,Mountain2
1,1,Mountain,Mountain2,Mountain0.5
1,1,Mountain,Mountain2,Mountain1
1,1,Mountain,Mountain2.25,Mountain2
1,9,Mountain,Mountain1.75,Mountain0.5
1,9,Mountain,Mountain1.75,Mountain1.25
1,9,Mountain,Mountain2.5,Mountain1.75
1,9,Mountain,Mountain1.75,Mountain0.75
1,9,Mountain,Mountain1.75,Mountain1.5
1,9,Mountain,Mountain1.75,Mountain2.25
1,9,Mountain,Mountain1.75,Mountain1
1,9,Mountain,Mountain2,Mountain1.75
1,9,Mountain,Mountain1.75,Mountain0.75
1,9,Mountain,Mountain1,Mountain0.75
1,9,Mountain,Mountain2.5,Mountain0.75
1,9,Mountain,Mountain2,Mountain0.75
1,9,Mountain,Mountain0.75,Mountain0.5
1,9,Mountain,Mountain2.25,Mountain0.75
1,9,Mountain,Mountain1.25,Mountain0.75
1,9,Mountain,Mountain1.5,Mountain0.75
1,9,Mountain,Mountain2.25,Mountain1.5
1,9,Mountain,Mountain2.25,Mountain0.75
1,9,Mountain,Mountain2.25,Mountain1.25
1,9,Mountain,Mountain2.25,Mountain2.5
1,9,Mountain,Mountain2.25,Mountain1.75
1,9,Mountain,Mountain2.25,Mountain0.5
1,9,Mountain,Mountain2.25,Mountain1
1,9,Mountain,Mountain2,Mountain2.25
1,9,Mountain,Mountain2.5,Mountain1.5
1,9,Mountain,Mountain1.5,Mountain0.5
1,9,Mountain,Mountain1.75,Mountain1.5
1,9,Mountain,Mountain1.5,Mountain1.25
1,9,Mountain,Mountain1.5,Mountain1
1,9,Mountain,Mountain2.25,Mountain1.5
1,9,Mountain,Mountain2,Mountain1.5
1,9,Mountain,Mountain1.5,Mountain0.75
1,9,Mountain,Mountain1.5,Mountain1
1,9,Mountain,Mountain1.5,Mountain0.5
1,9,Mountain,Mountain1.25,Mountain1
1,9,Mountain,Mountain2.5,Mountain1
1,9,Mountain,Mountain0.75,Mountain0.5
1,9,Mountain,Mountain2.25,Mountain1
1,9,Mountain,Mountain1,Mountain0.5
1,9,Mountain,Mountain2,Mountain0.5
1,9,Mountain,Mountain1,Mountain0.5
1,9,Mountain,Mountain1.75,Mountain0.5
1,9,Mountain,Mountain1.25,Mountain0.5
1,9,Mountain,Mountain0.75,Mountain1
1,9,Mountain,Mountain1.75,Mountain1
1,9,Mountain,Mountain2.25,Mountain0.5
1,9,Mountain,Mountain2.5,Mountain0.5
1,9,Mountain,Mountain2,Mountain1
1,9,Mountain,Mountain2,Mountain1.25
1,9,Mountain,Mountain2,Mountain0.75
1,9,Mountain,Mountain2,Mountain1
1,9,Mountain,Mountain2,Mountain0.5
1,9,Mountain,Mountain2,Mountain1.5
1,9,Mountain,Mountain2,Mountain1.75
1,9,Mountain,Mountain2,Mountain2.25
