seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Thr,Thr1.25,Thr1
1,1,Thr,Thr1.75,Thr0.5
1,1,Thr,Thr2.25,Thr0.5
1,1,Thr,Thr0.75,Thr0.5
1,1,Thr,Thr1.75,Thr1.25
1,1,Thr,Thr0.5,Thr1
1,1,Thr,Thr1.5,Thr1.25
1,1,Thr,Thr2.25,Thr1.25
1,1,Thr,Thr2.5,Thr0.5
1,1,Thr,Thr1.5,Thr0.5
1,1,Thr,Thr0.75,Thr1.25
1,1,Thr,Thr1.25,Thr0.5
1,1,Thr,Thr2,Thr1.25
1,1,Thr,Thr2,Thr0.5
1,1,Thr,Thr2.5,Thr1.25
1,1,Thr,Thr0.5,Thr1.25
1,1,Thr,Thr1.25,Thr1
1,1,Thr,Thr2.5,Thr1
1,1,Thr,Thr2,Thr1
1,1,Thr,Thr1,Thr0.75
1,1,Thr,Thr1,Thr0.5
1,1,Thr,Thr2.25,Thr1
1,1,Thr,Thr1.5,Thr1
1,1,Thr,Thr1.75,Thr1
1,1,Thr,Thr1.75,Thr1.5
1,1,Thr,Thr1.75,Thr0.5
1,1,Thr,Thr1.75,Thr0.75
1,1,Thr,Thr2,Thr1.75
1,1,Thr,Thr1.25,Thr1.75
1,1,Thr,Thr2.25,Thr1.75
1,1,Thr,Thr2.5,Thr1.75
1,1,Thr,Thr1.75,Thr1
1,1,Thr,Thr1.25,Thr2.5
1,1,Thr,Thr2.5,Thr1.5
1,1,Thr,Thr2.5,Thr0.75
1,1,Thr,Thr2.25,Thr2.5
1,1,Thr,Thr2.5,Thr1.75
1,1,Thr,Thr2.5,Thr2
1,1,Thr,Thr2.5,Thr0.5
1,1,Thr,Thr2.5,Thr1
1,1,Thr,Thr2.25,Thr1.5
1,1,Thr,Thr2.25,Thr0.5
1,1,Thr,Thr2.25,Thr1.25
1,1,Thr,Thr2.25,Thr2
1,1,Thr,Thr2.25,Thr0.75
1,1,Thr,Thr2.5,Thr2.25
1,1,Thr,Thr2.25,Thr1.75
1,1,Thr,Thr2.25,Thr1
1,1,Thr,Thr2.25,Thr2
1,1,Thr,Thr2,Thr1.75
1,1,Thr,Thr2,Thr1.5
1,1,Thr,Thr2,Thr1.25
1,1,Thr,Thr2,Thr1
1,1,Thr,Thr2.5,Thr2
1,1,Thr,Thr2,Thr0.5
1,1,Thr,Thr2,Thr0.75
1,1,Thr,Thr0.5,Thr0.75
1,1,Thr,Thr2.25,Thr0.75
1,1,Thr,Thr0.75,Thr1
1,1,Thr,Thr2,Thr0.75
1,1,Thr,Thr1.75,Thr0.75
1,1,Thr,Thr0.75,Thr1.25
1,1,Thr,Thr2.5,Thr0.75
1,1,Thr,Thr0.75,Thr1.5
1,1,Thr,Thr2.25,Thr1.5
1,1,Thr,Thr2.5,Thr1.5
1,1,Thr,Thr1.75,Thr1.5
1,1,Thr,Thr1.5,Thr1
1,1,Thr,Thr1.5,Thr0.75
1,1,Thr,Thr1.5,Thr0.5
1,1,Thr,Thr1.5,Thr1.25
1,1,Thr,Thr2,Thr1.5
1,9,Thr,Thr0.5,Thr2.25
1,9,Thr,Thr1.75,Thr1.25
1,9,Thr,Thr1,Thr0.5
1,9,Thr,Thr1.5,Thr0.5
1,9,Thr,Thr1.5,Thr1.25
1,9,Thr,Thr1.75,Thr0.5
1,9,Thr,Thr2,Thr1.25
1,9,Thr,Thr1.25,Thr1
1,9,Thr,Thr2,Thr0.5
1,9,Thr,Thr1.25,Thr0.5
1,9,Thr,Thr0.75,Thr0.5
1,9,Thr,Thr2.5,Thr0.5
1,9,Thr,Thr2.5,Thr1.25
1,9,Thr,Thr1.25,Thr0.5
1,9,Thr,Thr1.25,Thr0.75
1,9,Thr,Thr1.25,Thr2.25
1,9,Thr,Thr2.5,Thr1
1,9,Thr,Thr2.5,Thr1.25
1,9,Thr,Thr2.5,Thr2
1,9,Thr,Thr2.5,Thr0.5
1,9,Thr,Thr2.5,Thr1.5
1,9,Thr,Thr2.25,Thr2.5
1,9,Thr,Thr2.5,Thr0.75
1,9,Thr,Thr2.5,Thr1.75
1,9,Thr,Thr1.75,Thr2
1,9,Thr,Thr1.75,Thr2.5
1,9,Thr,Thr1.75,Thr0.75
1,9,Thr,Thr1.75,Thr1
1,9,Thr,Thr1.75,Thr1.25
1,9,Thr,Thr1.75,Thr0.5
1,9,Thr,Thr1.75,Thr2.25
1,9,Thr,Thr1.75,Thr1.5
1,9,Thr,Thr1,Thr0.75
1,9,Thr,Thr2,Thr1
1,9,Thr,Thr2.25,Thr1
1,9,Thr,Thr1.25,Thr1
1,9,Thr,Thr2.5,Thr1
1,9,Thr,Thr1,Thr0.5
1,9,Thr,Thr1.5,Thr1
1,9,Thr,Thr1.75,Thr1
1,9,Thr,Thr2.25,Thr1
1,9,Thr,Thr2.25,Thr1.75
1,9,Thr,Thr2.25,Thr1.5
1,9,Thr,Thr2.25,Thr0.75
1,9,Thr,Thr2,Thr2.25
1,9,Thr,Thr2.25,Thr2.5
1,9,Thr,Thr2.25,Thr1.25
1,9,Thr,Thr2.25,Thr0.5
1,9,Thr,Thr1.5,Thr0.5
1,9,Thr,Thr1.5,Thr0.75
1,9,Thr,Thr1.5,Thr2.5
1,9,Thr,Thr1.5,Thr1.75
1,9,Thr,Thr1.5,Thr1.25
1,9,Thr,Thr1.5,Thr1
1,9,Thr,Thr1.5,Thr2.25
1,9,Thr,Thr1.5,Thr2
1,9,Thr,Thr0.75,Thr1
1,9,Thr,Thr2,Thr0.75
1,9,Thr,Thr2.25,Thr0.75
1,9,Thr,Thr1.25,Thr0.75
1,9,Thr,Thr1.5,Thr0.75
1,9,Thr,Thr0.75,Thr0.5
1,9,Thr,Thr1.75,Thr0.75
1,9,Thr,Thr2.5,Thr0.75
1,9,Thr,Thr1.5,Thr2
1,9,Thr,Thr2,Thr1.25
1,9,Thr,Thr1.75,Thr2
1,9,Thr,Thr2,Thr0.5
1,9,Thr,Thr2.5,Thr2
1,9,Thr,Thr2,Thr2.25
1,9,Thr,Thr2,Thr0.75
1,9,Thr,Thr2,Thr1
1,14,Thr,Thr0.75,Thr2.5
1,14,Thr,Thr1.75,Thr0.75
1,14,Thr,Thr1.25,Thr0.75
1,14,Thr,Thr0.75,Thr0.5
1,14,Thr,Thr1.5,Thr0.75
1,14,Thr,Thr1,Thr0.75
1,14,Thr,Thr0.75,Thr2.25
1,14,Thr,Thr0.75,Thr2
1,14,Thr,Thr1.5,Thr0.75
1,14,Thr,Thr1.5,Thr1
1,14,Thr,Thr1.5,Thr2
1,14,Thr,Thr1.5,Thr0.5
1,14,Thr,Thr1.5,Thr2.25
1,14,Thr,Thr1.5,Thr1.25
1,14,Thr,Thr1.5,Thr2.5
1,14,Thr,Thr1.5,Thr1.75
1,14,Thr,Thr0.75,Thr2.25
1,14,Thr,Thr2,Thr2.25
1,14,Thr,Thr1.5,Thr2.25
1,14,Thr,Thr2.25,Thr2.5
1,14,Thr,Thr1.75,Thr2.25
1,14,Thr,Thr1.25,Thr2.25
1,14,Thr,Thr0.5,Thr2.25
1,14,Thr,Thr1,Thr2.25
1,14,Thr,Thr1.5,Thr1
1,14,Thr,Thr1,Thr2.5
1,14,Thr,Thr1,Thr2.25
1,14,Thr,Thr1,Thr2
1,14,Thr,Thr1,Thr0.5
1,14,Thr,Thr1,Thr0.75
1,14,Thr,Thr1.75,Thr1
1,14,Thr,Thr1.25,Thr1
1,14,Thr,Thr1.25,Thr0.75
1,14,Thr,Thr2.5,Thr0.5
1,14,Thr,Thr1.25,Thr0.5
1,14,Thr,Thr1,Thr0.5
1,14,Thr,Thr1.25,Thr1
1,14,Thr,Thr0.75,Thr0.5
1,14,Thr,Thr1.25,Thr1.5
1,14,Thr,Thr1.25,Thr2.25
1,14,Thr,Thr0.5,Thr2.25
1,14,Thr,Thr1.25,Thr1.75
1,14,Thr,Thr1.5,Thr0.5
1,14,Thr,Thr1.25,Thr0.5
1,14,Thr,Thr1.25,Thr2.5
1,14,Thr,Thr0.5,Thr1.75
1,14,Thr,Thr1.25,Thr2
1,14,Thr,Thr2,Thr0.5
1,14,Thr,Thr1,Thr2
1,14,Thr,Thr1.75,Thr2
1,14,Thr,Thr1.25,Thr2
1,14,Thr,Thr2,Thr2.25
1,14,Thr,Thr2,Thr0.75
1,14,Thr,Thr2,Thr0.5
1,14,Thr,Thr1.5,Thr2
1,14,Thr,Thr2,Thr2.5
