judge,candidate_chosen,candidate_not_chosen
1_A162YP37U7OC5T,A1,B1
1_A162YP37U7OC5T,B2,A2
1_A162YP37U7OC5T,A3,B3
1_A162YP37U7OC5T,A4,B4
1_A162YP37U7OC5T,B5,A5
1_A162YP37U7OC5T,A1,C1
1_A162YP37U7OC5T,C2,A2
1_A162YP37U7OC5T,A3,C3
1_A162YP37U7OC5T,A4,C4
1_A162YP37U7OC5T,C5,A5
1_A162YP37U7OC5T,D1,A1
1_A162YP37U7OC5T,D2,A2
1_A162YP37U7OC5T,D3,A3
1_A162YP37U7OC5T,D4,A4
1_A162YP37U7OC5T,D5,A5
1_A162YP37U7OC5T,C1,B1
1_A162YP37U7OC5T,B2,C2
1_A162YP37U7OC5T,B3,C3
1_A162YP37U7OC5T,B4,C4
1_A162YP37U7OC5T,B5,C5
1_A162YP37U7OC5T,D1,B1
1_A162YP37U7OC5T,D2,B2
1_A162YP37U7OC5T,D3,B3
1_A162YP37U7OC5T,D4,B4
1_A162YP37U7OC5T,B5,D5
1_A162YP37U7OC5T,D1,C1
1_A162YP37U7OC5T,D2,C2
1_A162YP37U7OC5T,D3,C3
1_A162YP37U7OC5T,D4,C4
1_A162YP37U7OC5T,D5,C5
2_A16SR2HQIWRFD6,A1,B1
2_A16SR2HQIWRFD6,B2,A2
2_A16SR2HQIWRFD6,B3,A3
2_A16SR2HQIWRFD6,A4,B4
2_A16SR2HQIWRFD6,B5,A5
2_A16SR2HQIWRFD6,A1,C1
2_A16SR2HQIWRFD6,A2,C2
2_A16SR2HQIWRFD6,C3,A3
2_A16SR2HQIWRFD6,A4,C4
2_A16SR2HQIWRFD6,C5,A5
2_A16SR2HQIWRFD6,A1,D1
2_A16SR2HQIWRFD6,D2,A2
2_A16SR2HQIWRFD6,D3,A3
2_A16SR2HQIWRFD6,A4,D4
2_A16SR2HQIWRFD6,D5,A5
2_A16SR2HQIWRFD6,C1,B1
2_A16SR2HQIWRFD6,B2,C2
2_A16SR2HQIWRFD6,B3,C3
2_A16SR2HQIWRFD6,B4,C4
2_A16SR2HQIWRFD6,B5,C5
2_A16SR2HQIWRFD6,D1,B1
2_A16SR2HQIWRFD6,B2,D2
2_A16SR2HQIWRFD6,D3,B3
2_A16SR2HQIWRFD6,B4,D4
2_A16SR2HQIWRFD6,D5,B5
2_A16SR2HQIWRFD6,D1,C1
2_A16SR2HQIWRFD6,D2,C2
2_A16SR2HQIWRFD6,D3,C3
2_A16SR2HQIWRFD6,D4,C4
2_A16SR2HQIWRFD6,D5,C5
3_A19KF02ULCISTQ,A1,B1
3_A19KF02ULCISTQ,B2,A2
3_A19KF02ULCISTQ,B3,A3
3_A19KF02ULCISTQ,A4,B4
3_A19KF02ULCISTQ,B5,A5
3_A19KF02ULCISTQ,C1,A1
3_A19KF02ULCISTQ,C2,A2
3_A19KF02ULCISTQ,C3,A3
3_A19KF02ULCISTQ,A4,C4
3_A19KF02ULCISTQ,C5,A5
3_A19KF02ULCISTQ,D1,A1
3_A19KF02ULCISTQ,D2,A2
3_A19KF02ULCISTQ,D3,A3
3_A19KF02ULCISTQ,D4,A4
3_A19KF02ULCISTQ,D5,A5
3_A19KF02ULCISTQ,C1,B1
3_A19KF02ULCISTQ,B2,C2
3_A19KF02ULCISTQ,B3,C3
3_A19KF02ULCISTQ,B4,C4
3_A19KF02ULCISTQ,B5,C5
3_A19KF02ULCISTQ,D1,B1
3_A19KF02ULCISTQ,D2,B2
3_A19KF02ULCISTQ,D3,B3
3_A19KF02ULCISTQ,D4,B4
3_A19KF02ULCISTQ,D5,B5
3_A19KF02ULCISTQ,D1,C1
3_A19KF02ULCISTQ,D2,C2
3_A19KF02ULCISTQ,C3,D3
3_A19KF02ULCISTQ,D4,C4
3_A19KF02ULCISTQ,D5,C5
4_A21DXSGSWBT3UT,A1,B1
4_A21DXSGSWBT3UT,B2,A2
4_A21DXSGSWBT3UT,B3,A3
4_A21DXSGSWBT3UT,A4,B4
4_A21DXSGSWBT3UT,B5,A5
4_A21DXSGSWBT3UT,A1,C1
4_A21DXSGSWBT3UT,A2,C2
4_A21DXSGSWBT3UT,C3,A3
4_A21DXSGSWBT3UT,A4,C4
4_A21DXSGSWBT3UT,A5,C5
4_A21DXSGSWBT3UT,D1,A1
4_A21DXSGSWBT3UT,D2,A2
4_A21DXSGSWBT3UT,D3,A3
4_A21DXSGSWBT3UT,D4,A4
4_A21DXSGSWBT3UT,D5,A5
4_A21DXSGSWBT3UT,B1,C1
4_A21DXSGSWBT3UT,B2,C2
4_A21DXSGSWBT3UT,C3,B3
4_A21DXSGSWBT3UT,B4,C4
4_A21DXSGSWBT3UT,B5,C5
4_A21DXSGSWBT3UT,D1,B1
4_A21DXSGSWBT3UT,D2,B2
4_A21DXSGSWBT3UT,D3,B3
4_A21DXSGSWBT3UT,D4,B4
4_A21DXSGSWBT3UT,D5,B5
4_A21DXSGSWBT3UT,D1,C1
4_A21DXSGSWBT3UT,D2,C2
4_A21DXSGSWBT3UT,C3,D3
4_A21DXSGSWBT3UT,D4,C4
4_A21DXSGSWBT3UT,D5,C5
5_A23Y6SGE73H4IW,A1,B1
5_A23Y6SGE73H4IW,B2,A2
5_A23Y6SGE73H4IW,B3,A3
