judge,candidate_chosen,candidate_not_chosen
1_A162YP37U7OC5T,E1,F1
1_A162YP37U7OC5T,F2,E2
1_A162YP37U7OC5T,E3,F3
1_A162YP37U7OC5T,E4,F4
1_A162YP37U7OC5T,E5,F5
1_A162YP37U7OC5T,E1,G1
1_A162YP37U7OC5T,G2,E2
1_A162YP37U7OC5T,E3,G3
1_A162YP37U7OC5T,G4,E4
1_A162YP37U7OC5T,E5,G5
1_A162YP37U7OC5T,E1,H1
1_A162YP37U7OC5T,H2,E2
1_A162YP37U7OC5T,E3,H3
1_A162YP37U7OC5T,H4,E4
1_A162YP37U7OC5T,H5,E5
1_A162YP37U7OC5T,G1,F1
1_A162YP37U7OC5T,F2,G2
1_A162YP37U7OC5T,F3,G3
1_A162YP37U7OC5T,F4,G4
1_A162YP37U7OC5T,F5,G5
1_A162YP37U7OC5T,H1,F1
1_A162YP37U7OC5T,F2,H2
1_A162YP37U7OC5T,H3,F3
1_A162YP37U7OC5T,H4,F4
1_A162YP37U7OC5T,H5,F5
1_A162YP37U7OC5T,H1,G1
1_A162YP37U7OC5T,H2,G2
1_A162YP37U7OC5T,H3,G3
1_A162YP37U7OC5T,H4,G4
1_A162YP37U7OC5T,G5,H5
2_A16SR2HQIWRFD6,F1,E1
2_A16SR2HQIWRFD6,F2,E2
2_A16SR2HQIWRFD6,F3,E3
2_A16SR2HQIWRFD6,E4,F4
2_A16SR2HQIWRFD6,E5,F5
2_A16SR2HQIWRFD6,G1,E1
2_A16SR2HQIWRFD6,E2,G2
2_A16SR2HQIWRFD6,E3,G3
2_A16SR2HQIWRFD6,G4,E4
2_A16SR2HQIWRFD6,E5,G5
2_A16SR2HQIWRFD6,E1,H1
2_A16SR2HQIWRFD6,H2,E2
2_A16SR2HQIWRFD6,H3,E3
2_A16SR2HQIWRFD6,H4,E4
2_A16SR2HQIWRFD6,H5,E5
2_A16SR2HQIWRFD6,F1,G1
2_A16SR2HQIWRFD6,F2,G2
2_A16SR2HQIWRFD6,F3,G3
2_A16SR2HQIWRFD6,F4,G4
2_A16SR2HQIWRFD6,F5,G5
2_A16SR2HQIWRFD6,F1,H1
2_A16SR2HQIWRFD6,H2,F2
2_A16SR2HQIWRFD6,F3,H3
2_A16SR2HQIWRFD6,H4,F4
2_A16SR2HQIWRFD6,H5,F5
2_A16SR2HQIWRFD6,G1,H1
2_A16SR2HQIWRFD6,H2,G2
2_A16SR2HQIWRFD6,H3,G3
2_A16SR2HQIWRFD6,H4,G4
2_A16SR2HQIWRFD6,G5,H5
3_A19KF02ULCISTQ,F1,E1
3_A19KF02ULCISTQ,F2,E2
3_A19KF02ULCISTQ,F3,E3
3_A19KF02ULCISTQ,F4,E4
3_A19KF02ULCISTQ,F5,E5
3_A19KF02ULCISTQ,E1,G1
3_A19KF02ULCISTQ,G2,E2
3_A19KF02ULCISTQ,E3,G3
3_A19KF02ULCISTQ,G4,E4
3_A19KF02ULCISTQ,E5,G5
3_A19KF02ULCISTQ,E1,H1
3_A19KF02ULCISTQ,H2,E2
3_A19KF02ULCISTQ,H3,E3
3_A19KF02ULCISTQ,H4,E4
3_A19KF02ULCISTQ,H5,E5
3_A19KF02ULCISTQ,F1,G1
3_A19KF02ULCISTQ,F2,G2
3_A19KF02ULCISTQ,F3,G3
3_A19KF02ULCISTQ,F4,G4
3_A19KF02ULCISTQ,F5,G5
3_A19KF02ULCISTQ,F1,H1
3_A19KF02ULCISTQ,F2,H2
3_A19KF02ULCISTQ,H3,F3
3_A19KF02ULCISTQ,H4,F4
3_A19KF02ULCISTQ,H5,F5
3_A19KF02ULCISTQ,H1,G1
3_A19KF02ULCISTQ,H2,G2
3_A19KF02ULCISTQ,H3,G3
3_A19KF02ULCISTQ,H4,G4
3_A19KF02ULCISTQ,G5,H5
4_A21DXSGSWBT3UT,E1,F1
4_A21DXSGSWBT3UT,F2,E2
4_A21DXSGSWBT3UT,E3,F3
4_A21DXSGSWBT3UT,E4,F4
4_A21DXSGSWBT3UT,E5,F5
4_A21DXSGSWBT3UT,E1,G1
4_A21DXSGSWBT3UT,E2,G2
4_A21DXSGSWBT3UT,E3,G3
4_A21DXSGSWBT3UT,E4,G4
4_A21DXSGSWBT3UT,E5,G5
4_A21DXSGSWBT3UT,H1,E1
4_A21DXSGSWBT3UT,H2,E2
4_A21DXSGSWBT3UT,H3,E3
4_A21DXSGSWBT3UT,H4,E4
4_A21DXSGSWBT3UT,H5,E5
4_A21DXSGSWBT3UT,F1,G1
4_A21DXSGSWBT3UT,F2,G2
4_A21DXSGSWBT3UT,F3,G3
4_A21DXSGSWBT3UT,F4,G4
4_A21DXSGSWBT3UT,F5,G5
4_A21DXSGSWBT3UT,H1,F1
4_A21DXSGSWBT3UT,F2,H2
4_A21DXSGSWBT3UT,H3,F3
4_A21DXSGSWBT3UT,H4,F4
4_A21DXSGSWBT3UT,H5,F5
4_A21DXSGSWBT3UT,H1,G1
4_A21DXSGSWBT3UT,H2,G2
4_A21DXSGSWBT3UT,H3,G3
4_A21DXSGSWBT3UT,H4,G4
4_A21DXSGSWBT3UT,G5,H5
5_A23Y6SGE73H4IW,F1,E1
5_A23Y6SGE73H4IW,F2,E2
5_A23Y6SGE73H4IW,F3,E3
5_A23Y6SGE73H4IW,E4,F4
5_A23Y6SGE73H4IW,F5,E5
5_A23Y6SGE73H4IW,E1,G1
5_A23Y6SGE73H4IW,E2,G2
5_A23Y6SGE73H4IW,E3,G3
5_A23Y6SGE73H4IW,E4,G4
5_A23Y6SGE73H4IW,G5,E5
5_A23Y6SGE73H4IW,E1,H1
5_A23Y6SGE73H4IW,H2,E2
5_A23Y6SGE73H4IW,H3,E3
5_A23Y6SGE73H4IW,H4,E4
5_A23Y6SGE73H4IW,H5,E5
5_A23Y6SGE73H4IW,F1,G1
5_A23Y6SGE73H4IW,F2,G2
5_A23Y6SGE73H4IW,F3,G3
5_A23Y6SGE73H4IW,G4,F4
5_A23Y6SGE73H4IW,G5,F5
5_A23Y6SGE73H4IW,F1,H1
5_A23Y6SGE73H4IW,H2,F2
5_A23Y6SGE73H4IW,F3,H3
5_A23Y6SGE73H4IW,H4,F4
5_A23Y6SGE73H4IW,H5,F5
5_A23Y6SGE73H4IW,H1,G1
5_A23Y6SGE73H4IW,H2,G2
5_A23Y6SGE73H4IW,G3,H3
5_A23Y6SGE73H4IW,H4,G4
5_A23Y6SGE73H4IW,G5,H5
6_A27CNO4K5K6V5R,F1,E1
6_A27CNO4K5K6V5R,F2,E2
6_A27CNO4K5K6V5R,E3,F3
6_A27CNO4K5K6V5R,E4,F4
6_A27CNO4K5K6V5R,E5,F5
6_A27CNO4K5K6V5R,G1,E1
6_A27CNO4K5K6V5R,G2,E2
6_A27CNO4K5K6V5R,G3,E3
6_A27CNO4K5K6V5R,E4,G4
6_A27CNO4K5K6V5R,G5,E5
6_A27CNO4K5K6V5R,H1,E1
6_A27CNO4K5K6V5R,H2,E2
6_A27CNO4K5K6V5R,E3,H3
6_A27CNO4K5K6V5R,E4,H4
6_A27CNO4K5K6V5R,H5,E5
6_A27CNO4K5K6V5R,F1,G1
6_A27CNO4K5K6V5R,G2,F2
6_A27CNO4K5K6V5R,F3,G3
6_A27CNO4K5K6V5R,F4,G4
6_A27CNO4K5K6V5R,F5,G5
6_A27CNO4K5K6V5R,F1,H1
6_A27CNO4K5K6V5R,H2,F2
6_A27CNO4K5K6V5R,F3,H3
6_A27CNO4K5K6V5R,H4,F4
6_A27CNO4K5K6V5R,H5,F5
6_A27CNO4K5K6V5R,G1,H1
6_A27CNO4K5K6V5R,H2,G2
6_A27CNO4K5K6V5R,H3,G3
6_A27CNO4K5K6V5R,G4,H4
6_A27CNO4K5K6V5R,G5,H5
7_A2KJE7WCD87K0E,F1,E1
7_A2KJE7WCD87K0E,F2,E2
7_A2KJE7WCD87K0E,F3,E3
7_A2KJE7WCD87K0E,F4,E4
7_A2KJE7WCD87K0E,E5,F5
7_A2KJE7WCD87K0E,G1,E1
7_A2KJE7WCD87K0E,G2,E2
7_A2KJE7WCD87K0E,E3,G3
7_A2KJE7WCD87K0E,G4,E4
7_A2KJE7WCD87K0E,E5,G5
7_A2KJE7WCD87K0E,H1,E1
7_A2KJE7WCD87K0E,H2,E2
7_A2KJE7WCD87K0E,H3,E3
7_A2KJE7WCD87K0E,H4,E4
7_A2KJE7WCD87K0E,E5,H5
7_A2KJE7WCD87K0E,F1,G1
7_A2KJE7WCD87K0E,F2,G2
7_A2KJE7WCD87K0E,F3,G3
7_A2KJE7WCD87K0E,G4,F4
7_A2KJE7WCD87K0E,G5,F5
7_A2KJE7WCD87K0E,H1,F1
7_A2KJE7WCD87K0E,H2,F2
7_A2KJE7WCD87K0E,F3,H3
7_A2KJE7WCD87K0E,H4,F4
7_A2KJE7WCD87K0E,H5,F5
7_A2KJE7WCD87K0E,H1,G1
7_A2KJE7WCD87K0E,H2,G2
7_A2KJE7WCD87K0E,H3,G3
7_A2KJE7WCD87K0E,G4,H4
7_A2KJE7WCD87K0E,H5,G5
8_A2M2UDFQF6PFGP,F1,E1
8_A2M2UDFQF6PFGP,F2,E2
8_A2M2UDFQF6PFGP,F3,E3
8_A2M2UDFQF6PFGP,F4,E4
8_A2M2UDFQF6PFGP,F5,E5
8_A2M2UDFQF6PFGP,E1,G1
8_A2M2UDFQF6PFGP,G2,E2
8_A2M2UDFQF6PFGP,G3,E3
8_A2M2UDFQF6PFGP,G4,E4
8_A2M2UDFQF6PFGP,G5,E5
