judge,candidate_chosen,candidate_not_chosen
1,BHBi-r,BHUni-l
1,BHBi-r,MCUni-l
1,BHBi-r,MVBi-l
1,BHBi-r,THBi-l
1,MHBi-r,BHUni-l
1,BHUni-l,MRUni-r
1,BHUni-l,SVUni-r
1,MHUni-l,MCBi-r
1,MVBi-l,MCBi-r
1,SVBi-l,MCBi-r
1,THBi-l,MCBi-r
1,THUni-l,MCBi-r
1,MHBi-r,THUni-l
1,MVBi-l,MRBi-r
1,SVBi-l,MRBi-r
1,THBi-l,MRBi-r
1,THUni-l,MRBi-r
1,MVBi-l,MRUni-r
1,THBi-l,MRUni-r
1,THUni-l,MRUni-r
1,MVBi-l,MVUni-r
1,MVBi-l,SVUni-r
1,SVBi-l,MVUni-r
1,SVBi-l,SVUni-r
1,THBi-l,SVUni-r
2,BHBi-r,BHUni-l
2,BHBi-r,MHUni-l
2,BHBi-r,MVBi-l
2,SVBi-l,BHBi-r
2,THUni-l,BHBi-r
2,MHBi-r,BHUni-l
2,BHUni-l,MRUni-r
2,BHUni-l,MVUni-r
2,SVUni-r,BHUni-l
2,MCUni-l,MCBi-r
2,SVBi-l,MCBi-r
2,THUni-l,MCBi-r
2,MHBi-r,MCUni-l
2,MCUni-l,MRUni-r
2,SVUni-r,MCUni-l
2,MHBi-r,MHUni-l
2,MHBi-r,MVBi-l
2,THBi-l,MHBi-r
2,MRUni-r,MHUni-l
2,MHUni-l,MVUni-r
2,SVUni-r,MHUni-l
2,SVBi-l,MRBi-r
2,THBi-l,MRBi-r
2,MRUni-r,MVBi-l
2,THBi-l,MRUni-r
2,THUni-l,MRUni-r
2,SVBi-l,MVUni-r
2,THUni-l,MVUni-r
2,SVBi-l,SVUni-r
3,BHBi-r,MHUni-l
3,BHBi-r,MVBi-l
3,SVBi-l,BHBi-r
3,BHUni-l,MHBi-r
3,BHUni-l,MRBi-r
3,BHUni-l,MVUni-r
3,MVBi-l,MCBi-r
3,SVBi-l,MCBi-r
3,MRBi-r,MCUni-l
3,SVUni-r,MCUni-l
3,MHUni-l,MHBi-r
3,THUni-l,MHBi-r
3,MHUni-l,MRBi-r
3,MHUni-l,MRUni-r
3,MRBi-r,MVBi-l
3,SVBi-l,MRBi-r
3,THBi-l,MRBi-r
3,THUni-l,MRBi-r
3,MRUni-r,MVBi-l
3,THBi-l,MRUni-r
3,SVUni-r,MVBi-l
3,SVBi-l,MVUni-r
3,THBi-l,MVUni-r
3,THUni-l,MVUni-r
3,SVUni-r,SVBi-l
3,THBi-l,SVUni-r
3,THUni-l,SVUni-r
10,MHUni-l,BHBi-r
10,BHBi-r,MVBi-l
10,BHBi-r,THBi-l
10,BHUni-l,MCBi-r
10,BHUni-l,MHBi-r
10,BHUni-l,MRBi-r
10,BHUni-l,MRUni-r
10,BHUni-l,MVUni-r
10,MCUni-l,MCBi-r
10,MHUni-l,MCBi-r
10,MVBi-l,MCBi-r
10,THBi-l,MCBi-r
10,THUni-l,MCBi-r
10,MRUni-r,MCUni-l
10,SVUni-r,MCUni-l
10,SVBi-l,MHBi-r
10,THBi-l,MHBi-r
10,THUni-l,MHBi-r
10,MRBi-r,MHUni-l
10,MHUni-l,MRUni-r
10,MHUni-l,MVUni-r
10,MRBi-r,MVBi-l
10,SVBi-l,MRBi-r
10,MRUni-r,MVBi-l
10,SVBi-l,MRUni-r
10,THUni-l,MRUni-r
10,MVUni-r,MVBi-l
10,SVUni-r,MVBi-l
10,THBi-l,MVUni-r
10,SVUni-r,THUni-l
11,BHUni-l,BHBi-r
11,BHBi-r,MCUni-l
11,BHBi-r,MHUni-l
11,THBi-l,BHBi-r
11,BHUni-l,MHBi-r
11,BHUni-l,MVUni-r
11,BHUni-l,SVUni-r
11,MVBi-l,MCBi-r
11,THBi-l,MCBi-r
11,THUni-l,MCBi-r
11,MVUni-r,MCUni-l
11,SVBi-l,MHBi-r
11,THBi-l,MHBi-r
11,THUni-l,MHBi-r
11,MHUni-l,MVUni-r
11,SVUni-r,MHUni-l
11,SVBi-l,MRBi-r
11,THBi-l,MRBi-r
11,THUni-l,MRBi-r
11,SVBi-l,MRUni-r
11,THBi-l,MRUni-r
11,THUni-l,MRUni-r
11,THBi-l,MVUni-r
11,THUni-l,MVUni-r
15,BHBi-r,BHUni-l
15,MCUni-l,BHBi-r
15,BHBi-r,MHUni-l
15,BHBi-r,MVBi-l
15,BHBi-r,SVBi-l
15,BHBi-r,THUni-l
15,BHUni-l,MCBi-r
15,BHUni-l,MHBi-r
15,SVUni-r,BHUni-l
15,MCUni-l,MCBi-r
15,MHUni-l,MCBi-r
15,MCBi-r,MVBi-l
15,THUni-l,MCBi-r
15,MCUni-l,MRUni-r
15,SVUni-r,MCUni-l
15,MHBi-r,MVBi-l
15,SVBi-l,MHBi-r
15,MHUni-l,MRUni-r
15,MVUni-r,MHUni-l
15,MRBi-r,MVBi-l
15,SVBi-l,MRBi-r
15,MRBi-r,THUni-l
15,MVBi-l,MRUni-r
15,THBi-l,MRUni-r
15,THUni-l,MRUni-r
15,SVUni-r,MVBi-l
15,MVUni-r,SVBi-l
15,THBi-l,MVUni-r
15,THUni-l,MVUni-r
15,SVUni-r,SVBi-l
16,BHBi-r,MCUni-l
16,BHBi-r,MHUni-l
16,BHBi-r,MVBi-l
16,BHUni-l,MHBi-r
16,BHUni-l,MRBi-r
16,BHUni-l,MRUni-r
16,BHUni-l,MVUni-r
16,BHUni-l,SVUni-r
16,MCBi-r,MCUni-l
16,THUni-l,MCBi-r
16,MRUni-r,MCUni-l
16,MHBi-r,MHUni-l
16,SVBi-l,MHBi-r
16,THBi-l,MHBi-r
16,THUni-l,MHBi-r
16,SVBi-l,MRBi-r
16,THBi-l,MRBi-r
16,MRBi-r,THUni-l
16,SVBi-l,MRUni-r
16,THBi-l,MRUni-r
16,SVBi-l,MVUni-r
16,THUni-l,MVUni-r
18,MCUni-l,BHBi-r
18,MCBi-r,BHUni-l
