judge,candidate_chosen,candidate_not_chosen
X001,M31,M37
X002,M33,M31
X003,M28,M27
X004,M27,M33
X005,M25,M31
X006,M36,M24
X007,M33,M27
X008,M32,M35
X009,M28,M23
X010,M24,M32
X011,M36,M37
X012,M32,M35
X013,M23,M34
X014,M29,M23
X015,M27,M31
X016,M32,M35
X017,M36,M37
X018,M27,M35
X019,M34,M26
X020,M27,M25
X021,M31,M27
X022,M27,M25
X023,M33,M23
X024,M31,M24
X025,M27,M29
X026,M33,M32
X027,M27,M33
X028,M34,M37
X029,M25,M26
X030,M23,M25
X031,M23,M34
X032,M32,M37
X033,M29,M30
X034,M25,M30
X035,M31,M24
X036,M37,M24
X037,M36,M35
X038,M37,M32
X039,M24,M31
X040,M27,M35
X041,M26,M28
X042,M36,M26
X043,M34,M24
X044,M28,M29
X045,M32,M35
X046,M31,M29
X047,M30,M26
X048,M36,M26
X049,M33,M25
X050,M28,M27
X051,M25,M32
X052,M30,M23
X053,M31,M37
X054,M27,M31
X055,M32,M24
X056,M26,M24
X057,M33,M37
X058,M25,M26
X059,M24,M34
X060,M28,M34
X061,M25,M36
X062,M33,M28
X063,M34,M29
X064,M30,M23
X065,M37,M24
X066,M27,M23
X067,M26,M29
X068,M26,M37
X069,M32,M35
X070,M33,M32
X071,M30,M27
X072,M26,M29
X073,M29,M30
X074,M36,M37
X075,M37,M26
X076,M30,M27
X077,M25,M26
X078,M32,M28
X079,M32,M29
X080,M27,M24
X081,M34,M35
X082,M26,M31
X083,M32,M36
X084,M25,M23
X085,M30,M25
X086,M27,M35
X087,M24,M32
X088,M23,M34
X089,M33,M29
X090,M29,M35
X091,M24,M26
X092,M26,M24
X093,M23,M29
X094,M30,M35
X095,M27,M25
X096,M25,M31
X097,M23,M31
X098,M34,M36
X099,M37,M35
X100,M28,M27
X101,M30,M27
X102,M32,M24
X103,M29,M23
X104,M33,M28
X105,M28,M26
X106,M23,M31
X107,M32,M23
X108,M30,M26
X109,M26,M32
X110,M25,M35
X111,M36,M29
X112,M23,M33
X113,M33,M34
X114,M30,M28
X115,M25,M26
X116,M27,M37
X117,M34,M37
X118,M31,M34
X119,M32,M29
X120,M30,M25
X121,M25,M32
X122,M27,M31
X123,M26,M32
X124,M23,M36
X125,M32,M23
X126,M24,M37
X127,M28,M37
X128,M25,M26
X129,M28,M29
X130,M34,M26
X131,M25,M35
X132,M28,M36
X133,M32,M35
X134,M33,M31
X135,M36,M33
X136,M30,M29
X137,M37,M27
X138,M37,M24
X139,M27,M26
X140,M27,M37
X141,M26,M36
X142,M30,M26
X143,M36,M23
X144,M27,M28
X145,M32,M27
X146,M27,M30
X147,M33,M27
X148,M27,M37
X149,M35,M29
X150,M24,M32
X151,M23,M35
X152,M28,M29
X153,M23,M29
X154,M36,M35
X155,M32,M35
X156,M24,M28
X157,M23,M26
X158,M30,M29
X159,M23,M33
X160,M30,M35
X161,M28,M37
X162,M30,M33
X163,M32,M27
X164,M25,M24
X165,M27,M34
X166,M34,M35
X167,M37,M31
X168,M27,M23
X169,M26,M24
X170,M25,M37
X171,M35,M29
X172,M24,M37
X173,M23,M27
X174,M27,M33
X175,M25,M35
X176,M30,M23
X177,M28,M35
X178,M25,M24
X179,M33,M32
X180,M24,M35
X181,M34,M26
X182,M27,M28
X183,M30,M31
X184,M27,M33
X185,M33,M35
X186,M30,M36
X187,M33,M36
X188,M32,M24
X189,M30,M27
X190,M32,M35
