judge,candidate_chosen,candidate_not_chosen
X001,M05,M11
X002,M04,M02
X003,M04,M05
X004,M05,M04
X005,M02,M04
X006,M05,M04
X007,M04,M02
X008,M09,M10
X009,M09,M10
X010,M09,M10
X011,M05,M11
X012,M02,M04
X013,M11,M05
X014,M02,M07
X015,M02,M04
X016,M04,M05
X017,M09,M10
X018,M11,M05
X019,M02,M07
X020,M02,M07
X021,M05,M11
X022,M09,M10
X023,M07,M02
X024,M11,M05
X025,M09,M10
X026,M05,M11
X027,M04,M02
X028,M09,M10
X029,M04,M02
X030,M05,M04
X031,M09,M10
X032,M02,M07
X033,M02,M04
X034,M02,M04
X035,M02,M04
X036,M02,M07
X037,M04,M05
X038,M07,M02
X039,M04,M05
X040,M07,M02
X041,M11,M05
X042,M10,M09
X043,M09,M10
X044,M04,M02
X045,M10,M09
X046,M05,M04
X047,M02,M04
X048,M02,M04
X049,M04,M05
X050,M02,M04
X051,M04,M05
X052,M02,M04
X053,M10,M09
X054,M09,M10
X055,M02,M04
X056,M04,M02
X057,M09,M10
X058,M09,M10
X059,M02,M04
X060,M11,M05
X061,M07,M02
X062,M02,M04
X063,M02,M04
X064,M02,M07
X065,M04,M05
X066,M07,M02
X067,M07,M02
X068,M10,M09
X069,M09,M10
X070,M04,M05
X071,M09,M10
X072,M10,M09
X073,M05,M11
X074,M11,M05
X075,M02,M07
X076,M02,M04
X077,M04,M02
X078,M09,M10
X079,M05,M11
X080,M05,M04
X081,M05,M04
X001,M02,M04
X002,M21,M19
X003,M21,M16
X004,M21,M16
X005,M21,M19
X006,M21,M16
X007,M19,M21
X008,M11,M15
X009,M11,M15
X010,M15,M11
X011,M02,M04
X012,M19,M21
X013,M02,M04
X014,M03,M09
X015,M19,M21
X016,M21,M16
X017,M11,M15
X018,M02,M04
X019,M03,M09
X020,M03,M09
X021,M04,M02
X022,M11,M15
X023,M03,M09
X024,M02,M04
X025,M15,M11
X026,M02,M04
X027,M21,M19
X028,M15,M11
X029,M21,M19
X030,M21,M16
X031,M15,M11
X032,M09,M03
X033,M19,M21
X034,M19,M21
X035,M21,M19
X036,M03,M09
X037,M21,M16
X038,M09,M03
X039,M21,M16
X040,M03,M09
X041,M02,M04
X042,M11,M15
X043,M11,M15
X044,M21,M19
X045,M15,M11
X046,M21,M16
X047,M21,M19
X048,M19,M21
X049,M21,M16
X050,M19,M21
X051,M21,M16
X052,M19,M21
X053,M15,M11
X054,M15,M11
X055,M19,M21
X056,M19,M21
X057,M11,M15
X058,M11,M15
X059,M19,M21
X060,M02,M04
X061,M03,M09
X062,M21,M19
X063,M19,M21
X064,M09,M03
X065,M16,M21
X066,M03,M09
X067,M03,M09
X068,M11,M15
X069,M11,M15
X070,M16,M21
X071,M15,M11
X072,M11,M15
X073,M02,M04
X074,M04,M02
X075,M03,M09
X076,M21,M19
X077,M21,M19
X078,M11,M15
X079,M02,M04
X080,M21,M16
X081,M21,M16
X001,M19,M28
X002,M16,M29
X003,M23,M27
X004,M27,M23
X005,M29,M16
X006,M27,M23
X007,M16,M29
X008,M17,M20
X009,M17,M20
X010,M17,M20
X011,M19,M28
X012,M16,M29
X013,M19,M28
X014,M15,M27
X015,M29,M16
X016,M27,M23
X017,M17,M20
X018,M19,M28
X019,M15,M27
X020,M15,M27
X021,M19,M28
X022,M20,M17
X023,M15,M27
X024,M19,M28
X025,M17,M20
X026,M19,M28
X027,M16,M29
X028,M17,M20
X029,M29,M16
X030,M27,M23
X031,M17,M20
X032,M27,M15
X033,M16,M29
X034,M16,M29
X035,M16,M29
X036,M27,M15
X037,M27,M23
X038,M15,M27
X039,M27,M23
X040,M15,M27
X041,M19,M28
X042,M17,M20
X043,M17,M20
X044,M16,M29
X045,M20,M17
X046,M27,M23
X047,M29,M16
X048,M16,M29
X049,M27,M23
X050,M16,M29
X051,M27,M23
X052,M16,M29
X053,M17,M20
X054,M17,M20
X055,M16,M29
X056,M16,M29
X057,M17,M20
X058,M17,M20
X059,M29,M16
X060,M19,M28
X061,M15,M27
X062,M29,M16
X063,M16,M29
X064,M27,M15
X065,M23,M27
X066,M15,M27
X067,M15,M27
X068,M17,M20
X069,M17,M20
X070,M27,M23
X071,M17,M20
X072,M17,M20
X073,M19,M28
X074,M28,M19
X075,M15,M27
X076,M16,M29
X077,M29,M16
X078,M17,M20
X079,M19,M28
X080,M27,M23
X081,M27,M23
X001,M32,M25
X002,M23,M25
X003,M25,M31
X004,M31,M25
X005,M23,M25
X006,M25,M31
X007,M23,M25
X008,M35,M34
X009,M34,M35
X010,M34,M35
X011,M25,M32
X012,M23,M25
X013,M25,M32
X014,M28,M33
X015,M25,M23
X016,M25,M31
X017,M34,M35
X018,M32,M25
X019,M33,M28
X020,M33,M28
X021,M32,M25
X022,M34,M35
X023,M28,M33
X024,M32,M25
X025,M34,M35
X026,M32,M25
X027,M23,M25
X028,M34,M35
X029,M25,M23
X030,M31,M25
X031,M34,M35
X032,M33,M28
X033,M25,M23
X034,M25,M23
X035,M25,M23
X036,M33,M28
X037,M31,M25
X038,M28,M33
X039,M25,M31
X040,M28,M33
X041,M32,M25
X042,M34,M35
X043,M34,M35
X044,M25,M23
X045,M35,M34
X046,M31,M25
X047,M25,M23
X048,M25,M23
X049,M25,M31
X050,M23,M25
X051,M25,M31
X052,M25,M23
X053,M34,M35
X054,M34,M35
X055,M25,M23
X056,M25,M23
X057,M35,M34
X058,M35,M34
X059,M23,M25
X060,M32,M25
X061,M28,M33
X062,M25,M23
X063,M25,M23
X064,M28,M33
X065,M25,M31
X066,M28,M33
X067,M33,M28
X068,M34,M35
X069,M34,M35
X070,M25,M31
X071,M34,M35
X072,M34,M35
X073,M32,M25
X074,M25,M32
X075,M28,M33
X076,M23,M25
X077,M25,M23
X078,M34,M35
X079,M25,M32
X080,M25,M31
X081,M31,M25
O112,M23,M26
O113,M34,M37
O004,M27,M32
O071,M28,M37
O031,M30,M34
O013,M28,M26
O109,M26,M31
O059,M32,M23
O141,M30,M37
O135,M36,M33
O016,M36,M30
O130,M27,M33
O026,M31,M37
O110,M34,M24
O067,M30,M23
O117,M34,M31
O122,M33,M23
O081,M28,M23
O118,M36,M27
O100,M32,M33
O056,M35,M31
O002,M28,M29
O001,M32,M24
O055,M23,M34
O039,M29,M33
O090,M29,M23
O069,M26,M29
O008,M23,M24
O133,M23,M24
O015,M36,M35
O038,M25,M36
O025,M25,M37
O099,M28,M31
O072,M30,M26
O007,M33,M28
O057,M30,M26
O079,M27,M29
O123,M35,M30
O006,M23,M27
O065,M37,M31
O005,M26,M37
O142,M32,M33
O111,M37,M23
O003,M26,M37
O129,M31,M33
O131,M33,M36
O027,M32,M31
O018,M32,M37
O078,M35,M33
O083,M37,M28
O066,M36,M23
O032,M27,M31
O010,M25,M35
O098,M31,M29
O128,M29,M35
O084,M23,M35
O082,M28,M37
O132,M24,M34
O070,M37,M29
O112,M06,M07
O113,M12,M01
O004,M07,M14
O071,M04,M06
O031,M02,M08
O013,M09,M06
O109,M07,M11
O059,M04,M14
O141,M06,M11
O135,M08,M05
O016,M09,M10
O130,M12,M07
O026,M02,M10
O110,M13,M07
O067,M01,M04
O117,M01,M05
O122,M06,M10
O081,M08,M05
O118,M12,M09
O100,M07,M08
O056,M06,M14
O002,M06,M04
O001,M05,M03
O055,M09,M13
O039,M10,M06
O090,M05,M12
O069,M06,M04
O008,M07,M08
O133,M07,M13
O015,M03,M10
O038,M01,M10
O025,M07,M05
O099,M03,M05
O072,M06,M14
O007,M10,M06
O057,M01,M14
O079,M04,M06
O123,M12,M08
O006,M08,M14
O065,M02,M08
O005,M08,M14
O142,M14,M03
O111,M13,M07
O003,M04,M02
O129,M13,M07
O131,M12,M05
O027,M09,M14
O018,M09,M06
O078,M01,M08
O083,M02,M14
O066,M04,M11
O032,M09,M06
O010,M12,M11
O098,M09,M12
O128,M06,M08
O084,M14,M06
O082,M06,M05
O132,M12,M01
O070,M09,M11
O112,M15,M14
O113,M17,M08
O004,M01,M13
O071,M17,M13
O031,M04,M11
O013,M10,M19
O109,M15,M18
O059,M14,M20
O141,M03,M08
O135,M17,M02
O016,M05,M04
O130,M02,M05
O026,M10,M06
O110,M16,M05
O067,M22,M09
O117,M15,M11
O122,M12,M16
O081,M17,M12
O118,M11,M13
O100,M16,M14
O056,M05,M19
O002,M05,M04
