judging_session,Study,project_id,citation,doi,open_data,note,study_name,items,judge_expertise,judging_prompt,adaptivity,comment,source,ssr,sepG,mean_split_corr,mean_eloR,mean_eloR_weighted,elo_btm_correlation,num_pairs,num_pairs_judged,prop_pairs_judged,prop_correct_judgements
AlMaimani2017,Al Maimani & Roudaut (2017),AlMaimani2017,"Al Maimani, A. , & Roudaut, A. (2017). Frozen suit: designing a changeable stiffness suit and its application to increase realism in games. In Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems (pp. 2440-2448). Association for Computing Machinery (ACM). https://doi.org/10.1145/3025453.3025655",10.1145/3025453.3025655,FALSE,NA,NA,Elbow patches,layperson,Which patch was more restrictive?,FALSE,"p.4: The procedure was repeated for all possible different comparisons of patches - this means all 12 pairs in {A,B,C,D}^2",NA,0.954346355,4.680176953,0.975500046,0.920650166,0.937953501,0.999716053,6,6,1,0.942857143
Bisson2016_algebra,Bisson et al. (2016)a,Bisson2016,"Bisson, M.-J., Gilmore, C., Inglis, M., & Jones, I. (2016). Measuring conceptual understanding using comparative judgement. International Journal of Research in Undergraduate Mathematics Education, 2, 141–164.",10.1007/s40753-016-0024-3,FALSE,NA,algebra,written explanation of how letters are used in algebra,expert,NA,FALSE,NA,NA,0.848421539,2.568509955,0.738347473,0.746945222,0.84881284,0.987379909,1035,460,0.444444444,0.860869565
Bisson2016_calculus,Bisson et al. (2016)b,Bisson2016,"Bisson, M.-J., Gilmore, C., Inglis, M., & Jones, I. (2016). Measuring conceptual understanding using comparative judgement. International Journal of Research in Undergraduate Mathematics Education, 2, 141–164.",10.1007/s40753-016-0024-3,FALSE,NA,calculus,written explanation of derivatives,expert,NA,FALSE,"TODO: two participants were removed from analyses - check value for N_A, should it be 28?",NA,0.9397453,4.073845327,0.865415573,0.72551826,0.828945392,0.999519072,780,629,0.806410256,0.76984127
Bisson2016_stats,Bisson et al. (2016)c,Bisson2016,"Bisson, M.-J., Gilmore, C., Inglis, M., & Jones, I. (2016). Measuring conceptual understanding using comparative judgement. International Journal of Research in Undergraduate Mathematics Education, 2, 141–164.",10.1007/s40753-016-0024-3,FALSE,NA,stats,written explanation of p-value,expert,NA,FALSE,NA,NA,0.884518887,2.942690038,0.73385604,0.662248884,0.753109576,0.999668838,190,168,0.884210526,0.726269316
Bisson2019,Bisson et al. (2019),Bisson2019,"Bisson, M.-J., Gilmore, C., Inglis, M., & Jones, I. (2019). Teaching using contextualised and decontextualised representations: Examining the case of differential calculus through a comparative judgement technique. Research in Mathematics Education, 22, 284–303.",10.1080/14794802.2019.1692060,https://doi.org/10.17028/rd.lboro.5845683.v1,NA,NA,responses to an open-ended question about derivatives,expert,NA,FALSE,NA,NA,0.832930572,2.446535417,0.685980496,0.718728668,0.822818537,0.983969402,21115,2060,0.097560976,0.822330097
Bramley2018_1a,Bramley & Vitello (2018)a,Bramley2018,"Bramley, T., & Vitello, S. (2019). The effect of adaptivity on the reliability coefficient in adaptive comparative judgement. Assessment in Education: Principles, Policy & Practice, 26, 43–58.",10.1080/0969594x.2017.1418734,FALSE,"Decision data is not openly available, but contextual and other data here https://www.tandfonline.com/doi/figure/10.1080/0969594X.2017.1418734?scroll=top&needAccess=true",1a,GCSE English essays,expert,Which essay is better?,TRUE,NA,NA,0.96757362,5.553295292,0.878055844,0.589924752,0.642368745,0.8071584,11175,1021,0.091364653,0.822057461
Bramley2018_1b,Bramley & Vitello (2018)b,Bramley2018,"Bramley, T., & Vitello, S. (2019). The effect of adaptivity on the reliability coefficient in adaptive comparative judgement. Assessment in Education: Principles, Policy & Practice, 26, 43–58.",10.1080/0969594x.2017.1418734,FALSE,"Decision data is not openly available, but contextual and other data here https://www.tandfonline.com/doi/figure/10.1080/0969594X.2017.1418734?scroll=top&needAccess=true",1b,GCSE English essays,expert,Which essay is better?,FALSE,NA,NA,0.75332762,2.013444849,0.633927046,0.657908768,0.740909906,0.998987678,190,180,0.947368421,0.777777778
Bramley2018_2,Bramley & Vitello (2018)c,Bramley2018,"Bramley, T., & Vitello, S. (2019). The effect of adaptivity on the reliability coefficient in adaptive comparative judgement. Assessment in Education: Principles, Policy & Practice, 26, 43–58.",10.1080/0969594x.2017.1418734,FALSE,"Decision data is not openly available, but contextual and other data here https://www.tandfonline.com/doi/figure/10.1080/0969594X.2017.1418734?scroll=top&needAccess=true",2,GCSE English essays,expert,Which essay is better?,FALSE,NA,NA,0.738225449,1.95450276,0.53671553,0.645216737,0.727738864,0.949273972,11175,1004,0.0898434,0.767547858
Clark2018_Study1,Clark et al. (2018)a,Clark2018,"Clark, A. P., Howard, K. L., Woods, A. T., Penton-Voak, I. S., & Neumann, C. (2018). Why rate when you could compare? Using the “EloChoice” package to assess pairwise comparisons of perceived physical strength. PloS one, 13(1), e0190393.",10.1371/journal.pone.0190393,https://doi.org/10.17633/rd.brunel.4902977.v1,NA,Study1,Photos of men,layperson,Which man is stronger?,FALSE,NA,NA,0.971025636,5.874799436,0.93632712,0.76601452,0.86438154,0.999845285,3321,2507,0.754893104,0.808144599
Clark2018_Study2,Clark et al. (2018)b,Clark2018,"Clark, A. P., Howard, K. L., Woods, A. T., Penton-Voak, I. S., & Neumann, C. (2018). Why rate when you could compare? Using the “EloChoice” package to assess pairwise comparisons of perceived physical strength. PloS one, 13(1), e0190393.",10.1371/journal.pone.0190393,https://doi.org/10.17633/rd.brunel.4902977.v1,NA,Study2,Photos of men,layperson,Which man is stronger?,FALSE,NA,NA,0.979575404,6.997183435,0.957385728,0.739859135,0.836315559,0.999905131,3321,3028,0.911773562,0.773959527
Coertjens2015_stress,Coertjens et al. (2015,Coertjens2015,"Coertjens, Liesje; Verhavert, San; Lesterhuis, Marije; Goossens, Maarten; De Maeyer, Sven. Is comparative judgment more efficient? An explorative study into the reliability efficiency trade-off when using rubrics or comparative judgment. Association for Educational Assessment Europe Conference (Glasgow, Scotland, from 05/11/2015 to 7/11/2015).",NA,FALSE,This was a presentation so the full text is not available; however details can be found in this Dutch language publication: https://pedagogischestudien.nl/download?type=document&identifier=641007,stress,Essays on the topic of stress,expert,the rater indicated which of the two texts was better,FALSE,NA,NA,0.892411755,3.048720347,0.793714994,0.730835107,0.834621233,0.994254945,595,474,0.796638655,0.816455696
Coertjens2021,Coertjens et al. (2021,Coertjens2021,"Coertjens, L., Lesterhuis, M., De Winter, B. Y., Goossens, M., De Maeyer, S., & Michels, N. R. (2021). Improving Self-Reflection Assessment Practices: Comparative Judgment as an Alternative to Rubrics. Teaching and Learning in Medicine, 1-11.",10.1080/10401334.2021.1877709,FALSE,NA,NA,Medical students self-reflections,expert,Which is the better self-reflection?,FALSE,NA,NA,0.792499087,2.195280368,0.610290509,0.686444134,0.780611741,0.997171087,231,202,0.874458874,0.787128713
Daal2017_sample1,van Daal et al. (2017)a,Daal2017,"van Daal, T., Lesterhuis, M., Coertjens, L., van de Kamp, M. T., Donche, V., & De Maeyer, S. (2017, August). The complexity of assessing student work using comparative judgment: The moderating role of decision accuracy. In Frontiers in Education (Vol. 2, p. 44). Frontiers.",10.3389/feduc.2017.00044,https://osf.io/7etq2/ Ch8>Data>01)Raw Data,NA,sample1,"Written assignments by secondary school students in Flanders, about ""getting children""",expert,choose the essay that better evidenced the competence argumentative writing,FALSE,NA,NA,0.81868029,2.348429312,0.681237584,0.722973788,0.820047162,0.98308246,9180,1229,0.133877996,0.827502034
Daal2017_sample2,van Daal et al. (2017)b,Daal2017,"van Daal, T., Lesterhuis, M., Coertjens, L., van de Kamp, M. T., Donche, V., & De Maeyer, S. (2017, August). The complexity of assessing student work using comparative judgment: The moderating role of decision accuracy. In Frontiers in Education (Vol. 2, p. 44). Frontiers.",10.3389/feduc.2017.00044,https://osf.io/7etq2/ Ch8>Data>01)Raw Data,NA,sample2,"Written assignments by secondary school students in Flanders, about ""getting children""",expert,choose the essay that better evidenced the competence argumentative writing,FALSE,NA,NA,0.781993038,2.141730484,0.594643491,0.68492532,0.781910923,0.975038101,9316,915,0.098218119,0.81372549
Daal2017_sample3,van Daal et al. (2017)c,Daal2017,"van Daal, T., Lesterhuis, M., Coertjens, L., van de Kamp, M. T., Donche, V., & De Maeyer, S. (2017, August). The complexity of assessing student work using comparative judgment: The moderating role of decision accuracy. In Frontiers in Education (Vol. 2, p. 44). Frontiers.",10.3389/feduc.2017.00044,https://osf.io/7etq2/ Ch8>Data>01)Raw Data,NA,sample3,High school students' visual portfolios on the relationship between technology and the senses,expert,pick each time the portfolio event that evidenced higher originality in visual arts,FALSE,NA,NA,0.870278247,2.776473904,0.658915109,0.699180314,0.796367177,0.997358499,11026,2251,0.204153818,0.783207463
Davies2020a,Davies et al. (2020,Davies2020a,"Davies, B., Alcock, L., & Jones, I. (2020). Comparative judgement, proof summaries and proof comprehension. Educational Studies in Mathematics, 105(2), 181-197.",10.1007/s10649-020-09984-x,https://doi.org/10.17028/rd.lboro.8940149,NA,NA,Undergraduate proof summaries,expert,judges clicking left or right to indicate which they judged better,FALSE,NA,NA,0.859174869,2.664771147,0.724891471,0.708301842,0.812817144,0.972191947,10153,1528,0.15049739,0.80228862
