participant_number,age_at_testing,school_recoded,activity_book,post_test,full_data,gender_recode,class,group,group_recode,SAT1_Maths,Y4_maths,SAT1_write,Y4_write,SAT1_read,Y4_read,SAT1_Maths_recoded,current_maths_recoded,SAT1_write_recoded,current_write_recoded,SAT1_read_recoded,current_read_recoded,lesson_1,lesson_2,lesson_3,exclude,Ravens_A_C,Numerical_op,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Anxiety_8,Anxiety_9,Anxiety_10,Anxiety_total,algebra_1a,algebra_1b_corr,algebra_2a_corr,algebra_2b_corr,algebra_2c_corr,algebra_3_corr,algebra_4_corr,algebra_5_corr,algebra_6_corr,algebra_7_corr,algebra_8_corr,algebra_total,algebra_score,Written_expression,estimate
40,9.6,1,1,1,1,0,5D,grid algebra,0,2a,3a,2a,3a,2a,4c,5,8,5,8,5,13,1,1,1,0,26,14,4,4,4,4,2,5,1,5,2,5,3.6,0,1,0,0,0,1,0,0,0,0,0,2,2,13,-0.40416235
41,9.7,1,1,1,1,1,5M,grid algebra,0,2c,3b,2c,3b,2b,3a,7,9,7,9,6,8,1,1,1,0,16,9,1,1,2,1,1,1,1,2,1,2,1.3,0,0,0,0,0,1,0,0,0,0,0,1,1,16,-1.140206012
42,9.4,1,1,1,1,0,5M,grid algebra,0,,,,,,,,,,,,,1,1,1,0,20,11,4,5,4,5,5,4,1,1,2,1,3.2,1,1,1,1,0,1,0,0,0,0,0,5,5,12,-0.552138589
43,9.5,1,1,1,1,0,5D,migen,1,2b,3b,2b,3b,2b,3b,6,9,6,9,6,9,1,1,1,0,17,9,1,1,2,2,1,1,1,2,2,2,1.5,0,0,0,0,0,1,0,0,0,0,0,1,1,10,-1.867604813
44,10.0,1,1,1,1,0,5M,migen,1,,4c,,3a,,4c,,13,,8,,13,1,1,1,0,31,17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,4,4,19,-0.037485624
45,9.6,1,1,1,1,0,5M,migen,1,1,3c,2c,3c,2c,3a,1,10,7,10,7,8,1,1,1,0,10,4,4,2,4,5,2,2,4,1,2,3,2.9,0,0,1,0,0,0,0,0,0,0,0,1,1,7,-0.817503812
46,10.1,1,1,1,1,0,5D,grid algebra,0,3b,4c,2a,3a,3b,4b,9,13,5,8,9,12,1,1,1,0,30,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,7,7,13,0.095181531
47,9.7,1,1,1,1,0,5M,grid algebra,0,2b,3a,2a,4b,2a,4b,6,8,5,12,5,12,1,1,1,0,20,11,1,1,1,2,1,1,1,3,1,2,1.4,1,1,1,1,1,0,0,0,0,0,0,5,5,13,-0.332383747
49,9.2,1,1,1,1,0,5D,migen,1,1,2a,1,3c,2c,3c,1,5,1,10,7,10,1,1,1,0,22,5,1,1,2,1,2,1,1,2,2,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1.836699721
50,9.5,1,1,1,1,0,5D,grid algebra,0,3b,4b,3b,4b,3b,4b,9,12,9,12,9,12,1,1,1,0,25,12,1,2,2,2,1,2,1,1,2,2,1.6,0,0,1,0,0,1,1,0,0,0,0,3,3,15,0.300735652
