individual	School	age_at_testing	school_recoded	activity_book	post_test	full_data	gender	gender_recode	class	group	group_recode	SAT1_Maths	Y4_maths	SAT1_write	Y4_write	SAT1_read	Y4_read	SAT1_Maths_recoded	current_maths_recoded	SAT1_write_recoded	current_write_recoded	SAT1_read_recoded	current_read_recoded	lesson_1	lesson_2	lesson_3	exclude	Ravens_A_C	Numerical_op	Anxiety_1	Anxiety_2	Anxiety_3	Anxiety_4	Anxiety_5	Anxiety_6	Anxiety_7	Anxiety_8	Anxiety_9	Anxiety_10	Anxiety_total	algebra_1a	algebra_1b	algebra_2a	algebra_2b	algebra_2c	algebra_3	algebra_4	algebra_5	algebra_6	algebra_7	algebra_8	algebra_1a	algebra_1b_corr	algebra_2a_corr	algebra_2b_corr	algebra_2c_corr	algebra_3_corr	algebra_4_corr	algebra_5_corr	algebra_6_corr	algebra_7_corr	algebra_8_corr	algebra_total	algebra_score	Written_expression	CJ_estimate
40	barwell	9.56	1	1	1	1	m	0	5D	grid algebra	0	2a	3a	2a	3a	2a	4c	5	8	5	8	5	13	1	1	1	0	26	14	4	4	4	4	2	5	1	5	2	5	3.6	n+7	n+4	999	999	999	45	999	999	999	999	999	0	1	0	0	0	1	0	0	0	0	0	2	2	13	-0.40416235
41	barwell	9.75	1	1	1	1	f	1	5M	grid algebra	0	2c	3b	2c	3b	2b	3a	7	9	7	9	6	8	1	1	1	0	16	9	1	1	2	1	1	1	1	2	1	2	1.3	n	"n,7"	n8	n5	n3	45	nn7	25	a6	v5	n34	0	0	0	0	0	1	0	0	0	0	0	1	1	16	-1.140206012
42	barwell	9.36	1	1	1	1	m	0	5M	grid algebra	0							999	999	999	999	999	999	1	1	1	0	20	11	4	5	4	5	5	4	1	1	2	1	3.2	n-7	n+4	12	n+9	8n	45	999	9	999	999	999	1	1	1	1	0	1	0	0	0	0	0	5	5	12	-0.552138589
43	barwell	9.5	1	1	1	1	m	0	5D	migen	1	2b	3b	2b	3b	2b	3b	6	9	6	9	6	9	1	1	1	0	17	9	1	1	2	2	1	1	1	2	2	2	1.5	n4	n7	999	999	999	45	763	16	999	999	999	0	0	0	0	0	1	0	0	0	0	0	1	1	10	-1.867604813
44	barwell	9.96	1	1	1	1	m	0	5M	migen	1		4c		3a		4c	999	13	999	8	999	13	1	1	1	0	31	17	1	1	1	1	1	1	1	1	1	1	1	n+4	n-7	12	n+9	7n	45	765	10	a=3	999	999	0	0	1	1	0	1	0	0	1	0	0	4	4	19	-0.037485624
45	barwell	9.65	1	1	1	1	m	0	5M	migen	1	1	3c	2c	3c	2c	3a	1	10	7	10	7	8	1	1	1	0	10	4	4	2	4	5	2	2	4	1	2	3	2.9	n	n+1	12	9	7n	999	999	999	999	999	999	0	0	1	0	0	0	0	0	0	0	0	1	1	7	-0.817503812
46	barwell	10.06	1	1	1	1	m	0	5D	grid algebra	0	3b	4c	2a	3a	3b	4b	9	13	5	8	9	12	1	1	1	0	30	16	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	999	45	761	12	a=3	v=1	3n=4	1	1	1	1	0	1	1	0	1	0	0	7	7	13	0.095181531
47	barwell	9.74	1	1	1	1	m	0	5M	grid algebra	0	2b	3a	2a	4b	2a	4b	6	8	5	12	5	12	1	1	1	0	20	11	1	1	1	2	1	1	1	3	1	2	1.4	n-7	n+4	8+4	n+5+4	3n+4	e	n-761	15	999	999	999	1	1	1	1	1	0	0	0	0	0	0	5	5	13	-0.332383747
49	barwell	9.22	1	1	1	1	m	0	5D	migen	1	1	2a	1	3c	2c	3c	1	5	1	10	7	10	1	1	1	0	22	5	1	1	2	1	2	1	1	2	2	1	1.4	n+1	7-n	999	999	999	40	999	999	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0	0	10	-1.836699721
50	barwell	9.51	1	1	1	1	m	0	5D	grid algebra	0	3b	4b	3b	4b	3b	4b	9	12	9	12	9	12	1	1	1	0	25	12	1	2	2	2	1	2	1	1	2	2	1.6	n/n-7/n-3	n+1/n+4	12	19	999	45	761	14	3	999	999	0	0	1	0	0	1	1	0	0	0	0	3	3	15	0.300735652
51	barwell		1	1	1	1	m	0	5D	migen	1	1	3c	1	2c	1	2b	1	10	1	7	1	6	1	1	1	0	23	4	3	4	5	4	5	5	2	5	2	5	4	n+1	n-7	4	11	9	42	762	9	p	3	999	0	0	0	0	0	0	0	0	0	0	0	0	0	9	-1.626749202
52	barwell	9.81	1	1	1	1	m	0	5D	migen	1	2a	4c	2b	3a	2b	4c	5	13	6	8	6	13	1	1	1	0	29	11	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7n	45	763	98	999	999	999	1	1	1	1	0	1	0	0	0	0	0	5	5	8	-0.929957536
53	barwell	9.64	1	1	1	1	f	1	5D	grid algebra	0	2b	3b	2a	3a	2a	4c	6	9	5	8	5	13	1	1	1	0	26	13	2	2	5	5	1	2	1	2	1	3	2.4	n-7	n+4	4	999	999	43	267	12	a=3	999	999	1	1	0	0	0	0	0	0	1	0	0	3	3	9	-0.161417803
54	barwell	9.13	1	1	1	1	f	1	5D	migen	1	2a	3a	2a	4c	3b	4b	5	8	5	13	9	12	1	1	1	0	28	9	2	3	3	3	3	1	1	4	1	2	2.3	n-7	n+4	n+8	999	999	45	761	999	999	999	999	1	1	0	0	0	1	1	0	0	0	0	4	4	12	-1.375268939
55	barwell	9.27	1	1	1	1	m	0	5D	grid algebra	0	2b	3a	2b	3c	2b	3a	6	8	6	10	6	8	1	1	1	0	16	4	3	3	5	5	4	3	1	5	2	5	3.6	n-7	n+4	12	9	n1	4	999	10	999	999	999	1	1	1	0	0	0	0	0	0	0	0	3	3	6	-0.864277275
56	barwell	9.17	1	1	1	1	f	1	5M	grid algebra	0	2a	3a	2a	3a	2a	4c	5	8	5	8	5	13	1	1	1	0	22	9	2	1	2	1	1	1	1	2	1	2	1.4	n	n+4	12	999	999	45	761	999	999	999	999	0	1	1	0	0	1	1	0	0	0	0	4	4	13	0.118505309
57	barwell	9.09	1	1	1	1	m	0	5M	migen	1	2c	3c	2c	3c	1	3c	7	10	7	10	1	10	1	1	1	0	19	8	3	2	1	2	3	1	5	5	1	2	2.5	n-7	n+4	n+12	n+9	7+n	45	763	9	15	20	31	1	1	0	1	0	1	0	0	0	0	0	4	4	11	-1.764931431
58	barwell	9.53	1	1	1	1	m	0	5M	grid algebra	0	2a	4c	2a	4c	3b	4b	5	13	5	13	9	12	1	1	1	0	25	18	1	1	1	1	1	1	1	1	1	1	1	n-7	n-4	84	n+54	3n4	45	763	9	a=3	u=4	m=3n	1	0	0	0	0	1	0	0	1	1	0	4	4	9	-0.022357299
59	barwell	9.25	1	1	1	1	f	1	5D	migen	1	2b	3b	2c	3b	2b	3b	6	9	7	9	6	9	1	1	1	0	10	5	2	2	3	3	1	1	1	1	1	1	1.6	n	n+4	12	9	7	bcd	0	9	a=3	999	999	0	1	1	0	0	0	0	0	1	0	0	3	3	7	-1.017749992
60	barwell	9.68	1	1	1	1	f	1	5M	migen	1	1	2a	2c	3c	1	3b	1	5	7	10	1	9	1	1	1	0	15	13	2	3	1	1	2	1	1	2	2	2	1.7	n	n-7	12	9	7	42	763	10	9	3	999	0	0	1	0	0	0	0	0	0	0	0	1	1	5	-1.631489616
61	barwell	9.08	1	1	1	1	f	1	5D	grid algebra	0	2b	3b	2b	4c	2a	4c	6	9	6	13	5	13	1	1	1	0	27	10	1	2	1	1	1	1	1	2	2	1	1.3	n	n+4	12	n+10	7n	45	763	9	a=8	they equal 1 and 3	they are different	0	1	1	0	0	1	0	0	0	0	0	3	3	9	0.705638023
62	barwell	10.07	1	1	1	1	m	0	5M	grid algebra	0		4c		3a		4c	999	13	999	8	999	13	1	1	1	0	29	12	1	1	1	2	1	2	1	4	2	4	1.9	n-7	n+4	12	n+9	7n	45	761	9	999	999	999	1	1	1	1	0	1	1	0	0	0	0	6	6	18	-0.152717509
63	barwell	9.98	1	1	1	1	f	1	5M	migen	1	3b	4b	3b	4c	3b	4c	9	12	9	13	9	13	1	1	1	0	31	17	1	1	1	1	1	1	1	1	1	1	1	999	999	12	1009	999	45	761	12	a=3	999	999	0	0	1	0	0	1	1	0	1	0	0	4	4	16	0.21675839
64	barwell	9.2	1	1	1	1	m	0	5D	migen	1	2a	4c	2a	3a	2a	4c	5	13	5	8	5	13	1	1	1	0	29	18	2	2	1	1	3	1	2	2	1	1	1.6	n-7	n+4	8	1005	3000	45	761	9	a+a+6=9	u=4	999	1	1	0	0	0	1	1	0	0	1	0	5	5	17	-0.210998439
65	barwell	9.62	1	1	1	1	m	0	5M	grid algebra	0	2c	3b	2c	3b	2b	3a	7	9	7	9	6	8	1	1	1	0	26	6	1	1	2	2	2	1	1	2	1	2	1.5	n-3	n+4	4	4	4	45	763	11	a+5=8	"u=v+3, v=1"	"m=3n+1, n=4"	0	1	0	0	0	1	0	0	0	0	0	2	2	11	-0.043335117
66	barwell	9.35	1	1	1	1	f	1	5D	grid algebra	0	3b	4b	3b	4b	3b	4a	9	12	9	12	9	11	1	1	1	0	23	20	1	1	2	2	3	1	1	2	1	1	1.5	n-7	n+4	12	n+9	7n	45	761	12	a=3	v+3=4	3n+1=8	1	1	1	1	0	1	1	0	1	0	0	7	7	20	-0.580125339
67	barwell	9.1	1	1	1	1	f	1	5M	grid algebra	0		4c		3a		3a	999	13	999	8	999	8	1	1	1	0	25	14	2	1	3	2	3	1	1	3	1	3	2	n-7	n+4	12	n+5+4	5n+4	45	761	10	a=3	999	3n+1=1	1	1	1	1	0	1	1	0	1	0	0	7	7	17	0.905305964
