individual,predictedgrade,Mark
2,7,39
3,2,4
4,2,6
5,2,3
6,7,30
10,7,29
11,7,42
12,8,38
13,6,31
14,7,31
15,7,24
16,8,32
17,7,26
18,6,31
19,7,30
20,7,31
22,7,43
23,6,29
24,7,29
25,4,20
26,6,35
27,4,23
28,5,15
34,8,32
35,5,28
36,6,33
37,7,36
38,2,2
39,3,9
40,3,11
41,2,3
42,5,28
44,5,17
45,5,19
46,5,35
47,3,27
48,5,22
49,4,25
50,4,16
51,3,16
52,3,15
53,0,3
54,3,3
56,4,13
57,3,13
58,4,14
59,3,2
60,3,7
61,5,24
62,5,23
63,4,17
64,5,17
65,4,17
66,5,17
67,1,8
68,0,8
69,4,12
70,1,2
71,1,8
72,3,13
73,4,14
74,5,19
77,5,20
78,5,18
79,5,25
80,5,10
81,5,33
82,5,26
83,5,27
84,5,17
85,7,33
86,7,36
88,5,29
89,7,25
90,7,41
92,0,6
93,3,1
94,0,2
95,2,8
96,2,16
97,6,27
98,6,22
99,6,26
100,5,34
101,6,37
102,6,27
103,6,31
104,5,35
105,6,40
106,6,30
108,7,30
109,7,26
110,6,21
113,6,19
114,7,33
115,8,41
116,6,26
117,7,18
118,5,23
119,5,21
120,6,29
121,4,5
122,3,18
131,6,19
132,7,39
143,2,8
144,3,16
145,4,20
146,5,16
147,5,13
165,6,27
166,5,19
167,5,7
168,5,21
169,7,23
170,6,24
171,4,22
172,6,17
173,5,26
174,2,18
175,5,21
176,4,10
177,6,23
178,6,17
179,5,13
180,4,11
181,5,13
182,5,18
183,3,15
184,4,13
185,6,37
186,6,31
187,6,29
188,5,27
189,6,18
191,5,16
192,6,23
193,7,28
194,7,32
195,5,25
196,5,17
197,5,30
198,6,13
199,5,19
200,5,14
201,5,19
202,5,20
203,6,24
204,5,19
205,5,16
206,4,26
207,6,26
208,6,24
209,5,26
210,5,30
211,6,23
212,5,13
213,5,20
214,6,18
215,5,14
216,6,22
217,4,14
218,5,16
219,5,22
220,5,19
221,5,27
222,6,24
223,6,15
224,5,22
225,5,15
226,5,25
227,5,17
228,5,33
229,5,29
230,5,25
231,4,27
232,4,14
233,5,24
234,5,18
235,5,10
236,6,15
237,5,15
238,7,18
239,5,22
240,5,17
241,5,20
242,5,19
243,5,22
244,6,21
245,3,17
246,3,18
247,4,20
248,4,16
249,3,6
250,4,7
251,4,14
252,5,29
253,5,19
254,3,21
255,5,26
256,5,21
257,5,11
258,6,34
259,5,32
260,4,7
261,4,15
262,5,24
263,4,16
264,5,15
265,2,25
266,5,31
267,6,31
268,5,15
269,6,27
270,5,26
271,7,34
272,8,45
274,7,36
275,7,33
276,6,34
277,4,16
278,6,13
279,4,19
280,6,21
281,5,12
282,6,29
283,6,14
284,6,17
285,6,27
286,5,19
287,6,30
288,6,16
289,7,10
290,5,20
291,5,20
292,5,24
293,8,36
294,7,27
295,5,17
296,5,25
297,5,26
299,7,30
301,4,9
302,7,45
303,7,35
304,7,37
305,7,36
306,8,42
307,8,34
308,7,36
309,7,22
310,7,29
311,7,33
312,8,48
313,5,18
314,6,30
315,5,27
316,6,21
317,5,12
318,5,22
320,6,25
321,6,31
322,5,18
323,6,16
324,5,19
325,5,26
326,8,41
327,8,38
328,7,29
329,8,35
330,7,33
331,7,36
332,7,18
333,8,18
334,7,31
335,8,41
336,7,40
337,7,15
338,8,29
339,7,22
340,7,23
341,7,31
342,7,21
343,4,25
344,4,20
345,5,15
346,4,15
347,4,27
348,6,30
349,5,32
350,6,32
351,6,24
352,5,12
353,6,22
354,6,22
355,5,20
356,5,13
357,6,38
360,7,18
361,5,22
362,5,16
363,5,13
364,5,21
365,6,24
366,5,31
367,8,39
368,7,34
369,6,36
370,7,37
371,7,35
372,7,41
373,7,33
374,7,39
375,7,26
376,8,39
377,7,34
378,7,36
379,7,33
380,7,40
381,7,38
382,5,25
383,5,26
384,4,15
385,5,14
386,5,26
387,5,15
388,5,10
389,5,11
390,5,17
391,5,21
392,5,23
393,5,24
394,5,31
395,7,46
396,7,39
397,7,35
398,7,34
399,8,40
400,6,37
401,7,36
402,5,35
403,5,28
404,7,33
405,5,10
409,3,17
410,6,24
411,6,27
412,6,29
413,6,27
414,6,20
415,6,32
416,6,29
417,6,13
418,5,18
419,4,8
420,5,21
421,5,22
422,5,12
423,5,17
424,5,28
425,5,19
440,4,7
441,4,7
442,4,14
443,5,19
444,5,22
445,4,13
446,5,30
447,4,14
448,5,20
449,5,25
450,5,20
451,5,20
452,4,5
453,4,22
454,4,22
455,5,24
456,5,12
457,4,7
458,4,17
459,5,10
460,5,9
461,4,13
463,5,14
464,5,13
465,5,16
466,5,25
467,5,23
468,8,50
469,7,41
470,7,34
471,7,35
472,7,46
473,6,38
474,8,43
475,5,35
476,4,19
477,4,14
478,4,27
479,7,44
480,7,30
481,7,35
482,5,8
483,5,19
484,4,29
485,5,20
486,5,18
487,5,30
488,5,27
489,5,30
490,5,21
491,5,18
492,5,22
493,5,18
494,5,22
495,5,17
496,5,34
497,4,15
498,4,22
499,4,25
500,4,24
501,5,16
502,5,12
503,7,33
504,7,30
505,5,20
506,5,14
507,5,30
508,5,31
509,6,25
510,4,17
511,5,13
512,5,24
513,5,25
514,5,22
515,5,23
516,5,24
517,5,19
518,4,20
519,7,27
520,7,28
521,7,26
522,4,19
523,5,24
524,5,26
528,4,16
529,4,8
530,4,11
531,4,3
532,3,7
533,4,17
534,5,29
535,5,28
536,4,18
537,6,16
538,5,24
544,5,21
545,4,21
546,5,25
547,4,4
550,7,20
551,5,22
552,5,26
553,5,23
554,3,13
555,5,25
556,5,28
557,5,31
558,5,25
559,5,34
560,5,26
561,5,33
562,5,31
563,5,27
564,5,27
566,4,15
567,5,22
568,3,18
569,4,17
574,5,20
575,4,21
576,5,16
577,5,22
578,5,17
579,5,30
581,5,23
582,5,21
583,5,19
584,5,14
585,5,18
586,6,20
587,6,24
588,5,23
589,5,30
590,5,20
591,4,5
592,4,19
593,3,9
599,4,15
600,5,19
601,4,17
602,5,30
603,5,19
604,5,18
605,5,19
606,5,24
608,5,19
609,5,19
610,5,21
611,6,28
612,5,30
613,5,18
614,5,28
615,5,18
616,6,31
617,5,25
618,5,19
619,6,27
620,5,26
631,4,23
632,4,19
633,3,15
634,4,14
635,4,17
636,4,18
637,4,24
638,4,27
639,3,14
640,3,9
641,6,34
643,5,21
644,5,33
645,6,36
646,5,22
661,7,36
662,7,16
663,7,44
664,7,15
665,8,28
666,4,11
667,4,4
668,4,5
669,4,6
670,4,8
671,4,12
672,4,8
673,4,9
674,4,4
675,4,11
676,4,8
677,4,11
678,4,9
679,4,5
680,3,6
681,7,25
682,8,18
683,8,15
684,7,33
685,7,36
686,7,37
687,7,14
688,8,33
691,5,12
692,5,26
693,5,28
694,3,12
695,5,16
696,4,14
697,5,19
698,5,18
699,5,16
700,4,8
710,6,33
712,5,20
713,6,32
714,6,23
715,5,15
716,6,21
717,6,24
718,6,23
720,7,31
721,5,13
722,5,28
723,5,23
724,5,29
725,5,23
726,5,17
727,5,21
728,5,10
729,5,21
733,5,25
734,5,18
735,5,9
736,5,17
737,5,21
738,5,20
739,5,22
741,3,8
747,2,1
748,2,1
749,2,0
750,3,12
751,2,2
752,3,16
753,3,0
754,1,2
756,5,8
758,3,0
759,3,7
760,5,19
761,4,22
762,3,5
763,4,13
764,3,10
765,2,8
766,2,4
767,4,5
768,3,4
769,2,6
771,2,4
772,2,7
773,1,8
774,1,8
775,1,11
776,0,4
777,1,8
778,2,12
779,1,14
780,2,13
781,7,19
782,7,23
783,5,6
786,4,16
787,4,16
788,4,21
790,4,7
791,4,16
792,4,13
793,6,22
794,6,20
795,8,23
796,7,17
797,6,15
798,6,29
799,6,32
800,6,24
801,6,27
802,6,32
804,7,14
805,7,33
806,3,7
807,6,34
810,2,4
811,3,5
812,2,11
813,3,18
814,6,30
815,5,14
816,6,11
817,2,11
818,2,7
819,4,13
820,3,15
821,3,13
822,8,36
823,5,23
824,4,12
825,4,23
826,4,7
827,4,7
828,5,12
829,5,20
830,5,3
831,5,5
832,4,10
833,5,19
834,5,9
835,8,23
836,7,25
839,1,0
840,2,3
841,2,12
842,4,5
843,5,31
844,5,28
845,4,19
846,5,29
847,4,12
848,4,12
849,5,15
850,4,14
851,5,24
852,5,10
853,5,12
854,4,16
855,3,11
856,4,11
857,7,39
858,6,25
859,6,25
860,6,33
861,6,38
863,1,3
868,6,34
869,6,28
872,2,4
877,5,31
878,7,22
879,7,23
880,7,31
881,7,30
882,5,29
883,6,28
884,7,29
885,5,27
886,6,30
887,6,32
888,5,18
889,5,13
890,5,14
892,5,29
893,5,17
894,5,16
895,4,19
896,5,21
897,5,30
898,5,25
900,6,32
901,6,23
902,6,34
903,5,37
904,5,23
905,5,26
906,6,23
907,6,22
908,7,29
909,5,33
910,7,44
911,4,27
912,5,28
913,6,24
914,7,27
915,7,37
916,7,31
917,4,13
918,4,5
920,5,15
921,7,35
929,4,18
930,3,5
