individual,Maths_level_recoded,CJ,ICCAMS
1,5,-0.637784672,11
2,9,0.662225801,12
3,9,-0.014078495,9
4,8,0.919784949,11
5,9,1.246400313,12
6,4,0.953707446,11
7,4,0.691843736,10
8,9,0.782886212,12
9,9,1.06906643,11
10,5,-1.000375607,10
11,8,0.386849391,12
12,4,0.702798772,7
13,8,1.404400195,10
14,9,0.805749727,9
15,8,2.476998175,11
16,2,-0.410382479,4
17,6,-0.388948044,7
18,6,-0.813436382,6
19,6,-0.969943779,6
20,6,0.494518629,3
21,6,0.187660995,4
22,6,-0.059785686,10
23,1,-0.990663903,6
24,2,-2.270536103,6
25,6,-1.762724932,5
26,6,-2.110525124,6
27,2,0.438741813,3
28,6,0.319287882,7
29,1,-0.713270374,3
30,6,-0.194422625,4
31,2,-0.437623576,4
32,6,-0.43785864,3
33,6,0.013523225,6
34,6,0.677855651,6
35,5,-2.071637127,6
36,2,-0.808946998,6
37,6,0.181874571,9
38,6,0.151417788,8
39,6,0.845219701,5
40,6,1.030980164,10
41,6,-1.493811024,7
42,6,-0.577441139,4
43,6,0.798678461,6
44,1,0.503260552,4
45,4,-0.177314895,5
46,2,0.595781027,5
