individual,group,Alevel,cci,CJ_all_decisions
3,1,3,5,2.225747183
16,1,-99,4,1.507078433
22,1,3,3,1.1636842
44,0,-99,5,1.097225969
18,1,4,4,0.951586094
12,1,-99,8,0.889773143
4,1,3,5,0.88161501
9,1,4,6,0.822028402
7,1,4,6,0.765415296
2,1,2,7,0.702630053
37,0,3,4,0.623504146
20,1,4,5,0.561640141
15,1,-99,8,0.546778596
30,0,3,4,0.541617774
33,0,3,5,0.523460763
10,1,3,2,0.481820858
27,0,-99,9,0.430924621
19,1,4,5,0.397048296
21,1,3,3,0.372395119
35,0,2,3,0.282530962
32,0,2,4,0.24726163
38,0,3,3,0.029644529
5,1,4,5,-0.094993955
28,0,3,5,-0.130720695
29,0,3,6,-0.145695926
36,0,-99,6,-0.158395827
34,0,3,3,-0.267015569
11,1,2,6,-0.398403857
26,0,2,3,-0.459164351
13,1,4,8,-0.553215288
8,1,3,4,-0.586648662
31,0,3,3,-0.835921303
41,0,4,4,-1.061937323
43,0,-99,0,-1.19050665
17,1,2,4,-1.207669526
42,0,2,6,-1.334653296
25,0,3,3,-1.460045206
24,0,2,7,-1.837095828
14,1,1,3,-1.986802169
40,0,2,7,-2.336525785
