"Judge","Candidate.Chosen","Candidate.Not.Chosen"
55,169,117
55,77,151
55,35,170
55,3,120
55,56,25
55,151,96
55,156,80
55,35,25
55,156,100
55,164,118
55,126,3
55,100,126
55,80,56
55,28,164
55,85,170
55,117,28
55,118,85
55,136,77
55,157,95
120,100,30
120,137,59
120,29,49
120,20,100
120,112,101
120,40,107
120,40,104
120,30,95
120,165,131
120,20,89
120,107,89
120,124,112
120,23,101
120,137,131
120,104,124
120,95,59
168,21,57
168,21,114
168,11,45
168,149,97
168,24,100
168,147,30
168,121,114
168,100,95
168,41,45
168,147,97
168,95,166
168,121,160
168,122,166
168,33,11
168,108,57
168,24,33
168,108,30
168,122,78
168,149,78
156,165,101
156,99,93
156,144,165
156,26,50
156,111,152
156,37,114
156,103,30
156,26,5
156,111,101
156,152,50
156,37,90
156,125,5
156,99,95
156,90,59
156,114,30
156,9,144
156,93,59
156,9,95
24,108,150
24,151,127
24,170,3
24,85,59
24,36,147
24,147,167
24,121,95
24,36,80
24,103,59
24,167,95
24,53,6
24,20,85
24,103,150
24,53,96
24,20,94
24,96,127
24,121,3
24,94,151
24,170,6
21,164,136
21,167,93
21,127,170
21,77,125
21,42,135
21,77,54
21,108,170
21,96,144
21,164,108
21,167,123
21,123,125
21,122,120
21,42,121
21,136,49
21,121,93
21,49,140
21,96,122
21,135,112
21,117,112
21,123,127
100,33,3
100,108,133
100,136,147
100,3,151
100,121,24
100,29,8
100,33,8
100,112,124
100,90,84
100,29,21
100,33,29
100,116,90
100,33,108
100,34,91
100,46,138
100,116,128
100,137,111
100,138,103
100,32,143
100,120,117
100,137,128
100,57,111
100,24,34
100,158,56
100,29,84
100,133,120
100,42,21
100,56,45
100,137,103
100,32,91
100,151,137
100,121,112
76,20,112
76,48,115
76,117,59
76,118,106
76,85,157
76,106,30
76,136,85
76,84,106
76,103,112
76,99,7
76,40,79
76,103,38
76,24,7
76,115,79
76,31,106
76,124,30
76,157,4
76,52,152
76,40,122
76,122,41
76,24,40
76,115,124
76,117,39
76,24,35
76,111,112
76,52,41
76,136,112
76,115,10
76,23,59
76,111,6
76,38,59
76,84,6
76,118,90
76,23,152
76,90,4
76,48,39
76,40,35
76,59,10
7,54,39
7,119,4
7,166,5
7,88,50
7,134,79
7,54,92
7,99,155
7,8,2
7,84,166
7,11,34
7,34,30
7,28,57
7,163,8
7,130,156
7,11,165
7,156,158
7,84,2
7,28,165
7,108,3
7,76,88
7,143,4
7,143,79
7,99,39
7,38,57
7,119,59
7,143,129
7,155,123
7,118,5
7,76,3
7,143,4
7,32,129
7,59,158
7,4,30
7,118,165
7,108,123
7,130,163
79,86,20
79,54,7
79,29,6
79,108,109
79,133,112
79,29,60
79,159,109
79,143,60
79,112,153
79,143,23
79,76,107
79,86,5
79,108,168
79,107,153
79,76,54
79,133,6
79,23,168
96,47,159
96,156,33
96,84,19
96,33,6
96,165,80
96,26,10
96,98,50
96,80,6
96,23,166
96,50,56
96,45,86
96,137,86
96,163,159
96,104,26
96,147,56
96,88,163
96,47,45
96,98,88
96,156,23
99,100,50
99,3,50
99,97,100
99,40,148
99,77,76
99,106,1
99,155,114
99,28,101
99,114,101
99,40,1
99,155,107
99,3,76
99,91,77
99,148,107
99,97,80
99,91,7
87,163,153
87,167,10
87,136,153
87,31,23
87,49,52
87,80,54
87,150,28
87,27,162
87,150,54
87,136,149
87,47,46
87,49,57
87,163,152
87,80,57
87,28,162
87,23,149
87,47,31
87,27,46
87,52,167
22,150,32
22,79,37
22,9,139
22,129,137
22,131,95
22,79,52
22,133,129
22,98,95
22,84,86
22,118,162
22,124,86
22,9,162
22,143,118
22,133,37
22,150,127
22,139,137
22,32,51
22,127,124
22,92,84
22,92,143
50,53,165
50,127,21
50,98,46
50,53,118
50,106,101
50,131,166
50,136,127
50,118,155
50,32,165
50,106,82
50,32,136
50,98,82
50,21,131
50,107,94
50,33,107
50,94,155
50,117,101
42,99,159
42,114,107
42,49,170
42,157,78
42,99,41
42,108,20
42,45,41
42,20,95
42,49,95
42,27,167
42,119,32
42,114,4
42,32,93
42,35,170
42,35,157
42,4,78
42,108,93
42,27,107
42,167,45
47,60,128
47,4,2
47,155,149
47,114,109
