"Judge","Candidate.Chosen","Candidate.Not.Chosen","Time.Taken","Internal","Date.Created"
1015,111,363,54.1,"true","10/08/2017 11:43"
1015,271,280,58.1,"true","14/08/2017 11:35"
1015,369,150,142.7,"true","10/08/2017 11:40"
1015,40,54,190.9,"true","01/08/2017 13:44"
1015,369,17,44.8,"true","23/08/2017 08:27"
1015,79,182,103,"true","23/08/2017 08:29"
1015,297,73,93.2,"true","02/08/2017 16:33"
1015,241,185,186.6,"true","24/08/2017 11:50"
1015,199,363,126,"true","23/08/2017 08:15"
1015,176,340,176.9,"true","24/08/2017 11:54"
1015,140,10,137.7,"true","02/08/2017 16:30"
1015,103,304,156.2,"true","02/08/2017 16:26"
1015,318,260,48.9,"true","23/08/2017 08:22"
1015,56,68,62.9,"true","10/08/2017 11:38"
1015,195,103,114,"true","23/08/2017 08:12"
1015,342,177,97.8,"true","23/08/2017 08:26"
1015,297,248,99.7,"true","01/08/2017 13:41"
1015,24,4,21.4,"true","24/08/2017 11:47"
1015,199,282,134.6,"true","16/08/2017 11:22"
1015,24,175,159.1,"true","24/08/2017 12:00"
1015,59,148,104.1,"true","24/08/2017 11:58"
1015,73,195,130.9,"true","10/08/2017 11:42"
1015,305,24,108.5,"true","01/08/2017 13:33"
1015,73,76,81.9,"true","10/08/2017 11:28"
1015,248,296,131.1,"true","24/08/2017 11:56"
1015,260,177,37.3,"true","02/08/2017 16:31"
1015,74,125,98.6,"true","02/08/2017 16:23"
1015,16,248,46.1,"true","02/08/2017 16:35"
1015,195,296,444.5,"true","01/08/2017 13:31"
1015,56,360,19.4,"true","16/08/2017 11:24"
1015,257,55,326.8,"true","16/08/2017 11:30"
1015,318,17,161.7,"true","14/08/2017 11:38"
1015,59,19,52.2,"true","24/08/2017 11:51"
1015,73,201,102.7,"true","10/08/2017 11:27"
1015,257,18,135.7,"true","21/07/2017 10:55"
1015,232,35,66.7,"true","24/08/2017 12:01"
1015,54,180,33.9,"true","16/08/2017 11:30"
1015,74,31,87.1,"true","21/07/2017 10:58"
1015,294,162,91.8,"true","23/08/2017 08:13"
1015,232,282,96.3,"true","16/08/2017 11:24"
1015,271,157,126.9,"true","23/08/2017 08:21"
1015,370,329,141.2,"true","23/08/2017 08:19"
1015,257,131,68.7,"true","23/08/2017 08:16"
1015,124,220,303.7,"true","01/08/2017 13:38"
1015,327,366,134.6,"true","01/08/2017 13:23"
1015,17,24,114.9,"true","16/08/2017 11:20"
1015,63,136,85.1,"true","10/08/2017 11:25"
1015,232,201,42.1,"true","02/08/2017 16:34"
1015,24,161,105.8,"true","02/08/2017 16:28"
1015,214,205,173.8,"true","16/08/2017 11:18"
1015,305,162,419.5,"true","10/08/2017 11:35"
1015,189,343,36.5,"true","10/08/2017 11:36"
1015,370,312,94.1,"true","23/08/2017 08:24"
1015,201,326,43.7,"true","23/08/2017 08:22"
1015,282,264,31.9,"true","23/08/2017 08:25"
1015,111,23,83,"true","02/08/2017 16:36"
1015,56,162,97.6,"true","02/08/2017 16:22"
1015,56,140,58.9,"true","10/08/2017 11:37"
1015,221,41,817,"true","16/08/2017 11:15"
1015,262,336,65.4,"true","02/08/2017 16:32"
1015,340,41,89.8,"true","21/07/2017 10:56"
1015,234,7,95.4,"true","01/08/2017 13:39"
1015,304,360,14.7,"true","16/08/2017 11:20"
1005,13,363,126.7,"true","03/08/2017 16:13"
1005,232,329,315.5,"true","15/08/2017 11:50"
1005,73,19,33.1,"true","03/08/2017 16:14"
1005,20,54,74.6,"true","14/08/2017 15:45"
1005,124,238,10.1,"true","14/08/2017 16:17"
1005,202,252,118.2,"true","15/08/2017 12:34"
1005,55,231,8.5,"true","14/08/2017 15:59"
1005,150,132,102.8,"true","14/08/2017 15:37"
1005,319,33,153.3,"true","14/08/2017 16:19"
1005,167,329,49.7,"true","27/07/2017 12:02"
1005,327,329,16.3,"true","14/08/2017 16:09"
1005,150,336,46,"true","14/08/2017 16:17"
1005,76,59,63,"true","14/08/2017 16:13"
1005,336,148,40.6,"true","14/08/2017 16:09"
1005,124,353,28.3,"true","14/08/2017 16:09"
1005,161,151,91.3,"true","14/08/2017 15:57"
1005,13,278,46,"true","14/08/2017 16:24"
1005,127,112,60,"true","14/08/2017 16:00"
1005,262,287,99.3,"true","14/08/2017 15:44"
1005,29,111,91.9,"true","27/07/2017 12:10"
1005,176,205,56.9,"true","14/08/2017 16:15"
1005,234,199,30.3,"true","14/08/2017 16:11"
1005,161,282,122.2,"true","14/08/2017 16:08"
1005,342,185,283.9,"true","14/08/2017 15:42"
1005,220,35,32.6,"true","14/08/2017 16:06"
1005,112,94,70.2,"true","15/08/2017 12:05"
1005,148,366,151.7,"true","15/08/2017 12:09"
1005,182,177,38.5,"true","14/08/2017 16:28"
1005,67,125,47.4,"true","14/08/2017 16:10"
1005,181,182,59.3,"true","14/08/2017 15:51"
1005,275,346,40.6,"true","14/08/2017 16:00"
1005,262,17,20,"true","14/08/2017 16:30"
1005,262,185,52.2,"true","27/07/2017 12:05"
1005,59,304,30.4,"true","14/08/2017 15:52"
1005,47,167,41.6,"true","14/08/2017 16:02"
1005,201,157,101.5,"true","14/08/2017 15:49"
1005,9,151,32.7,"true","14/08/2017 15:50"
1005,271,63,35,"true","14/08/2017 15:54"
1005,176,257,19.2,"true","14/08/2017 16:16"
1005,54,208,32.1,"true","27/07/2017 12:03"
1005,214,181,113,"true","15/08/2017 12:45"
1005,346,360,7.9,"true","14/08/2017 16:30"
1005,175,7,27.6,"true","14/08/2017 15:46"
1005,220,94,68.7,"true","27/07/2017 12:00"
1005,41,157,23.5,"true","14/08/2017 16:24"
1005,297,369,19.6,"true","14/08/2017 16:11"
1005,287,132,51.5,"true","14/08/2017 16:26"
1005,202,88,74.2,"true","14/08/2017 16:15"
1005,35,346,77.6,"true","15/08/2017 12:32"
1005,40,312,59.3,"true","14/08/2017 16:27"
1005,252,125,90.4,"true","15/08/2017 11:45"
1005,68,360,14.5,"true","14/08/2017 15:46"
1005,195,319,14.7,"true","15/08/2017 12:04"
1005,260,231,10,"true","14/08/2017 15:46"
1005,213,20,57.4,"true","15/08/2017 12:06"
1005,180,17,34,"true","27/07/2017 12:03"
1005,210,231,13.7,"true","27/07/2017 12:02"
1005,79,136,264.6,"true","15/08/2017 12:27"
1005,223,79,72.1,"true","14/08/2017 16:26"
1005,56,180,28.4,"true","14/08/2017 16:21"
1005,140,326,5.9,"true","14/08/2017 16:04"
1005,148,369,247.8,"true","27/07/2017 12:09"
1005,31,231,5.6,"true","14/08/2017 16:13"
1005,8,281,120.1,"true","14/08/2017 16:04"
1005,53,176,102.2,"true","14/08/2017 15:54"
1005,284,343,32.2,"true","14/08/2017 16:29"
1005,31,238,13,"true","15/08/2017 12:44"
1005,74,208,35.7,"true","15/08/2017 12:07"
1005,262,296,60.3,"true","15/08/2017 12:04"
1005,136,201,53.9,"true","14/08/2017 16:29"
1005,336,167,499,"true","15/08/2017 12:43"
1005,175,41,34.6,"true","14/08/2017 15:57"
1005,369,360,54.5,"true","27/07/2017 11:59"
1005,327,234,51.6,"true","03/08/2017 16:14"
1005,366,4,77,"true","14/08/2017 16:21"
1005,283,53,22.1,"true","27/07/2017 12:04"
1005,10,185,609.8,"true","15/08/2017 12:02"
1005,31,20,29.2,"true","14/08/2017 16:22"
1005,42,296,466.3,"true","15/08/2017 12:22"
1005,294,136,62,"true","15/08/2017 12:35"
1005,294,346,75.6,"true","14/08/2017 16:23"
1005,221,94,23.3,"true","14/08/2017 16:01"
1005,10,185,609.8,"true","15/08/2017 12:02"
1005,223,10,23.1,"true","14/08/2017 16:11"
1005,370,260,21.6,"true","14/08/2017 16:21"
1005,74,33,97.6,"true","14/08/2017 15:48"
1005,19,294,79.8,"true","27/07/2017 12:01"
1005,111,260,39.2,"true","14/08/2017 16:13"
1005,127,323,44.7,"true","15/08/2017 12:03"
1005,1,67,33.8,"true","14/08/2017 15:50"
1005,180,319,45.6,"true","14/08/2017 15:38"
1005,305,199,244.5,"true","15/08/2017 12:31"
1005,19,136,43,"true","15/08/2017 11:43"
1005,9,189,34.7,"true","14/08/2017 16:01"
1005,318,162,66.6,"true","14/08/2017 16:05"
1005,140,131,113,"true","15/08/2017 11:52"
1005,29,177,305.7,"true","15/08/2017 12:15"
1005,88,195,70.4,"true","14/08/2017 15:58"
1005,8,214,18.4,"true","14/08/2017 16:02"
1000,18,370,203,"true","03/08/2017 20:12"
1000,238,342,102,"true","03/08/2017 20:22"
1000,79,264,21.2,"true","03/08/2017 20:31"
1000,53,241,123.6,"true","03/08/2017 20:20"
1000,280,326,340.3,"true","03/08/2017 14:57"
1000,18,360,16.5,"true","03/08/2017 19:50"
1000,127,181,81.2,"true","02/08/2017 13:27"
1000,88,326,24.9,"true","03/08/2017 20:36"
1000,182,296,427.9,"true","03/08/2017 19:25"
1000,260,278,302.7,"true","03/08/2017 19:48"
1000,275,234,149.1,"true","03/08/2017 21:19"
1000,340,177,78.4,"true","02/08/2017 13:19"
1000,23,112,83.6,"true","03/08/2017 21:05"
1000,340,56,958.4,"true","03/08/2017 20:57"
1000,283,54,120.5,"true","03/08/2017 21:11"
1000,282,4,252.1,"true","03/08/2017 20:26"
1000,319,294,104.7,"true","03/08/2017 14:31"
1000,25,264,82.4,"true","02/08/2017 12:10"
1000,103,67,155.3,"true","02/08/2017 12:14"
1000,94,231,134.3,"true","03/08/2017 14:46"
1000,35,181,82.6,"true","03/08/2017 21:22"
1000,176,20,139.7,"true","03/08/2017 19:29"
1000,162,177,223.5,"true","03/08/2017 14:36"
1000,113,4,59.9,"true","03/08/2017 20:39"
1000,287,40,49.5,"true","03/08/2017 21:09"
1000,162,231,52.1,"true","03/08/2017 19:43"
1000,111,113,145.9,"true","03/08/2017 21:08"
1000,94,88,180.2,"true","02/08/2017 13:11"
1000,55,88,97.3,"true","03/08/2017 19:27"
1000,74,111,3202,"true","02/08/2017 14:22"
1000,127,25,143.3,"true","03/08/2017 14:59"
1000,214,208,90.9,"true","03/08/2017 21:16"
1000,199,131,182.2,"true","03/08/2017 20:09"
1000,195,241,812,"true","02/08/2017 13:01"
1000,366,280,138.3,"true","02/08/2017 12:08"
1000,366,241,102.1,"true","03/08/2017 19:55"
1000,31,220,137.2,"true","03/08/2017 20:28"
1000,305,281,116.3,"true","03/08/2017 21:14"
1000,9,180,88.6,"true","03/08/2017 21:25"
1000,23,150,119.1,"true","03/08/2017 21:27"
1000,220,54,184.7,"true","02/08/2017 11:33"
1000,33,185,58.1,"true","02/08/2017 13:26"
1000,59,33,142.7,"true","03/08/2017 21:04"
1000,42,9,120.9,"true","03/08/2017 20:35"
1000,42,151,15534.6,"true","03/08/2017 19:18"
1000,8,284,87.8,"true","02/08/2017 12:09"
1000,175,8,108,"true","03/08/2017 20:18"
1000,199,180,709.5,"true","02/08/2017 08:17"
1000,132,278,88.1,"true","02/08/2017 12:12"
1000,47,31,143.5,"true","03/08/2017 21:24"
1000,223,214,253.1,"true","03/08/2017 21:02"
1000,132,275,128.3,"true","02/08/2017 13:04"
1000,223,264,74.3,"true","03/08/2017 19:40"
1000,340,205,82.4,"true","03/08/2017 20:15"
1000,366,182,171.6,"true","03/08/2017 19:53"
1000,201,336,156.5,"true","02/08/2017 13:18"
1000,252,161,252.6,"true","03/08/2017 19:33"
1000,35,148,308.7,"true","02/08/2017 14:27"
1000,55,205,200,"true","02/08/2017 13:23"
1000,248,157,120.7,"true","03/08/2017 14:44"
1000,369,353,14.1,"true","02/08/2017 13:18"
1000,24,94,1651.1,"true","02/08/2017 12:00"
1000,189,312,303.7,"true","02/08/2017 12:05"
1000,312,346,356,"true","03/08/2017 20:01"
1000,262,103,73.2,"true","03/08/2017 14:33"
1000,182,343,71.7,"true","02/08/2017 13:25"
1000,353,7,61.8,"true","03/08/2017 20:16"
1000,140,127,203.4,"true","02/08/2017 08:20"
1000,78,41,144,"true","03/08/2017 14:49"
1000,329,312,158.9,"true","03/08/2017 20:41"
1000,175,281,135.2,"true","03/08/2017 14:51"
1000,16,41,97.1,"true","03/08/2017 19:50"
1000,271,1,250.4,"true","02/08/2017 12:19"
1000,63,323,130.7,"true","02/08/2017 12:21"
1000,18,35,114.3,"true","03/08/2017 19:42"
1000,223,53,362.4,"true","02/08/2017 08:26"
1000,370,125,139.9,"true","03/08/2017 20:31"
1000,221,103,346.7,"true","03/08/2017 19:39"
1000,232,283,91,"true","03/08/2017 20:14"
1000,29,136,71.2,"true","03/08/2017 21:17"
1000,281,103,17.4,"true","02/08/2017 13:20"
1000,124,140,128.5,"true","03/08/2017 20:38"
1000,76,148,133.8,"true","03/08/2017 20:06"
1000,340,167,30.9,"true","03/08/2017 21:29"
1000,213,53,46,"true","03/08/2017 21:20"
1000,113,248,91.7,"true","03/08/2017 21:12"
1000,210,346,138.5,"true","03/08/2017 20:33"
1000,76,185,55.4,"true","02/08/2017 13:28"
1000,252,238,55.8,"true","02/08/2017 13:24"
1000,213,199,43.6,"true","02/08/2017 13:12"
1000,312,7,326.4,"true","02/08/2017 14:32"
1000,167,78,1622.9,"true","02/08/2017 12:48"
1000,13,205,347.6,"true","03/08/2017 14:42"
1000,9,20,152.4,"true","03/08/2017 14:30"
1000,189,7,63.5,"true","03/08/2017 21:28"
1000,210,162,220.4,"true","02/08/2017 13:08"
1000,113,167,200.7,"true","02/08/2017 13:15"
1000,213,151,55.3,"true","02/08/2017 13:02"
1000,336,363,183.5,"true","03/08/2017 20:04"
1018,257,221,253.5,"true","05/08/2017 09:55"
1018,63,342,121.7,"true","06/08/2017 15:14"
1018,283,10,90.4,"true","19/08/2017 10:23"
1018,327,136,130.1,"true","20/08/2017 09:37"
