"","Candidate.Not.Chosen","Candidate.Chosen","Judge","A","B","choseA","choseB","theta1","raw1","theta2","raw2","probTheta","probRaw"
"1",81,104,9,104,81,1,0,3.36215208571773,0.823529411764706,1.62910413735939,0.575757575757576,0.849801871193196,0.0616279980228744
"5",81,104,9,104,81,1,0,3.36215208571773,0.823529411764706,1.62910413735939,0.575757575757576,0.849801871193196,0.0616279980228744
"6",81,104,9,81,104,0,1,3.36215208571773,0.823529411764706,1.62910413735939,0.575757575757576,0.849801871193196,0.0616279980228744
"8",81,106,2,106,81,1,0,2.76181078155414,0.75,1.62910413735939,0.575757575757576,0.756338054740739,0.0434507297709218
"10",81,106,6,106,81,1,0,2.76181078155414,0.75,1.62910413735939,0.575757575757576,0.756338054740739,0.0434507297709218
"13",81,104,9,81,104,0,1,3.36215208571773,0.823529411764706,1.62910413735939,0.575757575757576,0.849801871193196,0.0616279980228744
"18",82,81,1,82,81,0,1,1.62910413735939,0.575757575757576,-1.26986306238895,0.363636363636364,0.947795358297986,0.0528323503326418
"19",82,86,3,82,86,0,1,1.03306339881636,0.46875,-1.26986306238895,0.363636363636364,0.909119117400192,0.026254240219615
"20",82,106,4,106,82,1,0,2.76181078155414,0.75,-1.26986306238895,0.363636363636364,0.982564777719413,0.0954070131517604
"22",82,86,3,86,82,1,0,1.03306339881636,0.46875,-1.26986306238895,0.363636363636364,0.909119117400192,0.026254240219615
"26",82,105,8,105,82,1,0,2.36224708388596,0.620689655172414,-1.26986306238895,0.363636363636364,0.974221808069625,0.0639117881257929
"27",82,108,2,108,82,1,0,1.84648060210527,0.580645161290323,-1.26986306238895,0.363636363636364,0.957561893565814,0.0540402898853327
"28",82,106,7,106,82,1,0,2.76181078155414,0.75,-1.26986306238895,0.363636363636364,0.982564777719413,0.0954070131517604
"29",82,89,7,89,82,1,0,-0.0368289426850725,0.636363636363636,-1.26986306238895,0.363636363636364,0.774349174951576,0.0677623235383435
"31",82,83,7,82,83,0,1,1.59598291811557,0.625,-1.26986306238895,0.363636363636364,0.946132025273683,0.0649714742304072
"32",82,81,9,81,82,1,0,1.62910413735939,0.575757575757576,-1.26986306238895,0.363636363636364,0.947795358297986,0.0528323503326418
"33",82,1010,4,82,1010,0,1,2.02999650288409,0.645161290322581,-1.26986306238895,0.363636363636364,0.964423992676271,0.0699200403158029
"34",82,83,3,83,82,1,0,1.59598291811557,0.625,-1.26986306238895,0.363636363636364,0.946132025273683,0.0649714742304072
"35",82,81,1,81,82,1,0,1.62910413735939,0.575757575757576,-1.26986306238895,0.363636363636364,0.947795358297986,0.0528323503326418
"37",83,103,4,83,103,0,1,3.72288843644822,0.838709677419355,1.59598291811557,0.625,0.89349088058261,0.0532249998072803
"38",83,103,8,83,103,0,1,3.72288843644822,0.838709677419355,1.59598291811557,0.625,0.89349088058261,0.0532249998072803
"40",83,106,4,106,83,1,0,2.76181078155414,0.75,1.59598291811557,0.625,0.762390054672205,0.0312093733737563
"44",83,103,3,103,83,1,0,3.72288843644822,0.838709677419355,1.59598291811557,0.625,0.89349088058261,0.0532249998072803
"45",83,103,1,83,103,0,1,3.72288843644822,0.838709677419355,1.59598291811557,0.625,0.89349088058261,0.0532249998072803
"52",84,102,3,84,102,0,1,-0.815766714889754,0.4375,-2.32596593709799,0.34375,0.819090729691727,0.0234203489363241
"55",84,109,3,109,84,1,0,-1.24514163618451,0.5,-2.32596593709799,0.34375,0.74664994293536,0.0389832206876841
"59",84,109,4,84,109,0,1,-1.24514163618451,0.5,-2.32596593709799,0.34375,0.74664994293536,0.0389832206876841
"60",84,109,6,109,84,1,0,-1.24514163618451,0.5,-2.32596593709799,0.34375,0.74664994293536,0.0389832206876841
"63",84,92,8,84,92,0,1,-1.45144235696639,0.352941176470588,-2.32596593709799,0.34375,0.705686088351493,0.00229777794174879
"67",84,103,7,103,84,1,0,3.72288843644822,0.838709677419355,-2.32596593709799,0.34375,0.997644994359909,0.121274107632996
"69",85,95,2,95,85,1,0,-2.50805286771996,0.393939393939394,-1.53947212847639,0.5625,0.724836518650852,0.0420406579806751
"70",85,89,8,85,89,0,1,-0.0368289426850725,0.636363636363636,-1.53947212847639,0.5625,0.817968367111934,0.0184575180867129
"80",85,83,1,85,83,0,1,1.59598291811557,0.625,-1.53947212847639,0.5625,0.95833176925186,0.0156199157230157
"81",85,1010,1,85,1010,0,1,2.02999650288409,0.645161290322581,-1.53947212847639,0.5625,0.97260103255346,0.0206535636275382
"83",86,106,2,86,106,0,1,2.76181078155414,0.75,1.03306339881636,0.46875,0.849252126640562,0.0698526514141571
"85",86,104,4,104,86,1,0,3.36215208571773,0.823529411764706,1.03306339881636,0.46875,0.911257669085392,0.08777609201221
"86",86,103,3,103,86,1,0,3.72288843644822,0.838709677419355,1.03306339881636,0.46875,0.936423566168261,0.0914492350397821
"88",86,105,2,105,86,1,0,2.36224708388596,0.620689655172414,1.03306339881636,0.46875,0.790705574667886,0.0379120065363591
"89",86,82,4,82,86,1,0,-1.26986306238895,0.363636363636364,1.03306339881636,0.46875,0.909119117400192,0.026254240219615
"90",86,107,6,107,86,1,0,2.18298377408676,0.548387096774194,1.03306339881636,0.46875,0.75949637286654,0.0198987586996204
"91",86,107,4,107,86,1,0,2.18298377408676,0.548387096774194,1.03306339881636,0.46875,0.75949637286654,0.0198987586996204
"92",86,1010,7,86,1010,0,1,2.02999650288409,0.645161290322581,1.03306339881636,0.46875,0.730455163164801,0.0439888006276394
"93",86,89,2,86,89,0,1,-0.0368289426850725,0.636363636363636,1.03306339881636,0.46875,0.744576441618812,0.0418055799055211
"94",86,107,6,86,107,0,1,2.18298377408676,0.548387096774194,1.03306339881636,0.46875,0.75949637286654,0.0198987586996204
"96",86,104,9,104,86,1,0,3.36215208571773,0.823529411764706,1.03306339881636,0.46875,0.911257669085392,0.08777609201221
