individual,Ravens_C,Anx_mean,Num_op,WE_WIAT,group
93,3,1.8,19,25,1
158,4,1.1,25,23,1
204,4,2,21,25,1
222,5,1.1,21,26,1
160,5,1.2,24,15,1
5,5,1.5,22,24,1
34,5,1.6,25,25,1
92,5,1.8,21,17,1
153,5,1.9,20,26,0
118,5,2,19,22,1
21,5,2,25,33,0
202,5,3.1,28,28,1
171,6,1.2,20,30,0
183,6,1.2,28,33,0
50,6,1.2,31,28,0
178,6,1.3,23,28,0
127,6,1.3,24,31,0
38,6,1.3,25,25,1
102,6,1.3,28,24,0
133,6,1.3,30,23,0
130,6,1.5,22,16,0
55,6,1.5,24,31,0
20,6,1.5,30,17,0
87,6,1.5,32,27,0
145,6,1.6,26,25,1
17,6,1.6,30,24,0
170,6,1.7,22,20,0
196,6,1.9,18,26,0
167,6,2.2,21,29,1
44,6,2.3,16,25,1
29,6,2.5,18,19,1
163,6,2.5,22,21,1
206,6,2.6,15,24,1
165,6,2.7,14,20,1
141,6,3.3,21,20,0
143,7,1,26,31,1
103,7,1.1,28,26,1
151,7,1.2,18,25,0
64,7,1.2,26,14,0
177,7,1.2,27,26,0
229,7,1.2,27,26,1
185,7,1.2,29,20,0
210,7,1.3,20,18,0
86,7,1.3,27,21,0
36,7,1.3,30,29,1
211,7,1.4,18,26,0
15,7,1.4,22,15,0
214,7,1.4,23,24,0
88,7,1.4,27,22,0
89,7,1.4,27,25,0
67,7,1.4,27,27,1
128,7,1.6,18,24,1
28,7,1.6,18,21,1
117,7,1.6,22,17,1
14,7,1.6,23,16,0
184,7,1.6,25,26,0
150,7,1.7,20,28,0
42,7,1.7,20,20,1
72,7,1.7,21,27,0
94,7,1.7,25,30,1
179,7,1.7,34,25,0
146,7,1.8,20,16,1
216,7,1.8,20,26,0
129,7,1.8,25,21,1
41,7,2,20,25,1
115,7,2.1,27,21,0
24,7,2.2,10,25,1
33,7,2.2,16,24,1
218,7,2.2,19,19,0
197,7,2.4,23,26,0
203,7,2.6,16,27,1
40,7,2.6,24,25,1
188,7,2.7,23,22,0
161,7,2.9,27,28,1
80,7,3,29,23,0
30,8,1,22,17,1
26,8,1,23,19,1
173,8,1.1,26,31,0
54,8,1.1,28,26,0
109,8,1.2,14,25,0
113,8,1.2,22,16,0
131,8,1.2,23,29,1
126,8,1.2,31,26,1
138,8,1.3,24,24,0
51,8,1.3,24,24,0
16,8,1.3,27,19,0
166,8,1.4,15,21,1
169,8,1.4,17,21,0
192,8,1.4,17,18,0
59,8,1.5,18,17,0
35,8,1.5,20,18,1
84,8,1.5,29,24,0
8,8,1.5,32,21,1
60,8,1.6,14,23,0
65,8,1.6,33,25,1
208,8,1.7,19,23,0
6,8,1.7,21,14,1
186,8,1.7,25,27,0
198,8,1.7,28,19,1
230,8,1.7,29,22,1
122,8,1.9,19,30,1
205,8,1.9,22,29,1
107,8,1.9,23,26,0
149,8,1.9,25,25,1
134,8,2,24,27,1
18,8,2,26,14,0
66,8,2,32,22,1
139,8,2.1,25,25,0
226,8,2.3,26,24,1
9,8,2.4,22,26,1
152,8,2.5,13,26,0
53,8,3.3,14,23,0
164,8,3.4,17,13,1
233,8,4.3,34,18,1
199,9,1,30,27,1
70,9,1,31,19,0
7,9,1.1,24,27,1
174,9,1.2,21,28,0
223,9,1.2,30,24,1
4,9,1.3,17,26,1
168,9,1.3,19,24,1
43,9,1.3,24,23,1
62,9,1.3,26,24,0
221,9,1.3,30,15,1
56,9,1.3,32,28,0
61,9,1.4,19,19,0
213,9,1.4,19,22,0
105,9,1.4,20,25,0
189,9,1.4,22,26,0
142,9,1.4,23,20,1
182,9,1.4,25,24,0
217,9,1.4,28,22,0
108,9,1.5,18,29,1
100,9,1.5,18,22,1
112,9,1.5,21,20,1
48,9,1.5,23,21,0
104,9,1.5,26,22,0
200,9,1.6,12,35,1
209,9,1.6,19,22,0
3,9,1.6,20,23,1
10,9,1.6,27,25,1
111,9,1.7,19,21,1
195,9,1.9,28,29,0
120,9,2.1,18,15,1
190,9,2.2,27,21,0
71,9,2.2,28,26,0
201,9,2.4,14,18,1
187,9,2.5,20,29,0
219,9,2.5,23,21,0
144,10,1.1,20,31,0
1,10,1.1,30,14,1
19,10,1.1,30,24,0
11,10,1.1,33,20,1
132,10,1.2,25,24,0
2,10,1.2,27,23,1
137,10,1.2,30,24,1
13,10,1.2,33,22,0
234,10,1.3,29,24,1
22,10,1.3,29,21,0
74,10,1.3,33,21,1
23,10,1.4,22,26,1
49,10,1.4,25,23,0
227,10,1.4,26,26,1
140,10,1.4,30,23,0
82,10,1.4,30,18,0
27,10,1.4,31,23,1
39,10,1.5,21,21,1
97,10,1.5,31,21,1
81,10,1.6,26,23,0
220,10,1.666666667,22,24,0
207,10,1.7,26,23,0
116,10,1.8,25,27,1
180,10,1.9,21,25,0
194,10,1.9,22,33,0
193,10,2,33,29,0
91,10,2.1,27,19,1
99,10,2.3,28,28,1
176,11,1,25,30,0
98,11,1,35,32,1
57,11,1.3,25,12,0
83,11,1.3,31,35,0
172,11,1.4,19,26,0
232,11,1.5,27,22,1
68,11,1.5,29,19,1
37,11,1.8,22,31,1
191,11,2.6,24,24,0
212,12,1.2,33,33,0
85,12,1.3,30,20,0
225,12,1.6,21,34,1
