"","individual","propscore","raw","Ravens_C","Anx_mean","Num_op","WE_WIAT","group"
"1",1,0.893197278911565,0.904761904761905,10,1.1,30,14,1
"2",2,0.615646258503401,0.619047619047619,10,1.2,27,23,1
"3",3,0.106802721088435,0.0952380952380952,9,1.6,20,23,1
"4",4,0.219667590027701,0.210526315789474,9,1.3,17,26,1
"5",5,0.209,0.2,5,1.5,22,24,1
"6",6,0.6455,0.65,8,1.7,21,14,1
"7",7,0.112,0.1,9,1.1,24,27,1
"8",8,0.52312925170068,0.523809523809524,8,1.5,32,21,1
"9",9,0.4515,0.45,8,2.4,22,26,1
"10",10,0.430612244897959,0.428571428571429,9,1.6,27,25,1
"11",11,0.678393351800554,0.684210526315789,10,1.1,33,20,1
"12",13,0.846938775510204,0.857142857142857,10,1.2,33,22,0
"13",14,0.754421768707483,0.761904761904762,7,1.6,23,16,0
"14",15,0.615646258503401,0.619047619047619,7,1.4,22,15,0
"15",16,0.1605,0.15,8,1.3,27,19,0
"16",17,0.6455,0.65,6,1.6,30,24,0
"17",18,0.5,0.5,8,2,26,14,0
"18",19,0.800680272108844,0.80952380952381,10,1.1,30,24,0
"19",20,0.661904761904762,0.666666666666667,6,1.5,30,17,0
"20",21,0.8395,0.85,5,2,25,33,0
"21",22,0.846938775510204,0.857142857142857,10,1.3,29,21,0
"22",23,0.607407407407407,0.611111111111111,10,1.4,22,26,1
"23",24,0.112,0.1,7,2.2,10,25,1
"24",26,0.694,0.7,8,1,23,19,1
"25",27,0.5,0.5,10,1.4,31,23,1
"26",28,0.694,0.7,7,1.6,18,21,1
"27",29,0.6455,0.65,6,2.5,18,19,1
"28",30,0.569387755102041,0.571428571428571,8,1,22,17,1
"29",33,0.576454293628809,0.578947368421053,7,2.2,16,24,1
"30",34,0.52312925170068,0.523809523809524,5,1.6,25,25,1
"31",35,0.106802721088435,0.0952380952380952,8,1.5,20,18,1
"32",36,0.576454293628809,0.578947368421053,7,1.3,30,29,1
"33",37,0.708163265306123,0.714285714285714,11,1.8,22,31,1
"34",38,0.5,0.5,6,1.3,25,25,1
"35",39,0.474515235457064,0.473684210526316,10,1.5,21,21,1
"36",40,0.245578231292517,0.238095238095238,7,2.6,24,25,1
"37",41,0.423545706371191,0.421052631578947,7,2,20,25,1
"38",42,0.597,0.6,7,1.7,20,20,1
"39",43,0.780332409972299,0.789473684210526,9,1.3,24,23,1
"40",44,0.209,0.2,6,2.3,16,25,1
"41",48,0.694,0.7,9,1.5,23,21,0
"42",49,0.6455,0.65,10,1.4,25,23,0
"43",50,0.4515,0.45,6,1.2,31,28,0
"44",51,0.615646258503401,0.619047619047619,8,1.3,24,24,0
"45",53,0.199319727891156,0.19047619047619,8,3.3,14,23,0
"46",54,0.694,0.7,8,1.1,28,26,0
"47",55,0.694,0.7,6,1.5,24,31,0
"48",56,0.791,0.8,9,1.3,32,28,0
"49",57,0.245578231292517,0.238095238095238,11,1.3,25,12,0
"50",59,0.708163265306123,0.714285714285714,8,1.5,18,17,0
"51",60,0.627423822714681,0.631578947368421,8,1.6,14,23,0
"52",61,0.2575,0.25,9,1.4,19,19,0
"53",62,0.0142857142857143,0,9,1.3,26,24,0
"54",64,0.525484764542936,0.526315789473684,7,1.2,26,14,0
