School,Judge,Candidate.Chosen,Candidate.Not.Chosen
4052,288,88,89
4052,288,88,109
4052,288,81,109
4052,288,81,95
4052,288,82,95
4052,288,82,87
4052,288,104,87
4052,288,104,93
4052,288,102,93
4052,288,107,102
4052,288,107,105
4052,288,105,92
4052,288,85,92
4052,288,106,85
4052,288,106,91
4052,288,91,810
4052,288,810,94
4052,288,83,94
4052,288,83,84
4052,288,1010,84
4052,288,101,1010
4052,288,101,86
4052,288,103,86
4052,331,85,104
4052,331,104,93
4052,331,89,93
4052,331,82,89
4052,331,810,82
4052,331,95,810
4052,331,101,95
4052,331,103,101
4052,331,103,81
4052,331,81,1010
4052,331,91,1010
4052,331,91,86
4052,331,86,87
4052,331,87,106
4052,331,106,102
4052,331,102,105
4052,331,109,105
4052,331,109,83
4052,331,83,107
4052,331,107,92
4052,331,92,84
4052,331,84,94
4052,331,94,88
4052,294,103,83
4052,294,83,91
4052,294,94,91
4052,294,82,94
4052,294,81,82
4052,294,93,87
4052,294,89,93
4052,294,1010,89
4052,294,1010,109
4052,294,107,109
4052,294,107,82
4052,294,82,105
4052,294,103,105
4052,294,103,94
4052,294,94,810
4052,294,810,84
4052,294,104,84
4052,294,104,91
4052,294,88,91
4052,294,81,88
4052,294,81,102
4052,294,85,102
4052,294,86,85
4052,294,106,86
4052,294,101,106
4052,294,101,92
4052,294,83,92
4052,294,83,95
4052,305,83,91
4052,305,104,106
4052,305,104,89
4052,305,85,89
4052,305,85,93
4052,305,105,93
4052,305,105,810
4052,305,95,810
4052,305,84,95
4052,305,109,84
4052,305,86,109
4052,305,83,86
4052,305,83,94
4052,305,87,94
4052,305,101,87
4052,305,101,1010
4052,305,88,1010
4052,305,88,92
4052,305,103,92
4052,305,103,82
4052,305,82,102
4052,305,102,91
4052,305,107,91
4052,305,81,107
4052,305,107,83
4052,305,83,104
4052,305,104,103
4052,305,103,91
4052,305,91,87
4052,305,87,92
4052,305,92,105
4052,305,105,93
4052,305,93,81
4052,305,88,81
4052,305,88,810
4052,305,810,109
4052,305,109,84
4052,305,84,102
4052,305,102,106
4052,305,106,1010
4052,305,101,1010
4052,305,101,82
4052,305,82,94
4052,286,86,102
4052,286,105,102
4052,286,105,109
4052,286,82,109
4052,286,82,95
4052,286,95,91
4052,286,91,93
4052,286,92,93
4052,286,106,92
4052,286,106,1010
4052,286,1010,89
4052,286,89,94
4052,286,84,94
4052,286,84,104
4052,286,104,87
4052,286,88,87
4052,286,88,83
4052,286,83,103
4052,286,103,85
4052,286,101,85
4052,286,101,107
4052,286,107,810
4052,286,810,81
4052,286,105,83
4052,286,105,94
4052,286,94,85
4052,286,85,87
4052,286,87,86
4052,286,86,82
4052,286,810,82
4052,286,102,810
4052,286,102,95
4052,286,91,95
4052,286,101,91
4052,286,101,93
4052,286,107,93
4052,286,107,81
4052,286,103,81
4052,286,103,84
4052,286,84,89
4052,286,106,89
4052,286,106,109
4052,286,109,92
4052,286,88,92
4052,286,88,1010
4052,286,1010,104
4052,306,107,93
4052,306,85,93
4052,306,85,109
4052,306,102,109
4052,306,104,102
4052,306,104,94
4052,306,94,91
4052,306,83,91
4052,306,81,83
4052,306,81,87
4052,306,87,89
4052,306,103,89
4052,306,103,82
4052,306,82,95
4052,306,95,92
4052,306,92,84
4052,306,1010,84
4052,306,101,1010
4052,306,105,101
4052,306,86,105
4052,306,86,88
4052,306,106,88
4052,306,106,810
4052,314,810,84
4052,314,87,84
4052,314,87,91
4052,314,102,91
4052,314,104,102
4052,314,103,104
4052,314,103,109
4052,314,109,94
4052,314,101,94
4052,314,101,82
4052,314,95,82
4052,314,1010,95
4052,314,1010,92
4052,314,106,92
4052,314,81,106
4052,314,81,89
4052,314,86,89
4052,314,85,86
4052,314,85,105
4052,314,105,93
4052,314,88,93
4052,314,88,83
4052,314,83,107
4052,289,103,810
4052,289,81,810
4052,289,81,86
4052,289,1010,86
4052,289,1010,107
4052,289,107,93
4052,289,89,93
4052,289,82,89
4052,289,106,82
4052,289,106,102
4052,289,102,92
4052,289,101,92
4052,289,101,84
4052,289,95,84
4052,289,85,95
4052,289,83,85
4052,289,104,83
4052,289,104,88
4052,289,105,88
4052,289,105,91
4052,289,94,91
4052,289,109,94
4052,289,109,87
4052,281,89,92
4052,281,101,89
4052,281,105,101
4052,281,105,94
4052,281,83,94
4052,281,83,95
4052,281,93,95
4052,281,93,810
4052,281,85,810
4052,281,81,85
4052,281,1010,81
4052,281,1010,91
4052,281,103,91
4052,281,103,87
4052,281,107,87
4052,281,107,82
4052,281,109,82
4052,281,106,109
4052,281,106,86
4052,281,86,84
4052,281,104,84
4052,281,104,102
4052,281,88,102
4052,299,103,104
4052,299,104,84
4052,299,84,93
4052,299,107,93
4052,299,107,87
4052,299,87,82
4052,299,82,91
4052,299,89,91
4052,299,85,89
4052,299,85,1010
4052,299,86,1010
4052,299,88,86
4052,299,83,88
4052,299,83,810
4052,299,810,109
4052,299,109,95
4052,299,95,92
4052,299,101,92
4052,299,106,101
4052,299,106,81
4052,299,81,94
4052,299,102,94
4052,299,105,102
4052,282,86,84
4052,282,82,84
4052,282,82,95
4052,282,109,95
4052,282,109,81
4052,282,105,81
4052,282,105,87
4052,282,87,89
4052,282,102,89
4052,282,88,102
4052,282,88,92
4052,282,106,92
4052,282,103,106
4052,282,1010,103
4052,282,1010,107
4052,282,107,94
4052,282,101,94
4052,282,101,91
4052,282,810,91
4052,282,85,810
4052,282,85,93
4052,282,104,93
4052,282,83,104
4052,319,107,95
4052,319,107,810
4052,319,89,810
4052,319,89,102
4052,319,81,102
4052,319,81,92
4052,319,85,92
4052,319,85,94
4052,319,82,94
4052,319,83,82
4052,319,104,83
4052,319,104,91
4052,319,1010,91
4052,319,1010,101
4052,319,84,101
4052,319,88,84
4052,319,109,88
4052,319,86,109
4052,319,105,86
4052,319,87,105
4052,319,103,87
4052,319,93,103
4052,319,106,93
4052,329,810,93
4052,329,810,103
4052,329,103,95
4052,329,95,81
4052,329,85,81
4052,329,85,91
4052,329,109,91
4052,329,106,109
4052,329,106,86
4052,329,86,92
4052,329,101,92
4052,329,1010,101
4052,329,107,1010
4052,329,104,107
4052,329,104,87
4052,329,87,94
4052,329,88,94
4052,329,88,84
4052,329,83,84
4052,329,83,89
4052,329,82,89
4052,329,105,82
4052,329,105,102
4052,295,101,92
4052,295,101,91
4052,295,91,82
4052,295,94,82
4052,295,94,85
4052,295,81,85
4052,295,103,81
4052,295,104,103
4052,295,104,89
4052,295,89,106
4052,295,106,84
4052,295,109,84
4052,295,107,109
4052,295,107,102
4052,295,87,102
4052,295,95,87
4052,295,1010,95
4052,295,105,1010
4052,295,105,86
4052,295,86,88
4052,295,88,810
4052,295,93,810
4052,295,83,93
4052,300,105,810
4052,300,105,109
4052,300,109,102
4052,300,93,102
4052,300,86,93
4052,300,86,91
4052,300,107,91
4052,300,1010,107
4052,300,103,1010
4052,300,103,84
4052,300,89,84
4052,300,89,85
4052,300,85,95
4052,300,95,82
4052,300,101,82
4052,300,101,83
4052,300,83,106
4052,300,106,88
4052,300,104,88
4052,300,104,92
4052,300,87,92
4052,300,81,87
4052,300,81,94
4052,297,102,93
4052,297,102,85
4052,297,87,85
4052,297,83,87
4052,297,83,91
4052,297,104,91
4052,297,103,104
4052,297,103,1010
4052,297,1010,89
4052,297,105,89
4052,297,105,92
4052,297,81,92
4052,297,81,109
4052,297,109,106
4052,297,106,84
4052,297,810,84
4052,297,107,810
4052,297,88,107
4052,297,86,88
4052,297,86,95
4052,297,95,94
4052,297,101,94
4052,297,82,101
4052,290,105,88
4052,290,105,93
4052,290,93,95
4052,290,101,95
4052,290,101,87
4052,290,102,87
4052,290,102,82
4052,290,82,94
4052,290,92,94
4052,290,86,92
4052,290,83,86
4052,290,81,83
4052,290,85,81
4052,290,85,1010
4052,290,103,1010
4052,290,103,91
4052,290,109,91
4052,290,810,109
4052,290,89,810
4052,322,95,91
4052,322,91,104
4052,322,104,105
4052,322,107,105
4052,322,84,107
4052,322,82,84
4052,322,82,101
4052,322,109,101
4052,322,109,85
4052,322,85,89
4052,322,1010,89
4052,322,106,1010
4052,322,106,87
4052,322,87,83
4052,322,83,86
4052,322,88,86
4052,322,88,810
4052,322,103,810
4052,322,103,92
4052,322,92,94
4052,322,94,102
4052,322,102,81
4052,322,81,93
4052,303,105,88
4052,303,88,82
4052,303,810,82
4052,303,84,810
4052,303,101,84
4052,303,101,104
4052,303,104,102
4052,303,81,102
4052,303,1010,81
4052,303,1010,86
4052,303,86,91
4052,303,89,91
4052,303,92,89
4052,303,92,109
4052,303,109,85
4052,303,85,94
4052,303,93,94
4052,303,83,93
4052,303,87,83
4052,303,87,106
4052,303,107,106
4052,303,107,103
4052,303,103,95
4052,278,1010,89
4052,278,82,89
4052,278,82,86
4052,278,93,86
4052,278,87,93
4052,278,87,107
4052,278,107,84
4052,278,81,84
4052,278,81,105
4052,278,105,91
4052,278,91,88
4052,278,88,85
4052,278,94,85
4052,278,94,95
4052,278,104,95
4052,278,104,102
4052,278,810,102
4052,278,101,810
4052,278,101,109
4052,278,109,92
4052,278,106,92
4052,278,83,106
4052,278,103,83
4052,313,1010,93
