"","Candidate.Not.Chosen","Candidate.Chosen","Judge","group","theta1","raw1","theta2","raw2","probTheta"
"1",2,24,502,"expert1",2.23298215173226,0.785714285714286,-1.0343090886161,0.470588235294118,0.963289502417343
"3",2,96,508,"expert1",3.19501081725766,0.764705882352941,-1.0343090886161,0.470588235294118,0.985646725646685
"5",2,48,709,"expert1",1.58453479440325,0.666666666666667,-1.0343090886161,0.470588235294118,0.932064537380823
"6",2,32,711,"expert1",0.506007506651074,0.470588235294118,-1.0343090886161,0.470588235294118,0.823510744142757
"8",2,220,506,"expert1",-2.25898164420275,0.3125,-1.0343090886161,0.470588235294118,0.772884786940044
"10",3,115,508,"expert1",2.04852279050305,0.583333333333333,1.11418209309997,0.428571428571429,0.717955088508642
"14",3,63,508,"expert1",2.87470756090103,0.846153846153846,1.11418209309997,0.428571428571429,0.853275459114952
"15",3,56,508,"expert1",2.75313036478551,0.692307692307692,1.11418209309997,0.428571428571429,0.837391777765172
"17",3,8,501,"expert1",2.32644577096154,0.714285714285714,1.11418209309997,0.428571428571429,0.770699235668233
"18",4,126,702,"expert1",0.495982382931924,0.333333333333333,3.39207228191039,0.846153846153846,0.947652807851214
"19",4,27,711,"expert1",1.91006984735736,0.736842105263158,3.39207228191039,0.846153846153846,0.814874846113497
"20",6,192,709,"expert1",1.73418239534375,0.5,0.783172408661541,0.571428571428571,0.721318249135585
"26",7,2,501,"expert1",-1.0343090886161,0.470588235294118,-2.17974547214743,0.363636363636364,0.758676366847164
"27",7,227,508,"expert1",0.988939871550235,0.533333333333333,-2.17974547214743,0.363636363636364,0.959638695713002
"28",7,229,702,"expert1",1.38607936156642,0.615384615384615,-2.17974547214743,0.363636363636364,0.97250376427727
"30",7,6,502,"expert1",0.783172408661541,0.571428571428571,-2.17974547214743,0.363636363636364,0.950870484538635
"32",7,27,506,"expert1",1.91006984735736,0.736842105263158,-2.17974547214743,0.363636363636364,0.983533364513157
"35",8,3,508,"expert1",1.11418209309997,0.428571428571429,2.32644577096154,0.714285714285714,0.770699235668233
"36",8,155,508,"expert1",3.31036923369203,0.823529411764706,2.32644577096154,0.714285714285714,0.727886023043268
"37",20,176,709,"expert1",2.58237610034487,0.8125,-2.83744499932413,0.333333333333333,0.995591581470492
"39",20,110,501,"expert1",-1.56090356484,0.533333333333333,-2.83744499932413,0.333333333333333,0.781860476973547
"40",20,219,506,"expert1",-1.67280742353156,0.4375,-2.83744499932413,0.333333333333333,0.762174364989595
"41",20,219,508,"expert1",-1.67280742353156,0.4375,-2.83744499932413,0.333333333333333,0.762174364989595
"43",20,211,506,"expert1",0.133266954787592,0.769230769230769,-2.83744499932413,0.333333333333333,0.951233314093859
"44",20,113,702,"expert1",-0.194329941876278,0.583333333333333,-2.83744499932413,0.333333333333333,0.933585370660917
"45",20,108,501,"expert1",1.83867532243184,0.5,-2.83744499932413,0.333333333333333,0.990770886562197
"46",20,34,506,"expert1",-1.39573097680693,0.3,-2.83744499932413,0.333333333333333,0.80871993732213
"49",21,167,502,"expert1",1.51372546867084,0.470588235294118,2.9278493083109,0.785714285714286,0.804415566710598
"50",22,86,710,"expert1",4.9055742284104,0.944444444444444,1.16433160612391,0.625,0.976825208663965
"51",22,45,711,"expert1",2.93118230347837,0.769230769230769,1.16433160612391,0.625,0.854065587186674
"52",22,52,506,"expert1",0.293206011968977,0.5,1.16433160612391,0.625,0.704979856739341
"53",22,201,506,"expert1",-0.183541964038054,0.461538461538462,1.16433160612391,0.625,0.793781765505916
"54",22,215,506,"expert1",2.39876818955769,0.789473684210526,1.16433160612391,0.625,0.774594136694822
"55",22,155,710,"expert1",3.31036923369203,0.823529411764706,1.16433160612391,0.625,0.89529792723089
"56",23,53,704,"expert1",1.29994957645827,0.6,0.442951850063835,0.4,0.702033011932809
"57",23,131,702,"expert1",3.45170092380259,0.8,0.442951850063835,0.4,0.952967819371631
"58",23,4,506,"expert1",3.39207228191039,0.846153846153846,0.442951850063835,0.4,0.950221901128206
"61",23,215,704,"expert1",2.39876818955769,0.789473684210526,0.442951850063835,0.4,0.876079470710711
