"","Candidate.Chosen","Candidate.Not.Chosen","Judge","raw_diff"
"477",94,57,706,0.56714537440879
"67",23,121,703,0.568805571701803
"551",112,201,705,0.57628820665645
"933",191,229,509,0.577284668123438
"45",20,132,505,0.580917132544203
"1098",213,193,707,0.580917132544203
"256",46,218,505,0.581017501874735
"1106",215,211,706,0.581017501874735
"11",3,108,507,0.581764068624995
"217",39,192,507,0.581764068624995
"311",56,192,507,0.581764068624995
"1139",218,21,503,0.581764068624995
"622",124,86,509,0.582513946724506
"623",124,86,507,0.582513946724506
"928",190,86,507,0.582513946724506
"157",34,224,706,0.583016539564739
"162",34,224,707,0.583016539564739
"169",34,224,703,0.583016539564739
"1215",230,73,703,0.588282055800222
"381",74,153,703,0.588682002273575
"615",123,4,706,0.590393495733852
"346",65,4,701,0.594357024310358
"230",43,180,715,0.595914130624344
"998",201,180,509,0.595914130624344
"468",94,20,507,0.596102603986615
"480",94,213,714,0.596102603986615
"89",26,63,507,0.596419033211589
"961",194,212,701,0.596419033211589
"1029",206,63,707,0.596419033211589
"179",36,141,509,0.598767475252939
"185",36,141,507,0.598767475252939
"841",170,72,503,0.600713858145422
"457",93,146,503,0.604247904228543
"1069",211,90,507,0.604906639596419
"702",142,104,503,0.605972718420253
"282",49,170,507,0.606511059441862
"939",192,45,503,0.607099617032393
"71",23,122,707,0.611465547840852
"666",132,44,507,0.612682960625531
"1067",210,57,505,0.613151196311946
"784",159,164,505,0.615604539263116
"12",3,8,509,0.619213561786828
"13",3,8,507,0.619213561786828
"317",56,77,705,0.619213561786828
"1077",211,8,705,0.619213561786828
"1187",226,77,509,0.619213561786828
"155",33,105,507,0.619526489169575
"1142",219,53,714,0.622851995817447
"1147",219,53,715,0.622851995817447
"319",56,63,507,0.623177090363334
"1138",218,49,503,0.623177090363334
"433",90,89,505,0.624850850773816
"592",120,89,509,0.624850850773816
"918",189,171,703,0.629815133327132
"124",30,200,505,0.6303415779914
"125",30,23,701,0.6303415779914
"174",35,55,507,0.6303415779914
"999",201,55,509,0.6303415779914
"1117",216,200,507,0.6303415779914
"326",57,29,714,0.63145287899137
"601",122,74,701,0.63318173219005
"604",122,64,507,0.63318173219005
"123",30,199,714,0.634234621518586
"1206",229,70,701,0.634234621518586
"962",194,134,505,0.637832054949928
"335",63,169,503,0.639296368318046
"450",92,64,715,0.642703443242176
"266",48,176,505,0.645005283328461
"242",44,167,705,0.646090408460265
"146",32,49,509,0.646198466826892
"1166",221,212,509,0.646198466826892
"76",24,224,507,0.651098585481313
"809",164,30,707,0.651331575626202
"20",4,73,703,0.65509129565234
"618",123,230,503,0.656950137813326
"363",70,122,505,0.657910009349373
"408",86,72,507,0.665045244465914
"409",86,72,715,0.665045244465914
"1081",212,27,503,0.666120711944016
"982",199,28,507,0.669895000136112
"1064",210,28,507,0.669895000136112
"755",149,152,505,0.671925755765769
"729",144,26,507,0.677071431166105
"938",192,169,509,0.680866562003808
"943",192,169,503,0.680866562003808
"544",111,125,701,0.680893260755125
"439",91,123,706,0.681918264576933
"270",48,103,706,0.682799726157025
"249",45,115,706,0.682813964839608
"423",89,55,509,0.686047888724389
"779",157,87,503,0.687049605741533
"383",74,73,503,0.694063352232741
"313",56,145,505,0.696862977546214
"587",119,58,507,0.696862977546214
"588",119,114,703,0.696862977546214
"590",119,145,507,0.696862977546214
"735",146,22,509,0.696862977546214
"1136",218,47,705,0.696862977546214
"154",33,8,505,0.69717590492896
"1093",213,217,715,0.697709913627006
"945",193,109,505,0.698729394421862
"1018",205,37,507,0.698729394421862
"370",71,64,701,0.69900120552584
"372",71,74,505,0.69900120552584
"614",123,175,505,0.699102677796992
"171",35,2,507,0.700595811297511
"235",43,2,705,0.700595811297511
"995",201,2,703,0.700595811297511
"1105",214,208,507,0.700595811297511
"1058",209,56,701,0.702462228173159
"710",142,205,503,0.704328645048808
"830",169,45,703,0.705828827036077
"637",126,167,705,0.705926293310983
"639",126,46,701,0.705926293310983
"1173",223,220,715,0.705926293310983
"392",77,22,706,0.706131059348245
"90",26,27,707,0.709363637952512
"449",92,147,509,0.7097643023071
"891",181,182,503,0.709821474469406
"987",200,208,705,0.709821474469406
"723",144,120,507,0.71148282711937
"465",94,29,503,0.711584147779394
"556",112,70,503,0.716796673268671
"776",157,220,509,0.717312967781088
"499",99,124,707,0.717874850604786
"1159",221,190,509,0.717874850604786
"94",27,170,505,0.719884314948484
"909",184,31,706,0.721688363477733
"503",99,206,505,0.724085340691669
"404",79,93,714,0.724208565697748
"413",87,93,505,0.724208565697748
"728",144,159,706,0.726662654676301
"247",45,140,505,0.72899359442194
"823",167,33,503,0.730394853172658
"107",29,34,505,0.731732591368417
"597",120,75,703,0.733397659810984
"892",181,115,706,0.735704613055868
"1198",228,69,507,0.736189655350538
"782",157,93,701,0.740455538752512
"690",137,152,503,0.741616962827193
"345",64,4,503,0.742450839315884
"114",29,187,715,0.7436063080599
"406",79,220,715,0.747351136669172
"1180",225,131,714,0.747800358223489
"813",164,111,509,0.753753090496005
"816",164,111,505,0.753753090496005
"1150",220,93,706,0.75458678416042
"475",94,34,507,0.75629138715601
"494",97,175,503,0.764412670492915
"1099",213,20,707,0.771476858598422
"325",57,224,507,0.77288040495644
"792",159,99,715,0.773676564201865
