"","Candidate.Chosen","Candidate.Not.Chosen","Judge","raw_diff"
"824",169,35,180,0.517436226214317
"325",72,27,133,0.517720987659618
"675",140,36,150,0.517720987659618
"676",140,193,219,0.517720987659618
"719",147,199,49,0.51857873953148
"566",115,215,148,0.526588974860914
"510",105,97,219,0.527487518455574
"1124",219,211,198,0.527793265366389
"93",27,119,189,0.528938640985548
"162",36,157,134,0.528938640985548
"845",176,114,72,0.528938640985548
"696",143,155,191,0.529824432546558
"353",76,25,51,0.533629863262499
"86",26,229,139,0.536375405784311
"1074",212,171,225,0.537565452063972
"662",135,211,187,0.542167944658272
"952",199,149,24,0.542349966472435
"1149",223,163,134,0.542349966472435
"120",30,112,96,0.548324527160559
"361",78,34,227,0.55051166637585
"831",170,33,39,0.55051166637585
"1090",215,8,35,0.55051166637585
"69",23,56,137,0.554187949013585
"594",121,146,51,0.555400587503152
"1166",224,24,191,0.561221369902344
"520",109,63,72,0.565445866513389
"1193",229,63,215,0.565445866513389
"330",72,40,207,0.566140245785121
"680",140,108,22,0.566140245785121
"193",41,143,71,0.566152947366275
"690",142,35,172,0.567317074271515
"1176",226,35,172,0.567317074271515
"861",180,110,199,0.576109737243518
"179",38,115,126,0.57725837933551
"545",113,123,103,0.57725837933551
"459",96,141,104,0.580300702317032
"1171",226,141,125,0.580300702317032
"1198",230,168,47,0.580300702317032
"571",116,32,121,0.581495690166025
"990",203,103,33,0.581495690166025
"422",92,229,26,0.582395242774619
"423",92,229,139,0.582395242774619
"287",63,8,156,0.590476261656907
"61",22,41,159,0.593099641474248
"749",151,230,8,0.593175117821963
"751",151,226,92,0.593175117821963
"206",43,91,128,0.595089521308616
"245",50,40,126,0.597292135440098
"247",50,128,180,0.597292135440098
"403",90,170,51,0.598905861559969
"1123",219,88,181,0.604301117138958
"820",168,110,33,0.605887278825482
"121",30,29,111,0.607176720831766
"124",30,111,96,0.607176720831766
"782",159,213,73,0.607585214890092
"1072",212,119,154,0.610052324524574
"1190",229,77,32,0.611114025054913
"225",46,180,78,0.612178973888936
"267",55,71,148,0.612178973888936
"693",142,71,48,0.612178973888936
"140",32,64,180,0.618679135602999
"829",170,146,190,0.624430342988614
"830",170,146,126,0.624430342988614
"192",41,215,207,0.628683403141933
"197",41,78,47,0.628683403141933
"199",41,78,116,0.628683403141933
"1188",228,104,121,0.629464557808287
"148",33,125,222,0.631662763648516
"447",94,99,192,0.632178811986127
"979",202,130,159,0.632178811986127
"984",202,22,223,0.632178811986127
"643",132,55,154,0.635359968396412
"646",132,230,8,0.635359968396412
"736",148,223,221,0.635873641800047
"3",2,229,218,0.637619047162989
"416",91,212,128,0.637848197459306
"399",89,119,219,0.639257221076116
"46",20,194,6,0.639777948041607
"280",58,213,91,0.642216673899325
"896",189,224,103,0.642216673899325
"430",92,95,160,0.644925698550277
"200",41,200,109,0.648724479132223
"385",88,123,215,0.648724479132223
"1141",220,123,215,0.648724479132223
"774",157,120,134,0.648751696806125
"304",65,167,222,0.65098083613141
"318",71,141,104,0.652617589016087
"946",198,141,211,0.652617589016087
"954",199,151,8,0.653515221184716
"8",2,26,6,0.654677038867277
"475",97,195,153,0.655496459181728
"590",120,228,22,0.658248924617104
"702",144,20,22,0.664120003787319
"358",77,155,56,0.667576326066648
"573",116,89,24,0.669113425347135
"480",99,75,122,0.669607493246817
"629",130,75,49,0.669607493246817
"331",73,125,150,0.670041196934482
"606",123,125,22,0.670041196934482
"797",163,104,176,0.671944407337802
"314",70,149,155,0.672573730071696
"315",70,28,228,0.672573730071696
"316",70,87,191,0.672573730071696
"877",182,87,156,0.672573730071696
"585",119,218,222,0.682101273219809
"177",38,88,151,0.686555310439181
"347",75,88,181,0.686555310439181
"544",113,209,133,0.686555310439181
"1094",215,74,182,0.688186886132423
"668",136,142,187,0.689597633420703
"684",141,155,170,0.694746201308205
"688",141,86,32,0.694746201308205
"211",44,116,170,0.696333162687294
"130",31,48,198,0.697202708884513
"131",31,48,78,0.697202708884513
"212",44,205,109,0.697202708884513
"1023",208,57,133,0.697202708884513
"1027",208,205,133,0.697202708884513
"511",105,87,156,0.698109414747323
"739",148,69,168,0.698109414747323
"1020",207,132,55,0.69867610591158
"348",75,95,160,0.700149502938646
"155",34,121,170,0.701215356169034
"53",21,49,116,0.701622899965713
"878",182,6,140,0.70309629699278
"632",130,25,153,0.703283402449852
"536",112,21,116,0.703341344693588
"714",145,72,104,0.703341344693588
"591",120,163,35,0.703725619726674
"901",189,194,50,0.704747129674983
"317",70,182,55,0.70592330648538
"441",93,224,160,0.711246429384787
"906",190,3,95,0.71503385085762
"729",147,189,103,0.715644418339614
"805",164,159,219,0.717615955051582
"806",164,159,69,0.717615955051582
"96",27,103,74,0.720208270416973
"160",36,191,168,0.720208270416973
"163",36,193,151,0.720208270416973
"233",48,103,104,0.720208270416973
"237",48,32,190,0.720208270416973
"763",154,27,51,0.720208270416973
"912",191,154,137,0.720208270416973
"1167",225,124,25,0.721278750866284
"556",114,104,155,0.726918330258351
"916",192,104,51,0.726918330258351
"920",192,169,146,0.726918330258351
"26",7,199,228,0.727021530605228
"451",94,113,108,0.73222754122718
"12",3,63,215,0.732330989665055
"618",126,140,103,0.734493234348566
"595",121,95,51,0.735669411158963
"538",112,50,56,0.736690921107272
"310",69,70,185,0.737075196140358
"796",163,182,97,0.737075196140358
"420",92,88,86,0.741779114827551
"42",20,168,24,0.74692686533622
"666",136,65,73,0.747661628069528
"694",142,65,48,0.747661628069528
"602",123,115,86,0.750818907413243
"1097",216,79,192,0.750818907413243
"1014",207,195,112,0.756740100560405
"1158",223,142,181,0.756740100560405
"802",164,213,168,0.756786370606038
"803",164,22,3,0.756786370606038
"455",95,25,225,0.756961425127229
"457",95,25,51,0.756961425127229
"110",29,21,160,0.758315267614137
"320",71,136,48,0.761914520119759
"949",198,195,8,0.761914520119759
"305",69,119,86,0.762577813397881
"7",2,75,134,0.763063162211751
"743",149,35,171,0.767579222053514
"746",149,35,199,0.767579222053514
"62",22,213,128,0.76965622248787
"481",99,130,159,0.76965622248787
"518",109,110,148,0.770809047587129
"894",187,4,86,0.771303115486811
"383",88,23,228,0.772135625215502
"390",88,23,146,0.772135625215502
"1033",209,23,223,0.772135625215502
"1037",209,23,31,0.772135625215502
"11",3,78,47,0.775114985722084
"183",39,40,8,0.775338002482357
"241",49,153,151,0.775338002482357
"821",168,77,125,0.77603579381656
"900",189,58,31,0.778646759228034
"55",21,124,222,0.782912492474068
"437",93,229,180,0.789484509231005
"936",194,109,137,0.789484509231005
"531",111,112,168,0.791664844027821
"687",141,55,154,0.791692061701723
"816",168,142,20,0.791692061701723
"819",168,142,104,0.791692061701723
"822",168,230,55,0.791692061701723
"866",181,230,155,0.791692061701723
"1147",221,167,210,0.791741053514746
"1162",224,215,56,0.79360517190358
"339",74,86,121,0.794130877789995
"270",55,221,119,0.796840629589225
"1197",230,86,51,0.796840629589225
"608",123,108,229,0.797554283222098
"414",91,182,132,0.798267936854972
"123",30,154,128,0.798446350263191
"1104",217,144,99,0.799338417304283
"615",125,95,32,0.800638592792339
"504",105,151,56,0.809274669459604
"740",148,151,190,0.809274669459604
"1053",210,52,46,0.816822927618319
"215",44,31,153,0.820203017938121
"1116",218,167,78,0.828157208544096
"604",123,190,191,0.828237566945009
"415",91,120,192,0.831617513268657
"854",179,28,132,0.831617513268657
"993",203,120,46,0.831617513268657
"1082",213,194,69,0.832186678263528
"1157",223,180,182,0.834158760092173
"1143",220,38,126,0.834529262008464
