individual,CW1,compcw1,compcw2,classtest,CW2,ACJgrade,filesize
2,19,94,100,28,25,5,53
3,21,83,78,29,17,7,175
4,0,83,28,15,14,6,173
6,20,94,94,15,9,5,102
7,16,94,72,20,16,3,87
8,25,100,100,30,29,7,120
20,6,94,72,8,1,3,24
21,24,89,100,29,23,7,140
22,25,89,89,29,15,8,44
23,10,89,78,21,4,7,183
24,21,94,94,40,23,5,139
25,19,100,100,31,18,6,200
26,19,89,94,27,29,4,43
27,0,NA,50,25,29,6,164
28,10,83,56,12,2,4,86
29,17,78,61,17,7,2,67
30,23,72,NA,19,10,2,149
31,13,72,78,12,5,3,23
32,19,100,100,19,21,8,167
33,15,100,67,26,18,6,101
34,12,94,67,17,11,5,95
35,25,100,89,28,19,5,163
36,17,NA,67,25,7,5,35
37,20,83,94,19,7,6,165
38,15,89,89,14,4,7,34
39,20,94,50,NA,NA,7,104
40,23,78,61,NA,NA,8,118
41,0,94,61,16,14,6,90
43,12,94,89,26,7,4,57
44,7,78,50,12,0,6,81
45,19,100,83,30,11,5,157
46,24,89,100,21,24,7,73
47,19,100,78,27,16,6,69
48,23,100,100,13,14,7,128
49,10,94,67,16,6,6,137
50,23,100,78,28,22,5,147
52,18,NA,100,14,17,4,192
53,12,61,50,12,3,6,72
55,0,83,83,28,14,7,89
56,14,72,61,22,10,7,189
57,8,67,11,16,4,3,22
58,15,61,72,26,10,5,48
63,21,94,83,17,9,6,125
64,10,100,50,17,5,2,56
65,21,78,72,18,8,5,55
69,23,89,100,17,6,7,42
70,15,78,89,24,10,6,78
71,13,94,56,15,16,5,111
72,22,94,94,34,21,1,124
73,23,94,83,36,23,7,198
74,9,72,83,13,9,5,161
75,16,56,39,15,6,4,32
76,19,100,94,19,21,6,123
77,23,67,100,23,17,8,142
78,21,94,100,19,15,5,196
79,12,94,83,14,8,3,7
86,24,100,78,33,29,1,193
87,11,89,83,20,18,8,130
88,19,56,NA,11,19,6,160
89,20,89,72,21,13,5,66
90,NA,72,100,NA,NA,5,52
91,23,100,83,NA,NA,5,31
92,13,100,72,NA,6,5,68
93,9,78,61,13,6,4,180
94,5,44,NA,11,0,1,146
95,17,100,78,19,23,6,141
96,19,100,67,26,19,4,100
97,28,83,89,NA,NA,7,65
99,15,72,67,21,9,2,94
102,11,94,100,17,18,5,182
103,23,94,67,20,17,8,85
104,24,100,67,31,25,7,171
105,24,100,100,28,27,7,127
108,22,83,61,26,24,5,93
109,20,100,94,35,16,6,88
110,13,94,94,17,18,1,41
111,12,56,67,23,10,4,11
112,19,78,67,21,10,4,21
113,16,72,67,21,19,6,14
114,18,89,72,14,13,7,77
115,20,94,67,27,19,6,181
116,18,94,94,14,14,6,59
119,14,94,67,22,8,6,61
120,19,94,39,12,22,4,40
121,14,94,83,20,20,6,138
122,16,56,78,21,16,5,117
123,20,100,100,12,21,6,133
124,19,83,61,19,20,7,197
125,20,72,72,22,16,7,99
126,13,78,44,15,12,6,190
128,14,67,39,15,15,4,98
130,16,89,67,23,11,6,110
131,22,89,100,28,24,8,84
132,12,83,NA,21,18,4,51
134,13,83,50,15,6,4,39
135,23,94,100,23,26,6,54
136,15,83,89,23,19,6,136
137,24,100,94,21,12,8,60
140,19,83,89,16,22,6,191
141,NA,78,72,24,16,5,185
142,16,39,78,14,4,6,177
143,20,89,83,23,9,6,109
144,19,94,61,27,9,3,10
145,15,89,100,17,9,6,194
146,15,83,39,22,15,1,145
147,21,89,72,25,20,5,9
148,17,89,56,20,4,3,26
149,25,89,78,25,13,5,131
151,21,94,61,18,21,7,76
152,20,100,100,33,25,4,129
153,17,94,83,27,8,7,144
154,16,94,61,21,17,8,116
155,21,100,83,35,24,6,132
157,11,100,22,17,8,4,19
159,22,100,94,18,22,3,1
163,13,94,94,20,0,9,71
164,16,100,61,6,18,1,46
167,19,100,94,30,21,7,143
168,11,89,89,11,0,5,201
169,21,83,94,19,9,5,92
170,21,94,100,18,23,7,115
171,12,100,78,30,23,3,75
175,23,94,100,22,17,7,135
176,19,78,83,22,25,6,119
179,8,100,NA,10,4,2,148
180,17,78,83,21,11,4,108
181,27,100,67,25,26,7,97
182,12,94,17,23,22,7,114
184,12,94,83,27,15,4,156
187,21,94,94,28,0,3,37
189,20,89,72,30,23,3,4
190,17,94,89,NA,NA,8,70
191,25,83,89,25,19,6,64
192,16,94,89,14,12,7,126
193,17,94,89,15,3,2,45
194,18,100,94,16,1,3,172
195,13,83,50,14,18,6,96
198,15,89,83,19,11,4,74
199,12,72,39,19,7,1,25
200,15,67,50,12,7,4,63
201,20,100,67,19,13,8,36
202,19,56,NA,11,0,1,6
203,10,56,NA,18,5,4,62
205,15,89,78,19,23,4,134
206,24,78,94,30,7,3,150
207,17,72,94,25,9,3,154
208,23,100,78,15,24,5,17
209,21,83,67,0,21,4,179
210,8,89,39,15,6,4,3
211,9,83,72,25,0,7,107
212,22,100,67,23,22,5,29
213,NA,78,39,7,6,2,82
214,25,83,72,NA,NA,5,121
215,19,78,56,16,13,NA,178
216,9,72,39,12,1,5,27
217,7,61,56,17,0,3,12
218,20,83,67,18,18,6,103
219,12,94,94,11,4,6,2
220,17,94,89,NA,NA,3,152
221,17,100,67,22,4,4,16
223,7,100,78,10,10,4,188
224,18,67,56,18,22,5,158
225,19,100,72,16,21,9,106
226,20,100,17,20,17,8,195
227,12,94,89,16,15,5,187
228,23,89,78,32,19,3,186
229,20,100,83,19,17,6,199
230,22,72,78,21,23,NA,105
