Judge,Candidate.Chosen,Candidate.Not.Chosen,group
501,2,7,expert1
192,2,20,peer1
507,2,28,expert2
501,2,35,expert1
507,2,35,expert2
705,2,43,expert2
604,2,77,novice
138,2,79,peer2
90,2,94,peer2
25,2,97,peer1
96,2,111,peer1
78,2,112,peer1
606,2,113,novice
508,2,123,expert1
606,2,142,novice
509,2,144,expert2
192,2,144,peer1
505,2,148,expert2
601,2,179,novice
606,2,184,novice
713,2,200,expert1
703,2,201,expert2
508,2,206,expert1
503,2,206,expert2
508,2,208,expert1
502,2,210,expert1
604,2,210,novice
143,2,212,peer2
29,2,214,peer1
7,2,216,peer2
508,2,220,expert1
707,3,2,expert2
94,3,4,peer2
508,3,8,expert1
507,3,8,expert2
705,3,26,expert2
607,3,27,novice
601,3,28,novice
94,3,28,peer2
116,3,29,peer1
55,3,29,peer1
228,3,37,peer1
196,3,37,peer2
37,3,38,peer2
180,3,50,peer1
212,3,50,peer2
507,3,56,expert2
604,3,56,novice
506,3,63,expert1
502,3,64,expert1
603,3,72,novice
605,3,74,novice
135,3,74,peer2
197,3,77,peer2
77,3,87,peer2
711,3,89,expert1
707,3,92,expert2
714,3,102,expert2
509,3,108,expert2
603,3,109,novice
608,3,109,novice
27,3,112,peer2
505,3,119,expert2
196,3,122,peer2
37,3,122,peer2
215,3,137,peer1
711,3,141,expert1
608,3,146,novice
121,3,152,peer1
143,3,170,peer2
607,3,175,novice
608,3,181,novice
180,3,181,peer1
95,3,190,peer1
506,3,195,expert1
605,3,195,novice
135,3,215,peer2
111,3,225,peer1
602,3,228,novice
506,4,23,expert1
507,4,23,expert2
32,4,25,peer1
505,4,27,expert2
508,4,39,expert1
602,4,40,novice
502,4,45,expert1
503,4,64,expert2
701,4,65,expert2
156,4,86,peer1
95,4,87,peer1
604,4,92,novice
609,4,92,novice
507,4,96,expert2
502,4,103,expert1
220,4,103,peer2
508,4,108,expert1
224,4,110,peer2
507,4,115,expert2
507,4,115,expert2
706,4,123,expert2
114,4,124,peer2
713,4,126,expert1
155,4,131,peer1
609,4,132,novice
711,4,140,expert1
713,4,140,expert1
703,4,142,expert2
6,4,142,peer1
54,4,142,peer2
602,4,143,novice
72,4,153,peer1
508,4,167,expert1
180,4,167,peer1
607,4,180,novice
86,4,187,peer1
508,4,192,expert1
503,4,192,expert2
608,4,192,novice
36,4,193,peer2
123,4,193,peer2
507,4,195,expert2
701,4,200,expert2
605,4,205,novice
240,4,216,peer2
506,4,218,expert1
601,4,221,novice
150,4,226,peer1
502,6,7,expert1
602,6,25,novice
506,6,35,expert1
603,6,40,novice
119,6,55,peer1
607,6,64,novice
507,6,69,expert2
702,6,71,expert1
601,6,71,novice
197,6,72,peer2
608,6,73,novice
70,6,89,peer2
182,6,95,peer1
99,6,103,peer1
713,6,108,expert1
507,6,111,expert2
502,6,114,expert1
21,6,114,peer2
199,6,116,peer1
708,6,132,expert1
706,6,147,expert2
608,6,152,novice
609,6,152,novice
99,6,171,peer1
220,6,179,peer2
140,6,182,peer1
508,6,187,expert1
27,6,190,peer2
706,6,198,expert2
119,6,200,peer1
22,6,203,peer1
705,6,212,expert2
507,6,215,expert2
607,6,220,novice
182,6,224,peer1
713,6,227,expert1
706,7,20,expert2
605,7,20,novice
606,7,23,novice
502,7,28,expert1
163,7,33,peer2
609,7,34,novice
606,7,37,novice
230,7,38,peer2
601,7,41,novice
240,7,43,peer2
603,7,50,novice
506,7,91,expert1
503,7,92,expert2
609,7,122,novice
609,7,122,novice
230,7,128,peer2
505,7,144,expert2
508,7,157,expert1
503,7,157,expert2
505,7,157,expert2
605,7,164,novice
706,7,187,expert2
715,7,189,expert2
707,7,193,expert2
152,7,202,peer2
505,7,208,expert2
506,7,210,expert1
714,7,217,expert2
225,7,221,peer1
609,7,229,novice
501,8,3,expert1
507,8,3,expert2
509,8,3,expert2
106,8,21,peer2
227,8,22,peer1
101,8,27,peer2
140,8,28,peer1
191,8,31,peer1
505,8,33,expert2
509,8,36,expert2
136,8,39,peer2
507,8,43,expert2
608,8,46,novice
509,8,49,expert2
136,8,53,peer2
156,8,63,peer1
715,8,69,expert2
176,8,74,peer1
508,8,88,expert1
605,8,91,novice
701,8,95,expert2
605,8,95,novice
609,8,95,novice
176,8,96,peer1
705,8,97,expert2
42,8,97,peer2
506,8,105,expert1
101,8,108,peer2
502,8,122,expert1
507,8,122,expert2
156,8,122,peer1
62,8,124,peer2
2,8,124,peer2
506,8,128,expert1
42,8,128,peer2
501,8,135,expert1
606,8,135,novice
708,8,143,expert1
106,8,152,peer2
169,8,164,peer2
509,8,167,expert2
508,8,170,expert1
607,8,181,novice
715,8,190,expert2
713,8,192,expert1
54,8,194,peer2
56,8,195,peer1
605,8,202,novice
705,8,211,expert2
706,8,215,expert2
35,8,215,peer1
2,8,227,peer2
710,8,230,expert1
706,20,29,expert2
75,20,30,peer2
162,20,30,peer2
502,20,31,expert1
601,20,44,novice
22,20,55,peer1
708,20,57,expert1
502,20,94,expert1
507,20,94,expert2
606,20,94,novice
192,20,94,peer1
22,20,144,peer1
162,20,148,peer2
48,20,157,peer1
134,20,159,peer1
110,20,159,peer1
608,20,189,novice
75,20,189,peer2
2,20,189,peer2
508,20,199,expert1
508,20,199,expert1
606,20,206,novice
606,20,207,novice
707,20,213,expert2
93,20,214,peer2
194,20,214,peer2
160,21,29,peer1
114,21,30,peer2
46,21,35,peer1
507,21,40,expert2
196,21,55,peer2
96,21,65,peer1
605,21,71,novice
198,21,89,peer1
507,21,94,expert2
604,21,97,novice
164,21,110,peer2
602,21,112,novice
116,21,112,peer1
7,21,113,peer2
509,21,114,expert2
503,21,116,expert2
164,21,120,peer2
704,21,121,expert1
609,21,121,novice
711,21,124,expert1
506,21,130,expert1
711,21,130,expert1
713,21,130,expert1
7,21,131,peer2
507,21,141,expert2
506,21,151,expert1
508,21,152,expert1
508,21,152,expert1
507,21,167,expert2
509,21,167,expert2
183,21,170,peer2
502,21,171,expert1
508,21,171,expert1
709,21,194,expert1
601,21,212,novice
184,21,212,peer2
86,21,217,peer1
503,21,218,expert2
603,21,224,novice
604,21,224,novice
605,21,224,novice
8,21,227,peer1
709,22,3,expert1
702,22,28,expert1
91,22,30,peer1
502,22,35,expert1
508,22,44,expert1
715,22,45,expert2
703,22,48,expert2
606,22,57,novice
507,22,75,expert2
509,22,75,expert2
706,22,77,expert2
8,22,78,peer1
507,22,87,expert2
501,22,92,expert1
606,22,94,novice
701,22,104,expert2
78,22,111,peer1
711,22,115,expert1
703,22,125,expert2
508,22,128,expert1
501,22,136,expert1
509,22,146,expert2
508,22,147,expert1
209,22,159,peer2
606,22,163,novice
3,22,164,peer1
2,22,168,peer2
606,22,189,novice
223,22,202,peer1
502,22,210,expert1
173,22,212,peer2
186,22,214,peer2
605,23,27,novice
701,23,30,expert2
503,23,38,expert2
506,23,43,expert1
133,23,43,peer1
40,23,50,peer2
201,23,53,peer2
22,23,55,peer1
508,23,70,expert1
55,23,70,peer1
606,23,76,novice
705,23,88,expert2
228,23,88,peer1
146,23,88,peer1
713,23,89,expert1
184,23,90,peer2
705,23,91,expert2
503,23,102,expert2
503,23,102,expert2
606,23,113,novice
508,23,140,expert1
707,23,141,expert2
115,23,141,peer2
136,23,141,peer2
507,23,142,expert2
602,23,148,novice
201,23,149,peer2
187,23,189,peer1
224,23,195,peer2
31,23,209,peer1
223,23,209,peer1
609,23,212,novice
122,23,213,peer1
196,23,213,peer2
608,23,214,novice
172,23,218,peer1
142,23,223,peer2
240,23,225,peer2
31,23,228,peer1
502,24,2,expert1
191,24,8,peer1
706,24,22,expert2
605,24,23,novice
503,24,27,expert2
507,24,27,expert2
502,24,28,expert1
114,24,36,peer2
603,24,38,novice
508,24,41,expert1
501,24,47,expert1
21,24,49,peer2
507,24,55,expert2
509,24,69,expert2
508,24,70,expert1
714,24,72,expert2
709,24,75,expert1
703,24,87,expert2
135,24,92,peer2
609,24,103,novice
35,24,108,peer1
606,24,119,novice
606,24,122,novice
606,24,123,novice
508,24,126,expert1
503,24,130,expert2
501,24,136,expert1
704,24,142,expert1
508,24,146,expert1
706,24,169,expert2
135,24,192,peer2
86,24,198,peer1
21,24,198,peer2
602,24,199,novice
49,24,208,peer1
152,24,214,peer2
603,24,215,novice
602,24,217,novice
508,24,218,expert1
509,24,224,expert2
191,24,224,peer1
87,25,2,peer2
505,25,23,expert2
115,25,27,peer2
701,25,29,expert2
508,25,37,expert1
503,25,37,expert2
703,25,38,expert2
608,25,52,novice
506,25,58,expert1
60,25,58,peer2
161,25,58,peer2
184,25,75,peer2
51,25,76,peer1
175,25,88,peer2
51,25,95,peer1
225,25,95,peer1
50,25,97,peer1
207,25,102,peer1
507,25,104,expert2
605,25,105,novice
168,25,114,peer1
707,25,119,expert2
707,25,121,expert2
140,25,125,peer1
153,25,130,peer1
507,25,131,expert2
115,25,132,peer2
607,25,134,novice
506,25,140,expert1
509,25,175,expert2
121,25,180,peer1
508,25,182,expert1
38,25,187,peer2
54,25,189,peer2
142,25,190,peer2
604,25,198,novice
29,25,198,peer1
29,25,201,peer1
703,25,205,expert2
505,25,209,expert2
601,25,218,novice
701,25,223,expert2
179,25,224,peer2
88,25,224,peer2
602,25,228,novice
604,25,228,novice
708,25,229,expert1
6,26,2,peer1
602,26,7,novice
603,26,7,novice
508,26,27,expert1
224,26,31,peer2
23,26,34,peer2
714,26,52,expert2
202,26,79,peer2
609,26,87,novice
609,26,90,novice
202,26,95,peer2
605,26,97,novice
502,26,120,expert1
25,26,125,peer1
203,26,128,peer2
508,26,136,expert1
602,26,137,novice
602,26,140,novice
507,26,144,expert2
506,26,147,expert1
61,26,147,peer1
77,26,151,peer2
508,26,159,expert1
126,26,176,peer1
134,26,182,peer1
709,26,184,expert1
601,26,194,novice
505,26,198,expert2
706,26,198,expert2
714,26,198,expert2
508,26,201,expert1
605,26,203,novice
708,26,208,expert1
65,26,210,peer2
502,26,220,expert1
711,27,4,expert1
506,27,7,expert1
222,27,8,peer1
606,27,23,novice
704,27,25,expert1
708,27,26,expert1
707,27,26,expert2
708,27,28,expert1
707,27,28,expert2
713,27,41,expert1
509,27,47,expert2
506,27,53,expert1
608,27,53,novice
509,27,57,expert2
133,27,72,peer1
122,27,88,peer1
240,27,88,peer2
709,27,92,expert1
507,27,93,expert2
45,27,102,peer2
161,27,102,peer2
508,27,109,expert1
603,27,115,novice
609,27,130,novice
201,27,134,peer2
41,27,143,peer2
502,27,144,expert1
51,27,154,peer1
602,27,159,novice
146,27,171,peer1
502,27,180,expert1
74,27,182,peer1
508,27,187,expert1
605,27,194,novice
609,27,200,novice
111,27,206,peer1
503,27,212,expert2
603,27,213,novice
508,27,216,expert1
606,27,216,novice
212,27,218,peer2
46,27,223,peer1
713,27,230,expert1
607,28,2,novice
52,28,4,peer2
507,28,30,expert2
708,28,31,expert1
707,28,31,expert2
46,28,35,peer1
607,28,43,novice
106,28,46,peer2
228,28,70,peer1
169,28,93,peer2
110,28,94,peer1
52,28,120,peer2
46,28,125,peer1
183,28,130,peer2
79,28,149,peer2
608,28,154,novice
24,28,159,peer1
505,28,164,expert2
606,28,164,novice
221,28,164,peer1
606,28,171,novice
132,28,179,peer1
508,28,184,expert1
602,28,187,novice
141,28,194,peer2
507,28,199,expert2
715,28,201,expert2
184,28,203,peer2
502,28,207,expert1
606,28,207,novice
507,28,210,expert2
608,28,214,novice
200,28,218,peer2
227,29,2,peer1
503,29,20,expert2
507,29,20,expert2
714,29,20,expert2
201,29,22,peer2
605,29,28,novice
709,29,30,expert1
111,29,30,peer1
605,29,31,novice
608,29,32,novice
146,29,32,peer1
55,29,32,peer1
77,29,44,peer2
714,29,57,expert2
45,29,87,peer2
61,29,92,peer1
503,29,94,expert2
708,29,99,expert1
65,29,103,peer2
602,29,114,novice
34,29,119,peer2
601,29,120,novice
606,29,135,novice
201,29,140,peer2
607,29,147,novice
189,29,147,peer1
508,29,163,expert1
503,29,163,expert2
505,29,163,expert2
509,29,163,expert2
152,29,171,peer2
706,29,179,expert2
227,29,184,peer1
146,29,209,peer1
508,30,20,expert1
108,30,20,peer1
73,30,20,peer1
506,30,79,expert1
609,30,79,novice
605,30,91,novice
508,30,94,expert1
706,30,94,expert2
59,30,94,peer2
108,30,99,peer1
707,30,164,expert2
715,30,179,expert2
90,30,179,peer2
506,30,184,expert1
707,30,199,expert2
706,30,213,expert2
59,30,213,peer2
91,30,216,peer1
502,30,223,expert1
508,31,7,expert1
606,31,34,novice
133,31,37,peer1
183,31,38,peer2
54,31,41,peer2
153,31,44,peer1
602,31,48,novice
196,31,50,peer2
40,31,64,peer2
164,31,76,peer2
608,31,87,novice
505,31,91,expert2
144,31,91,peer2
505,31,92,expert2
503,31,99,expert2
606,31,111,novice
40,31,114,peer2
506,31,120,expert1
509,31,144,expert2
240,31,148,peer2
144,31,179,peer2
201,31,181,peer2
706,31,184,expert2
605,31,187,novice
169,31,187,peer2
201,31,189,peer2
609,31,191,novice
145,31,193,peer2
714,31,194,expert2
607,31,194,novice
715,31,206,expert2
509,31,208,expert2
191,31,212,peer1
196,31,213,peer2
506,31,214,expert1
185,31,228,peer1
711,32,2,expert1
55,32,23,peer1
602,32,29,novice
606,32,29,novice
609,32,29,novice
708,32,31,expert1
707,32,31,expert2
705,32,35,expert2
506,32,40,expert1
151,32,41,peer1
602,32,45,novice
190,32,48,peer1
604,32,53,novice
148,32,71,peer1
181,32,86,peer1
503,32,90,expert2
708,32,93,expert1
147,32,110,peer2
121,32,116,peer1
609,32,119,novice
186,32,119,peer2
147,32,121,peer2
713,32,147,expert1
502,32,151,expert1
21,32,163,peer2
218,32,180,peer1
173,32,194,peer2
709,32,198,expert1
152,32,199,peer2
505,32,203,expert2
605,32,206,novice
173,32,215,peer2
21,32,219,peer2
508,32,228,expert1
218,32,229,peer1
115,33,3,peer2
209,33,35,peer2
507,33,36,expert2
509,33,43,expert2
713,33,44,expert1
509,33,49,expert2
216,33,50,peer1
230,33,55,peer2
216,33,56,peer1
501,33,57,expert1
501,33,74,expert1
602,33,78,novice
162,33,94,peer2
606,33,97,novice
603,33,99,novice
502,33,105,expert1
707,33,109,expert2
713,33,113,expert1
115,33,116,peer2
707,33,123,expert2
212,33,125,peer2
701,33,132,expert2
609,33,137,novice
207,33,137,peer1
158,33,142,peer1
135,33,142,peer2
505,33,143,expert2
105,33,144,peer2
704,33,145,expert1
158,33,148,peer1
503,33,155,expert2
503,33,167,expert2
39,33,170,peer1
505,33,182,expert2
144,33,189,peer2
705,33,191,expert2
602,33,191,novice
112,33,205,peer1
92,33,205,peer1
48,33,210,peer1
703,33,212,expert2
702,33,221,expert1
507,33,229,expert2
607,34,2,novice
506,34,20,expert1
172,34,22,peer1
227,34,22,peer1
709,34,28,expert1
505,34,29,expert2
509,34,38,expert2
75,34,41,peer2
205,34,41,peer2
144,34,41,peer2
172,34,44,peer1
503,34,46,expert2
156,34,64,peer1
